Year,Historical,High,Med,Low
2001,1002458.0,,,
2002,1025092.0,,,
2003,1041586.0,,,
2004,1057949.0,,,
2005,1083442.0,,,
2006,1116633.0,,,
2007,1147161.0,,,
2008,1175318.0,,,
2009,1207093.0,,,
2010,1227854.0,,,
2011,1249865.0,,,
2012,1278541.0,,,
2013,1316952.0,,,
2014,1357714.0,,,
2015,1383736.0,,,
2016,1410240.0,,,
2017,1436060.0,,,
2018,1461395.0,1461395.0,1461395.0,1461395.0
2019,,1491074.0,1491074.0,1491074.0
2020,,1519055.0,1515555.0,1508510.0
2021,,1539095.0,1530945.0,1521205.0
2022,,1561295.0,1546280.0,1531315.0
2023,,1588255.0,1567775.0,1548480.0
2024,,1619275.0,1592210.0,1567905.0
2025,,1652995.0,1618340.0,1588545.0
2026,,1689370.0,1645660.0,1609510.0
2027,,1729145.0,1674735.0,1631065.0
2028,,1770025.0,1704115.0,1652465.0
2029,,1812590.0,1734035.0,1673920.0
2030,,1856320.0,1764230.0,1695135.0
2031,,1901015.0,1794550.0,1716165.0
2032,,1946875.0,1825115.0,1736985.0
2033,,1993325.0,1855785.0,1757650.0
2034,,2040500.0,1886585.0,1778235.0
2035,,2088440.0,1917560.0,1798730.0
2036,,2137090.0,1948755.0,1819140.0
2037,,2186435.0,1980125.0,1839480.0
2038,,2236485.0,2011650.0,1859780.0
2039,,2287330.0,2043405.0,1880035.0
2040,,2338900.0,2075415.0,1900325.0
2041,,2391035.0,2107565.0,1920545.0
2042,,2443730.0,2139925.0,1940875.0
2043,,2496965.0,2172405.0,1961245.0
2044,,2550920.0,2205185.0,1981715.0
2045,,2605570.0,2238260.0,2002250.0
2046,,2660870.0,2271525.0,2022825.0
