id,Address,BuildingAddress,Community,CompletionDate,InspectionDate,PermitNumber,StickerNumber,Ward,longitude,latitude,location
3,#1 2711 17A ST NW,2711 17A ST NW,CAPITOL HILL,2020/03/26,2020/03/26,BP2020-00984,2675,7,-114.10388995014098,51.075947467293254,"(51.075947467293254, -114.10388995014098)"
2942,7440 21A ST SE,7440G 21A ST SE,OGDEN,2017/04/28,2017/04/28,BP2016-09211,742,9,-114.00676302386418,50.98550362288669,"(50.98550362288669, -114.00676302386418)"
2900,72R SETON TC SE,72 SETON TC SE,SETON,2019/01/30,2019/01/29,BP2018-15672,1281,12,-113.95818016557483,50.8693121451594,"(50.8693121451594, -113.95818016557483)"
12,#2 3435 19 AV SW,3435 19 AV SW,KILLARNEY/GLENGARRY,2020/04/01,2020/04/01,BP2020-00477,2732,8,-114.1359302157352,51.036108416554875,"(51.036108416554875, -114.1359302157352)"
1982,3820B 12 AV SE,3820 12 AV SE,FOREST LAWN,2020/02/19,2020/01/23,BP2019-16694,2477,9,-113.97900095274544,51.042657365202096,"(51.042657365202096, -113.97900095274544)"
991,192B WHITWORTH WY NE,192 WHITWORTH WY NE,WHITEHORN,2020/06/12,2020/06/10,BP2020-03340,3052,5,-113.98062213762682,51.09433338671942,"(51.09433338671942, -113.98062213762682)"
1698,3029 12 AV SW,3029 12 AV SW,SHAGANAPPI,2019/02/05,2019/02/05,BP2018-04709,1288,8,-114.13141001339693,51.04119222738489,"(51.04119222738489, -114.13141001339693)"
2709,639B SEYMOUR AV SW,639 SEYMOUR AV SW,SOUTHWOOD,2020/03/03,2020/03/03,BP2019-02621,2549,11,-114.07966064244685,50.96104737497217,"(50.96104737497217, -114.07966064244685)"
576,1429B BERKLEY DR NW,1429 BERKLEY DR NW,BEDDINGTON HEIGHTS,2020/05/01,2020/04/30,BP2020-03524,2848,3,-114.10005038980498,51.12980494477349,"(51.12980494477349, -114.10005038980498)"
198,11224R BRAXTON RD SW,11224 BRAXTON RD SW,BRAESIDE,2020/04/22,2020/04/22,BP2019-15094,2815,11,-114.10391122774068,50.95253934435034,"(50.95253934435034, -114.10391122774068)"
2262,4608 19 AV NW,4608 19 AV NW,MONTGOMERY,2020/06/19,2020/05/26,BP2018-15545,3085,1,-114.15786807359471,51.072345943237885,"(51.072345943237885, -114.15786807359471)"
1252,2224 44 ST NW,2222 44 ST NW,MONTGOMERY,2018/09/27,2018/09/27,BP2018-04566,1112,1,-114.15358993793991,51.07200667156165,"(51.07200667156165, -114.15358993793991)"
598,143R RIVERGLEN CR SE,143 RIVERGLEN CR SE,RIVERBEND,2019/10/25,2019/09/24,BP2019-06596,1944,9,-114.01423201845452,50.97390380981883,"(50.97390380981883, -114.01423201845452)"
2558,5815R 24 AV NE,5815 24 AV NE,PINERIDGE,2019/07/10,2019/07/09,BP2019-07543,1677,5,-113.95033965103632,51.0740923520312,"(51.0740923520312, -113.95033965103632)"
1876,351 ABERGALE DR NE,351 ABERGALE DR NE,ABBEYDALE,2012/07/31,2012/07/30,BP2012-00591,118,10,-113.92972212119658,51.05770526315976,"(51.05770526315976, -113.92972212119658)"
2006,3916R BRANTFORD DR NW,3916 BRANTFORD DR NW,BRENTWOOD,2019/08/23,2019/08/23,BP2019-05697,1812,1,-114.12188543645657,51.08898431794016,"(51.08898431794016, -114.12188543645657)"
1678,2R SHERWOOD TC NW,2 SHERWOOD TC NW,SYMONS VALLEY,2020/07/21,2020/05/28,BP2020-05970,3136,2,-114.14466246702354,51.158656085407124,"(51.158656085407124, -114.14466246702354)"
2270,4624 MARLBOROUGH DR NE,4624 MARLBOROUGH DR NE,MARLBOROUGH,2020/06/25,2020/06/24,BP2020-04466,3145,10,-113.96702649626846,51.05977106056168,"(51.05977106056168, -113.96702649626846)"
428,1299R BERKLEY DR NW,1299 BERKLEY DR NW,BEDDINGTON HEIGHTS,2020/07/13,2020/07/13,BP2019-15083,3278,3,-114.09654315248228,51.126134055845064,"(51.126134055845064, -114.09654315248228)"
1827,3339D 37 ST SW,3339 37 ST SW,GLENBROOK,2020/05/05,2020/04/09,BP2020-01778,2979,6,-114.1415698539849,51.024008514260935,"(51.024008514260935, -114.1415698539849)"
2479,5329 22 AV NW,5329 22 AV NW,MONTGOMERY,2019/09/16,2019/09/16,BP2019-06333,1911,1,-114.16414274369225,51.08062087081415,"(51.08062087081415, -114.16414274369225)"
1569,2724B 11 AV SE,2724 11 AV SE,ALBERT PARK/RADISSON HEIGHTS,2020/07/10,2020/07/10,BP2020-02914,3273,9,-113.99655713676835,51.04307697192252,"(51.04307697192252, -113.99655713676835)"
1686,30 MARTHA'S MEADOW GA NE,28 MARTHA'S MEADOW GA NE,MARTINDALE,2017/07/10,2017/07/10,BP2017-00831,788,3,-113.96014162317009,51.12452978927539,"(51.12452978927539, -113.96014162317009)"
2600,6008R 4 ST NE,6008 4 ST NE,THORNCLIFFE,2020/02/18,2019/12/19,BP2019-16468,2465,4,-114.05484910109838,51.10439031915944,"(51.10439031915944, -114.05484910109838)"
438,13 INVERNESS DR SE,111 INVERNESS LN SE,MCKENZIE TOWNE,2017/11/23,2017/11/23,BP2017-13577,882,12,-113.97093899661176,50.91275447186401,"(50.91275447186401, -113.97093899661176)"
2525,56 MAHOGANY RI SE,56 MAHOGANY RI SE,MAHOGANY,2019/05/09,2019/05/06,BP2019-00722,1501,12,-113.93787062470548,50.90286175207845,"(50.90286175207845, -113.93787062470548)"
1161,211R CITADEL MR NW,211 CITADEL MR NW,CITADEL,2020/07/16,2020/07/16,BP2020-06706,3307,2,-114.17685057339311,51.14226736881463,"(51.14226736881463, -114.17685057339311)"
569,1421R 20 AV NW,1421 20 AV NW,CAPITOL HILL,2020/07/06,2020/07/06,BP2020-01954,3207,7,-114.09349201159924,51.07034024089195,"(51.07034024089195, -114.09349201159924)"
363,123 SADDLECREEK CO NE,123 SADDLECREEK CO NE,SADDLE RIDGE,2017/08/09,2017/08/09,BP2017-06269,804,3,-113.95764717647572,51.125525590524724,"(51.125525590524724, -113.95764717647572)"
407,127B 64 AV NW,127 64 AV NW,THORNCLIFFE,2020/07/02,2020/07/02,BP2020-03728,3100,4,-114.0642263087622,51.110358772101115,"(51.110358772101115, -114.0642263087622)"
851,173R PANAMOUNT RI NW,173 PANAMOUNT RI NW,PANORAMA HILLS,2020/03/24,2020/03/03,BP2020-02441,2663,3,-114.08224451964193,51.16194914862292,"(51.16194914862292, -114.08224451964193)"
278,11753B CANFIELD RD SW,11753 CANFIELD RD SW,CANYON MEADOWS,2020/06/04,2020/06/03,BP2020-00960,3003,13,-114.07493049181959,50.948538758387706,"(50.948538758387706, -114.07493049181959)"
193,111R WHITESTONE CR NE,111 WHITESTONE CR NE,WHITEHORN,2019/09/19,2019/09/03,BP2019-10919,1926,5,-113.9626481238028,51.081978771083946,"(51.081978771083946, -113.9626481238028)"
1183,214B ROYAL BIRCH HE NW,214 ROYAL BIRCH HE NW,ROYAL OAK,2020/01/14,2019/12/23,BP2019-16520,2347,1,-114.21305494494038,51.148551581691194,"(51.148551581691194, -114.21305494494038)"
3108,8483R SADDLEBROOK DR NE,8483 SADDLEBROOK DR NE,SADDLE RIDGE,2019/11/22,2019/11/20,BP2019-09791,2175,3,-113.92991170445468,51.131766981846404,"(51.131766981846404, -113.92991170445468)"
2472,53 MARQUIS PL SE,53 MARQUIS PL SE,MAHOGANY,2015/09/04,2015/08/27,BP2015-05362,432,12,-113.92000483236467,50.90443097929722,"(50.90443097929722, -113.92000483236467)"
2067,410 15 ST NW,410G 15 ST NW,HILLHURST,2019/10/28,2019/09/20,BP2018-15148,2088,7,-114.09560126601521,51.05562793957127,"(51.05562793957127, -114.09560126601521)"
889,17B TARALAKE MR NE,17 TARALAKE MR NE,TARADALE,2019/12/16,2019/12/13,BP2019-06799,2268,3,-113.92323148999652,51.119358969256524,"(51.119358969256524, -113.92323148999652)"
599,143R SKYVIEW POINT RD NE,143 SKYVIEW POINT RD NE,SKYVIEW RANCH,2020/04/30,2020/04/06,BP2020-03800,2841,3,-113.94929426417106,51.1598193488537,"(51.1598193488537, -113.94929426417106)"
1511,2616B 42 ST SE,2616 42 ST SE,FOREST LAWN,2019/02/15,2019/02/15,BP2019-00998,1313,9,-113.97256626227832,51.031064051891605,"(51.031064051891605, -113.97256626227832)"
1679,3 NOLANFIELD WY NW,5 NOLANFIELD WY NW,NOLAN HILL,2015/04/20,2015/04/20,BP2014-04409,347,2,-114.15993194034566,51.17377215869632,"(51.17377215869632, -114.15993194034566)"
229,1137A REGENT CR NE,1137 REGENT CR NE,RENFREW,2017/07/17,2017/07/17,BP2016-07659,794,4,-114.04528794637994,51.06215110779399,"(51.06215110779399, -114.04528794637994)"
2826,6B EVANSPARK HT NW,6 EVANSPARK HT NW,EVANSTON,2020/04/22,2020/04/16,BP2019-12778,2814,2,-114.11494490948493,51.1729339816901,"(51.1729339816901, -114.11494490948493)"
2909,7328 36 AV NW,7328 36 AV NW,BOWNESS,2016/12/05,2016/12/05,BP2014-01477,1005,1,-114.1921587387048,51.08584109124344,"(51.08584109124344, -114.1921587387048)"
3288,7703 36 AV NW,7703 36 AV NW,BOWNESS,,2018/01/22,PE2018-00272,923,1,-114.19813295277363,51.08542437245487,"(51.08542437245487, -114.19813295277363)"
2638,61 SETON TC SE,61 SETON TC SE,SETON,2019/03/04,2019/03/04,BP2018-14942,1339,12,-113.95821735542111,50.86969823423171,"(50.86969823423171, -113.95821735542111)"
2001,3902B 15 AV SW,3902 15 AV SW,ROSSCARROCK,2019/06/18,2019/06/18,BP2019-04334,1614,6,-114.14294478954668,51.03982957094032,"(51.03982957094032, -114.14294478954668)"
2363,49R COVEPARK CR NE,49 COVEPARK CR NE,COVENTRY HILLS,2019/10/28,2019/10/22,BP2019-12807,2071,3,-114.04912422476065,51.16667748651522,"(51.16667748651522, -114.04912422476065)"
2872,71B BRIGHTONCREST PT SE,71 BRIGHTONCREST PT SE,NEW BRIGHTON,2020/02/25,2020/02/25,BP2020-00993,2509,12,-113.93754758267178,50.92534394504188,"(50.92534394504188, -113.93754758267178)"
1857,343 SADDLECREEK PT NE,343 SADDLECREEK PT NE,SADDLE RIDGE,2018/01/24,2018/01/24,BP2017-09600,915,3,-113.95790776174077,51.12839789980539,"(51.12839789980539, -113.95790776174077)"
2894,726 HARVEST HILLS DR NE,726 HARVEST HILLS DR NE,HARVEST HILLS,2019/08/30,2019/08/30,BP2019-00175,1853,3,-114.05803902245407,51.143066943972435,"(51.143066943972435, -114.05803902245407)"
2604,6024B THORNBANK DR NW,6024 THORNBANK DR NW,THORNCLIFFE,2019/09/16,2019/09/16,BP2019-08576,1912,4,-114.0671261330556,51.10648758168036,"(51.10648758168036, -114.0671261330556)"
919,1829B 47 ST SE,1829 47 ST SE,FOREST LAWN,2019/10/04,2019/10/04,BP2019-04527,1993,9,-113.96610657914682,51.0366651289049,"(51.0366651289049, -113.96610657914682)"
904,1809 VALLEYVIEW RD NE,1809 VALLEYVIEW RD NE,VISTA HEIGHTS,2020/03/06,2020/03/06,BP2019-16399,2589,3,-114.01745197760611,51.0708218883331,"(51.0708218883331, -114.01745197760611)"
3026,79R CRANBERRY GR SE,79 CRANBERRY GR SE,CRANSTON,2018/06/29,2018/06/27,BP2018-05137,1030,12,-113.97197098575683,50.88761196308676,"(50.88761196308676, -113.97197098575683)"
1365,24 SKYVIEW POINT CR NE,24 SKYVIEW POINT CR NE,SKYVIEW RANCH,2016/08/22,2016/08/22,BP2015-15433,571,3,-113.9534064250264,51.16371449719378,"(51.16371449719378, -113.9534064250264)"
2568,58R KINLEA CO NW,58 KINLEA CO NW,KINCORA,2013/03/19,2013/03/18,BP2012-09909,173,2,-114.13271883972341,51.165934058813654,"(51.165934058813654, -114.13271883972341)"
661,150G ELGIN MEADOWS WY SE,150G ELGIN MEADOWS WY SE,MCKENZIE TOWNE,2012/03/27,2012/03/02,BP2011-12387,92,12,-113.95592036304248,50.906257680787135,"(50.906257680787135, -113.95592036304248)"
102,105B CORNER MEADOWS GA NE,105 CORNER MEADOWS GA NE,CORNERSTONE,2019/02/28,2019/02/27,BP2019-00116,1326,3,-113.93407817024463,51.15242813313176,"(51.15242813313176, -113.93407817024463)"
2752,659 RUNDLERIDGE DR NE,659 RUNDLERIDGE DR NE,RUNDLE,2020/06/22,2020/06/19,BP2019-14687,3116,5,-113.97658289144877,51.07044666763117,"(51.07044666763117, -113.97658289144877)"
1907,36 TARARIDGE DR NE,36 TARARIDGE DR NE,TARADALE,2016/02/25,2016/01/29,BP2015-00057,485,3,-113.94026526404366,51.11247533417441,"(51.11247533417441, -113.94026526404366)"
2975,7616R RANCHERO DR NW,7616 RANCHERO DR NW,RANCHLANDS,2017/06/13,2017/06/13,BP2016-14405,772,2,-114.19293913281084,51.12047901719943,"(51.12047901719943, -114.19293913281084)"
1415,2439 22A ST NW,2439 22A ST NW,BANFF TRAIL,2019/06/27,2019/06/27,BP2019-01212,1649,7,-114.11434506899796,51.07345018053373,"(51.07345018053373, -114.11434506899796)"
2566,58B SKYVIEW POINT RI NE,58 SKYVIEW POINT RI NE,SKYVIEW RANCH,2019/07/05,2019/07/03,BP2019-03724,1663,3,-113.95437690182895,51.159418493637126,"(51.159418493637126, -113.95437690182895)"
806,168R DOVER MEADOW CL SE,168 DOVER MEADOW CL SE,DOVER,2020/06/02,2020/06/01,BP2019-13441,2986,9,-113.98063056232185,51.02171021964803,"(51.02171021964803, -113.98063056232185)"
1374,2408R 1 AV NW,2408 1 AV NW,WEST HILLHURST,2018/11/08,2018/11/07,BP2018-12231,1163,7,-114.11587006962755,51.053646321475725,"(51.053646321475725, -114.11587006962755)"
276,117 SETON TC SE,117 SETON TC SE,SETON,2019/08/08,2019/08/08,BP2018-16133,1757,12,-113.95942221039832,50.8693184090663,"(50.8693184090663, -113.95942221039832)"
694,152R FALLSWATER RD NE,152 FALLSWATER RD NE,FALCONRIDGE,2019/05/30,2019/05/29,BP2018-14958,1553,3,-113.94020466698872,51.09749047079576,"(51.09749047079576, -113.94020466698872)"
2918,7372 HUNTLEY RD NE,7372 HUNTLEY RD NE,HUNTINGTON HILLS,2018/01/23,2018/01/23,BP2017-15816,914,3,-114.05591007228847,51.119611058056066,"(51.119611058056066, -114.05591007228847)"
1546,26R WALDEN CO SE,26 WALDEN CO SE,WALDEN,2011/08/12,2011/08/11,BP2010-13494,28,14,-114.03207301512123,50.87393467947166,"(50.87393467947166, -114.03207301512123)"
3172,904 20 AV SE,904 20 AV SE,RAMSAY,2018/01/12,2018/01/12,BP2017-12623,906,9,-114.04140058536771,51.03553526158108,"(51.03553526158108, -114.04140058536771)"
243,114R COPPERPOND ST SE,114 COPPERPOND ST SE,COPPERFIELD,2020/06/02,2020/06/02,BP2019-15013,2992,12,-113.91575675564954,50.917148184483,"(50.917148184483, -113.91575675564954)"
642,14B REDSTONE CV NE,14 REDSTONE CV NE,REDSTONE,2019/12/04,2019/12/04,BP2019-05399,2220,3,-113.96920668284316,51.16826608709634,"(51.16826608709634, -113.96920668284316)"
2112,4211B VILLA CR NW,4211 VILLA CR NW,VARSITY,2019/05/02,2019/05/01,BP2018-14728,1479,1,-114.14188910301837,51.08998431918235,"(51.08998431918235, -114.14188910301837)"
2679,623 ARLINGTON DR SE,623 ARLINGTON DR SE,ACADIA,2016/11/08,2015/12/21,BP2015-08808,667,9,-114.05132528241982,50.97569596370314,"(50.97569596370314, -114.05132528241982)"
3072,81R EDGEBROOK RD NW,81 EDGEBROOK RD NW,EDGEMONT,2020/03/23,2020/03/19,BP2019-16377,2650,2,-114.1322478573091,51.12905336013792,"(51.12905336013792, -114.1322478573091)"
518,136R CASTLEDALE CR NE,136 CASTLEDALE CR NE,CASTLERIDGE,2020/01/03,2020/01/03,BP2019-07200,2322,3,-113.96219625698915,51.10948247404153,"(51.10948247404153, -113.96219625698915)"
1122,209 COPPERLEAF WY SE,209 COPPERLEAF WY SE,COPPERFIELD,2020/06/23,2020/06/23,BP2020-00806,3127,12,-113.92746612178668,50.912044736283235,"(50.912044736283235, -113.92746612178668)"
3221,931 16A ST NE,931 16A ST NE,MAYLAND HEIGHTS,2018/07/31,2018/07/27,BP2018-04047,1059,3,-114.02071163415144,51.06058962949697,"(51.06058962949697, -114.02071163415144)"
1030,2 SNOWDON CR SW,2 SNOWDON CR SW,SOUTHWOOD,2019/09/13,2019/09/13,BP2019-02306,1901,11,-114.08647725179058,50.96076901953294,"(50.96076901953294, -114.08647725179058)"
1256,2227R LINCOLN DR SW,2227 LINCOLN DR SW,NORTH GLENMORE PARK,2019/02/08,2019/02/08,BP2019-00390,1300,11,-114.11213480336062,50.99997388861201,"(50.99997388861201, -114.11213480336062)"
702,1535 36 ST SE,1535 36 ST SE,ALBERT PARK/RADISSON HEIGHTS,2012/11/30,2012/11/28,BP2012-12953,207,9,-113.98195649563593,51.039639104598784,"(51.039639104598784, -113.98195649563593)"
2613,605 31 AV NE,605 31 AV NE,WINSTON HEIGHTS/MOUNTVIEW,2012/11/30,2012/11/28,BP2011-11164,89,7,-114.05007141867947,51.078816318926584,"(51.078816318926584, -114.05007141867947)"
655,1501B 42 ST SE,1501 42 ST SE,FOREST LAWN,2019/09/13,2019/09/13,BP2019-05621,1902,9,-113.97320472692569,51.04077196697763,"(51.04077196697763, -113.97320472692569)"
2468,52B SETON GV SE,52 SETON GV SE,SETON,2020/03/12,2020/03/09,BP2019-14977,2604,12,-113.95807914337699,50.866899919254486,"(50.866899919254486, -113.95807914337699)"
490,1336R COLGROVE AV NE,1336 COLGROVE AV NE,RENFREW,2019/05/24,2019/05/24,BP2018-04372,1540,4,-114.03192158729019,51.05587503111165,"(51.05587503111165, -114.03192158729019)"
