Business Licence Number,Business ID,Address,Business Licence Type,Type of Residence,Licenced Date,Licenced Expiry Date,Status Description,longitude,latitude,Point,Ward Boundaries,City Quadrants,Calgary Communities,Ward Boundaries 2013-2017
BL233732,15899321,302 TUSCANY SPRINGS BV NW,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/04/27,2021/04/27,Licensed,-114.24016380003623,51.13456351654773,POINT (-114.240163800036 51.134563516548),13,2,158,9
BL236183,15928906,1136 SHERWOOD BV NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/08/05,2021/08/05,Licensed,-114.1474815464438,51.1573178270988,POINT (-114.147481546444 51.157317827099),3,2,292,10
BL233824,15900442,225 RIVER ROCK PL SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/05/01,2021/05/01,Licensed,-114.00549124175659,50.96662342804488,POINT (-114.005491241757 50.966623428045),10,3,19,8
BL233804,15900251,#201 17 13 ST NW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/05/01,2021/05/01,Licensed,-114.09360780111588,51.05201281464963,POINT (-114.093607801116 51.05201281465),7,2,40,7
BL233800,15900194,1829 21 AV NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/05/01,2021/05/01,Licensed,-114.10379266669202,51.07127803598038,POINT (-114.103792666692 51.07127803598),7,2,63,7
BL233826,15900475,2335 21 AV SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/05/02,2021/05/02,Licensed,-114.11572352519549,51.034386760856464,POINT (-114.115723525195 51.034386760856),14,1,181,2
BL233825,15900459,159 BERMUDA WY NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/05/02,2021/05/02,Licensed,-114.07592622567476,51.13171641861465,POINT (-114.075926225675 51.131716418615),2,2,273,4
BL233827,15900483,#1610 1188 3 ST SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/05/02,2021/05/02,Cancelled,-114.0556621172161,51.0414644186415,POINT (-114.055662117216 51.041464418642),14,3,260,5
BL233911,15901200,#122 126 14 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/05/06,2021/05/06,Licensed,-114.0644368413466,51.039835386500854,POINT (-114.064436841347 51.039835386501),14,1,260,5
BL233857,15900749,#1410 1188 3 ST SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/05/05,2021/05/05,Licensed,-114.0556621172161,51.0414644186415,POINT (-114.055662117216 51.041464418642),14,3,260,5
BL233931,15901432,#101 108 25 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/05/08,2021/05/08,Licensed,-114.06438379284845,51.030632570306864,POINT (-114.064383792848 51.030632570307),14,1,297,5
BL232350,15882145,#104 809 12 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/17,2021/02/16,Licensed,-114.07933024531837,51.04176639135907,POINT (-114.079330245318 51.041766391359),14,1,260,2
BL233999,15902109,#236 990 CENTRE AV NE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/05/12,2021/05/12,Licensed,-114.04076559075158,51.05259620696786,POINT (-114.040765590752 51.052596206968),10,4,137,11
BL233998,15902091,709 4 ST NW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex/fourplex,2020/05/12,2021/05/12,Licensed,-114.07186161530241,51.05810419385347,POINT (-114.071861615302 51.058104193853),7,2,62,7
BL234060,15902877,1421 1 ST NW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex/fourplex,2020/05/14,2021/05/14,Licensed,-114.0653871011551,51.06520894900334,POINT (-114.065387101155 51.065208949003),7,2,266,7
BL234048,15902729,2122 5 ST SW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/05/14,2021/05/14,Licensed,-114.07396160743608,51.03352044133256,POINT (-114.073961607436 51.033520441333),14,1,18,2
BL234083,15903065,#1605 1410 1 ST SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/05/14,2021/05/14,Licensed,-114.06041325815761,51.039167133524955,POINT (-114.060413258158 51.039167133525),14,3,260,5
BL234019,15902430,#523 126 14 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/05/13,2021/05/13,Licensed,-114.0644368413466,51.039835386500854,POINT (-114.064436841347 51.039835386501),14,1,260,5
BL234117,15903412,#1306 1410 1 ST SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/05/17,2021/05/17,Licensed,-114.06041325815761,51.039167133524955,POINT (-114.060413258158 51.039167133525),14,3,260,5
BL234119,15903438,684 WALDEN DR SE,SHORT TERM RENTAL - TIER ONE,Duplex/triplex/fourplex,2020/05/17,2021/05/17,Licensed,-114.03616301383721,50.86831042786505,POINT (-114.036163013837 50.868310427865),6,3,135,13
BL232584,15885403,147 NEW BRIGHTON WK SE,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/02/25,2021/02/24,Licensed,-113.93395544644862,50.92104557004179,POINT (-113.933955446449 50.921045570042),4,3,139,8
BL232587,15885445,#1410 225 11 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/25,2021/02/24,Licensed,-114.0593543604455,51.041998686751754,POINT (-114.059354360445 51.041998686752),14,3,260,5
BL232590,15885486,#1327 222 RIVERFRONT AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/25,2021/02/24,Licensed,-114.06671480427468,51.05252202376735,POINT (-114.066714804275 51.052522023767),7,1,21,7
BL233131,15892714,21 KINLEA CM NW,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/03/12,2021/03/12,Licensed,-114.14072662341228,51.16613301941306,POINT (-114.140726623412 51.166133019413),3,2,220,10
BL234176,15904071,723 BROOKPARK DR SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/05/20,2021/05/20,Licensed,-114.10935309790449,50.95462513950788,POINT (-114.109353097904 50.954625139508),8,1,23,5
BL234162,15903933,#403 108 2 ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/05/20,2021/05/20,Licensed,-114.06708039001836,51.053623021490345,POINT (-114.067080390018 51.05362302149),7,1,21,7
BL234195,15904253,191 NEW BRIGHTON DR SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/05/21,2021/05/21,Licensed,-113.95501092331203,50.92376262433877,POINT (-113.955010923312 50.923762624339),4,3,139,8
BL234192,15904238,#2104 130 PANATELLA ST NW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/05/21,2021/05/21,Licensed,-114.09071094092477,51.16614482616235,POINT (-114.090710940925 51.166144826162),11,2,235,12
BL234189,15904204,#84 2519 38 ST NE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/05/20,2021/05/20,Licensed,-113.97886761496896,51.07521065468771,POINT (-113.978867614969 51.075210654688),9,4,34,3
BL234158,15903891,1401 3 ST NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/05/20,2021/05/20,Licensed,-114.07026907059073,51.06452201753548,POINT (-114.070269070591 51.064522017535),7,2,266,7
BL234269,15904949,749 PANATELLA BV NW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex/fourplex,2020/05/22,2021/05/22,Licensed,-114.0982043645496,51.16724678378367,POINT (-114.09820436455 51.167246783784),11,2,235,12
BL236165,15928666,147 SETON GD SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/08/05,2021/08/05,Licensed,-113.95472489619944,50.86656445752356,POINT (-113.954724896199 50.866564457524),4,3,229,8
BL234185,15904154,5027 21A ST SW,SHORT TERM RENTAL - TIER TWO,Single/detached house,2020/08/05,2021/08/05,Licensed,-114.11402654354693,51.0088639059334,POINT (-114.114026543547 51.008863905933),8,1,200,2
BL232651,15886161,#68 3029 RUNDLESON RD NE,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/02/26,2021/02/25,Licensed,-113.97980168637466,51.08006233086176,POINT (-113.979801686375 51.080062330862),9,4,34,3
BL232662,15886252,219 52 ST NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/26,2021/02/25,Licensed,-113.95667796177956,51.05422390089733,POINT (-113.95667796178 51.054223900897),12,4,77,3
BL232680,15886435,6864 HUNTCHESTER RD NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/26,2021/02/25,Licensed,-114.05826128470684,51.11517172415421,POINT (-114.058261284707 51.115171724154),2,4,261,4
BL233103,15892227,#208 188 15 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/03/11,2021/03/11,Licensed,-114.06559155949658,51.03888312219883,POINT (-114.065591559497 51.038883122199),14,1,260,5
BL233106,15892250,#305 316 1 AV NE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/03/11,2021/03/11,Licensed,-114.05706306057728,51.05370497986723,POINT (-114.057063060577 51.053704979867),7,4,266,7
BL233107,15892268,#211 1108 6 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/03/11,2021/03/11,Licensed,-114.08690319369553,51.04854854162403,POINT (-114.086903193696 51.048548541624),14,1,45,2
BL233117,15892391,#302 1821 17A ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/03/11,2021/03/11,Licensed,-114.103282350868,51.03694286843801,POINT (-114.103282350868 51.036942868438),14,1,208,2
BL233118,15892409,#801 450 8 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/03/11,2021/03/11,Licensed,-114.05365133351484,51.04544860082783,POINT (-114.053651333515 51.045448600828),7,3,65,7
BL231326,15871551,#109 515 4 AV NE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/01,2021/01/31,Licensed,-114.05159757460127,51.05565386141998,POINT (-114.051597574601 51.05565386142),10,4,137,11
BL231349,15871809,99 HAMPSTEAD RI NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/01,2021/01/31,Licensed,-114.13436294928825,51.14586380090746,POINT (-114.134362949288 51.145863800907),3,2,286,10
BL231368,15872005,#7 2019 2 AV NW,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/02/02,2021/02/01,Licensed,-114.1068722576439,51.05415941266982,POINT (-114.106872257644 51.05415941267),7,2,280,7
BL231333,15871627,233 37 ST NW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex/fourplex,2020/02/01,2021/01/31,Licensed,-114.14157404423226,51.05993748670948,POINT (-114.141574044232 51.059937486709),7,2,131,7
BL231348,15871791,#6F 515 17 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/01,2021/01/31,Licensed,-114.07230338874014,51.03756298533656,POINT (-114.07230338874 51.037562985337),14,1,18,2
BL231365,15871965,31 MEADOWVIEW RD SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/02,2021/02/01,Licensed,-114.07752530334147,50.99974816380967,POINT (-114.077525303341 50.99974816381),8,1,64,5
BL234271,15904972,#1 1714 KENSINGTON RD NW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex/fourplex,2020/05/23,2021/05/23,Licensed,-114.09866650477103,51.05276094245842,POINT (-114.098666504771 51.052760942458),7,2,40,7
BL234292,15906266,4727 19 AV NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/05/25,2021/05/25,Licensed,-114.1607258112284,51.07383853650834,POINT (-114.160725811228 51.073838536508),13,2,24,7
BL234283,15905821,#1404 221 6 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/05/25,2021/05/25,Licensed,-114.05887653435627,51.04716742298633,POINT (-114.058876534356 51.047167422986),7,3,262,7
BL234295,15906811,7 PANORAMA HILLS CR NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/05/26,2021/05/26,Licensed,-114.07041183570276,51.152619164362925,POINT (-114.070411835703 51.152619164363),11,2,235,12
BL234342,15907660,4548 VANDERGRIFT CR NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/05/27,2021/05/27,Licensed,-114.15232045597023,51.09020090675318,POINT (-114.15232045597 51.090200906753),13,2,269,9
BL234328,15907488,212 COVEBROOK CL NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/05/27,2021/05/27,Licensed,-114.05899827769517,51.171325674055105,POINT (-114.058998277695 51.171325674055),11,4,251,12
BL234365,15908015,110B SIMCOE CI SW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/05/28,2021/05/28,Licensed,-114.18097518807114,51.03659587648938,POINT (-114.180975188071 51.036595876489),1,1,278,14
BL234385,15908411,#601 1213 13 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/05/30,2021/05/30,Licensed,-114.0900181484307,51.04097536174198,POINT (-114.090018148431 51.040975361742),14,1,260,2
BL232685,15886484,#A 923 29 ST NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/27,2021/02/26,Licensed,-114.12983918567217,51.05947653789126,POINT (-114.129839185672 51.059476537891),7,2,91,7
BL232700,15886633,2303 22A ST NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/27,2021/02/26,Licensed,-114.11182624768561,51.070216394088376,POINT (-114.111826247686 51.070216394088),7,2,153,7
BL232705,15886682,7 HIDDEN VALLEY PA NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/27,2021/02/26,Licensed,-114.10181471715966,51.14868877600757,POINT (-114.10181471716 51.148688776008),2,2,25,12
BL232706,15886690,10343 WAPITI DR SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/27,2021/02/26,Licensed,-114.0684380476119,50.96023693657322,POINT (-114.068438047612 50.960236936573),6,3,89,5
BL232716,15886799,#202 647 1 AV NE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/27,2021/02/26,Licensed,-114.04914998070122,51.053020498963306,POINT (-114.049149980701 51.053020498963),10,4,137,11
