,apartment_avg_price
2006-01-31,207293.0
2006-02-28,207658.0
2006-03-31,230784.0
2006-04-30,247184.0
2006-05-31,267452.0
2006-06-30,274531.0
2006-07-31,264828.0
2006-08-31,269689.0
2006-09-30,290166.0
2006-10-31,280940.0
2006-11-30,276605.0
2006-12-31,275827.0
2007-01-31,279036.0
2007-02-28,291899.0
2007-03-31,298327.0
2007-04-30,317306.0
2007-05-31,316163.0
2007-06-30,313367.0
2007-07-31,303880.0
2007-08-31,305655.0
2007-09-30,309132.0
2007-10-31,332728.0
2007-11-30,298703.0
2007-12-31,294414.0
2008-01-31,301973.0
2008-02-29,299447.0
2008-03-31,299681.0
2008-04-30,298211.0
2008-05-31,297037.0
2008-06-30,299854.0
2008-07-31,287113.0
2008-08-31,268841.0
2008-09-30,269242.0
2008-10-31,273347.0
2008-11-30,275043.0
2008-12-31,269233.0
2009-01-31,250949.0
2009-02-28,254283.0
2009-03-31,268220.0
2009-04-30,259080.0
2009-05-31,259283.0
2009-06-30,268155.0
2009-07-31,263010.0
2009-08-31,268149.0
2009-09-30,271442.0
2009-10-31,272586.0
2009-11-30,287973.0
2009-12-31,278643.0
2010-01-31,266275.0
2010-02-28,261056.0
2010-03-31,272307.0
2010-04-30,270094.0
2010-05-31,283058.0
2010-06-30,280246.0
2010-07-31,271904.0
2010-08-31,266990.0
2010-09-30,275532.0
2010-10-31,268428.0
2010-11-30,256756.0
2010-12-31,266688.0
2011-01-31,286791.0
2011-02-28,279277.0
2011-03-31,260399.0
2011-04-30,283851.0
2011-05-31,267072.0
2011-06-30,275531.0
2011-07-31,270988.0
2011-08-31,263203.0
2011-09-30,274760.0
2011-10-31,274265.0
2011-11-30,255158.0
2011-12-31,268769.0
2012-01-31,247255.0
2012-02-29,289495.0
2012-03-31,271725.0
2012-04-30,269196.0
2012-05-31,279838.0
2012-06-30,302766.0
2012-07-31,285107.0
2012-08-31,282240.0
2012-09-30,285830.0
2012-10-31,289199.0
2012-11-30,308328.0
2012-12-31,305218.0
2013-01-31,279562.0
2013-02-28,287612.0
2013-03-31,303395.0
2013-04-30,291307.0
2013-05-31,310553.0
2013-06-30,301478.0
2013-07-31,301331.0
2013-08-31,297526.0
2013-09-30,299014.0
2013-10-31,309309.0
2013-11-30,306940.0
2013-12-31,296314.0
2014-01-31,314971.0
2014-02-28,327288.0
2014-03-31,310785.0
2014-04-30,319428.0
2014-05-31,315845.0
2014-06-30,351770.0
2014-07-31,322486.0
2014-08-31,329704.0
2014-09-30,326100.0
2014-10-31,323646.0
2014-11-30,321836.0
2014-12-31,318652.0
2015-01-31,305473.0
2015-02-28,309400.0
2015-03-31,306575.0
2015-04-30,301907.0
2015-05-31,328530.8217270195
2015-06-30,322251.47117794486
2015-07-31,311291.48456790124
2015-08-31,295134.29749103944
2015-09-30,296693.6911196911
2015-10-31,318209.69620253163
2015-11-30,299857.9487179487
2015-12-31,304226.3046357616
2016-01-31,317574.83720930235
2016-02-29,307461.3095238095
2016-03-31,298850.27626459143
2016-04-30,302913.0992647059
2016-05-31,312341.38181818184
2016-06-30,310496.7202572347
2016-07-31,351545.0
2016-08-31,316842.0
2016-09-30,303202.0
2016-10-31,289127.0
2016-11-30,297710.0
2016-12-31,302916.0
2017-01-31,282429.0
2017-02-28,314224.0
2017-03-31,280226.0
2017-04-30,302999.0
2017-05-31,296798.0
2017-06-30,323574.0
2017-07-31,286838.0
2017-08-31,287663.0
2017-09-30,284182.0
2017-10-31,291111.0
2017-11-30,277073.0
2017-12-31,271183.0
2018-01-31,298942.0
2018-02-28,325905.0
2018-03-31,300005.0
2018-04-30,286381.0
2018-05-31,289460.0
2018-06-30,290344.0
2018-07-31,281061.0
2018-08-31,294292.0
2018-09-30,300853.0
2018-10-31,286637.0
2018-11-30,274894.0
2018-12-31,283619.0
2019-01-31,276073.0
2019-02-28,286511.0
2019-03-31,292743.0
2019-04-30,263009.0
2019-05-31,268028.0
2019-06-30,256110.0
2019-07-31,284184.0
2019-08-31,269991.0
2019-09-30,282964.0
2019-10-31,297615.0
2019-11-30,253703.0
2019-12-31,284794.0
2020-01-31,234969.0
2020-02-29,272643.0
2020-03-31,258582.0
2020-04-30,245013.0
2020-05-31,236711.0
2020-06-30,265965.0
2020-07-31,262146.0
2020-08-31,251337.0
2020-09-30,259151.0
2020-10-31,241637.0
2020-11-30,235030.0
2020-12-31,245449.0
2021-01-31,257446.0
2021-02-28,252638.0
2021-03-31,260965.0
2021-04-30,265229.0
2021-05-31,289538.0
2021-06-30,257438.0
2021-07-31,259629.0
2021-08-31,258609.0
2021-09-30,257687.0
2021-10-31,288118.0
2021-11-30,285713.0
2021-12-31,261785.0
2022-01-31,268141.0
2022-02-28,274133.0
2022-03-31,290743.0
2022-04-30,276383.0
2022-05-31,288580.0
2022-06-30,279802.0
2022-07-31,275247.0
2022-08-31,270176.0
2022-09-30,308639.0
2022-10-31,297374.0
2022-11-30,292146.0
2022-12-31,283333.0
2023-01-31,283993.0
2023-02-28,280697.0
2023-03-31,305221.0
2023-04-30,296975.0
2023-05-31,307449.0
2023-06-30,301926.0
2023-07-31,308575.0
