,apartment_new_listings
2006-01-31,444.0
2006-02-28,451.0
2006-03-31,522.0
2006-04-30,453.0
2006-05-31,572.0
2006-06-30,630.0
2006-07-31,521.0
2006-08-31,567.0
2006-09-30,639.0
2006-10-31,622.0
2006-11-30,437.0
2006-12-31,249.0
2007-01-31,614.0
2007-02-28,543.0
2007-03-31,749.0
2007-04-30,670.0
2007-05-31,767.0
2007-06-30,718.0
2007-07-31,625.0
2007-08-31,707.0
2007-09-30,801.0
2007-10-31,747.0
2007-11-30,549.0
2007-12-31,280.0
2008-01-31,873.0
2008-02-29,775.0
2008-03-31,1014.0
2008-04-30,890.0
2008-05-31,946.0
2008-06-30,770.0
2008-07-31,713.0
2008-08-31,638.0
2008-09-30,730.0
2008-10-31,661.0
2008-11-30,489.0
2008-12-31,272.0
2009-01-31,585.0
2009-02-28,541.0
2009-03-31,571.0
2009-04-30,581.0
2009-05-31,598.0
2009-06-30,562.0
2009-07-31,571.0
2009-08-31,508.0
2009-09-30,585.0
2009-10-31,538.0
2009-11-30,448.0
2009-12-31,294.0
2010-01-31,612.0
2010-02-28,708.0
2010-03-31,851.0
2010-04-30,820.0
2010-05-31,743.0
2010-06-30,656.0
2010-07-31,549.0
2010-08-31,483.0
2010-09-30,581.0
2010-10-31,401.0
2010-11-30,406.0
2010-12-31,230.0
2011-01-31,530.0
2011-02-28,585.0
2011-03-31,600.0
2011-04-30,570.0
2011-05-31,615.0
2011-06-30,581.0
2011-07-31,498.0
2011-08-31,517.0
2011-09-30,550.0
2011-10-31,468.0
2011-11-30,343.0
2011-12-31,200.0
2012-01-31,513.0
2012-02-29,515.0
2012-03-31,650.0
2012-04-30,604.0
2012-05-31,654.0
2012-06-30,552.0
2012-07-31,476.0
2012-08-31,472.0
2012-09-30,503.0
2012-10-31,421.0
2012-11-30,287.0
2012-12-31,147.0
2013-01-31,458.0
2013-02-28,455.0
2013-03-31,572.0
2013-04-30,634.0
2013-05-31,643.0
2013-06-30,496.0
2013-07-31,473.0
2013-08-31,454.0
2013-09-30,466.0
2013-10-31,451.0
2013-11-30,357.0
2013-12-31,213.0
2014-01-31,490.0
2014-02-28,579.0
2014-03-31,671.0
2014-04-30,694.0
2014-05-31,818.0
2014-06-30,721.0
2014-07-31,663.0
2014-08-31,656.0
2014-09-30,692.0
2014-10-31,622.0
2014-11-30,476.0
2014-12-31,303.0
2015-01-31,745.0
2015-02-28,593.0
2015-03-31,671.0
2015-04-30,610.0
2015-05-31,611.0
2015-06-30,612.0
2015-07-31,581.0
2015-08-31,512.0
2015-09-30,656.0
2015-10-31,587.0
2015-11-30,489.0
2015-12-31,341.0
2016-01-31,601.0
2016-02-29,637.0
2016-03-31,682.0
2016-04-30,665.0
2016-05-31,686.0
2016-06-30,603.0
2016-07-31,617.0
2016-08-31,615.0
2016-09-30,637.0
2016-10-31,509.0
2016-11-30,455.0
2016-12-31,240.0
2017-01-31,626.0
2017-02-28,581.0
2017-03-31,728.0
2017-04-30,693.0
2017-05-31,769.0
2017-06-30,728.0
2017-07-31,614.0
2017-08-31,645.0
2017-09-30,628.0
2017-10-31,501.0
2017-11-30,446.0
2017-12-31,261.0
2018-01-31,588.0
2018-02-28,542.0
2018-03-31,721.0
2018-04-30,727.0
2018-05-31,776.0
2018-06-30,661.0
2018-07-31,543.0
2018-08-31,546.0
2018-09-30,562.0
2018-10-31,473.0
2018-11-30,344.0
2018-12-31,213.0
2019-01-31,516.0
2019-02-28,449.0
2019-03-31,577.0
2019-04-30,564.0
2019-05-31,625.0
2019-06-30,670.0
2019-07-31,493.0
2019-08-31,565.0
2019-09-30,502.0
2019-10-31,446.0
2019-11-30,438.0
2019-12-31,241.0
2020-01-31,570.0
2020-02-29,557.0
2020-03-31,476.0
2020-04-30,258.0
2020-05-31,448.0
2020-06-30,674.0
2020-07-31,650.0
2020-08-31,497.0
2020-09-30,581.0
2020-10-31,562.0
2020-11-30,409.0
2020-12-31,288.0
2021-01-31,552.0
2021-02-28,572.0
2021-03-31,869.0
2021-04-30,837.0
2021-05-31,797.0
2021-06-30,748.0
2021-07-31,643.0
2021-08-31,571.0
2021-09-30,632.0
2021-10-31,531.0
2021-11-30,461.0
2021-12-31,294.0
2022-01-31,551.0
2022-02-28,693.0
2022-03-31,996.0
2022-04-30,
2022-05-31,
