,apartment_sales
2006-01-31,336.0
2006-02-28,470.0
2006-03-31,539.0
2006-04-30,438.0
2006-05-31,512.0
2006-06-30,489.0
2006-07-31,400.0
2006-08-31,385.0
2006-09-30,307.0
2006-10-31,295.0
2006-11-30,339.0
2006-12-31,295.0
2007-01-31,426.0
2007-02-28,530.0
2007-03-31,611.0
2007-04-30,479.0
2007-05-31,500.0
2007-06-30,452.0
2007-07-31,322.0
2007-08-31,336.0
2007-09-30,264.0
2007-10-31,283.0
2007-11-30,260.0
2007-12-31,238.0
2008-01-31,247.0
2008-02-29,313.0
2008-03-31,334.0
2008-04-30,325.0
2008-05-31,326.0
2008-06-30,314.0
2008-07-31,310.0
2008-08-31,284.0
2008-09-30,258.0
2008-10-31,221.0
2008-11-30,170.0
2008-12-31,117.0
2009-01-31,124.0
2009-02-28,191.0
2009-03-31,267.0
2009-04-30,345.0
2009-05-31,383.0
2009-06-30,415.0
2009-07-31,403.0
2009-08-31,363.0
2009-09-30,330.0
2009-10-31,369.0
2009-11-30,333.0
2009-12-31,207.0
2010-01-31,220.0
2010-02-28,324.0
2010-03-31,343.0
2010-04-30,371.0
2010-05-31,297.0
2010-06-30,272.0
2010-07-31,215.0
2010-08-31,207.0
2010-09-30,224.0
2010-10-31,184.0
2010-11-30,181.0
2010-12-31,196.0
2011-01-31,188.0
2011-02-28,285.0
2011-03-31,335.0
2011-04-30,313.0
2011-05-31,294.0
2011-06-30,342.0
2011-07-31,251.0
2011-08-31,287.0
2011-09-30,237.0
2011-10-31,216.0
2011-11-30,243.0
2011-12-31,186.0
2012-01-31,180.0
2012-02-29,250.0
2012-03-31,360.0
2012-04-30,357.0
2012-05-31,395.0
2012-06-30,346.0
2012-07-31,315.0
2012-08-31,318.0
2012-09-30,278.0
2012-10-31,273.0
2012-11-30,259.0
2012-12-31,220.0
2013-01-31,206.0
2013-02-28,282.0
2013-03-31,350.0
2013-04-30,439.0
2013-05-31,420.0
2013-06-30,361.0
2013-07-31,404.0
2013-08-31,402.0
2013-09-30,325.0
2013-10-31,339.0
2013-11-30,305.0
2013-12-31,223.0
2014-01-31,263.0
2014-02-28,360.0
2014-03-31,452.0
2014-04-30,454.0
2014-05-31,515.0
2014-06-30,480.0
2014-07-31,448.0
2014-08-31,456.0
2014-09-30,435.0
2014-10-31,389.0
2014-11-30,327.0
2014-12-31,222.0
2015-01-31,154.0
2015-02-28,216.0
2015-03-31,303.0
2015-04-30,350.0
2015-05-31,359.0
2015-06-30,399.0
2015-07-31,324.0
2015-08-31,279.0
2015-09-30,259.0
2015-10-31,237.0
2015-11-30,195.0
2015-12-31,151.0
2016-01-31,129.0
2016-02-29,168.0
2016-03-31,257.0
2016-04-30,272.0
2016-05-31,275.0
2016-06-30,311.0
2016-07-31,255.0
2016-08-31,267.0
2016-09-30,200.0
2016-10-31,251.0
2016-11-30,195.0
2016-12-31,146.0
2017-01-31,151.0
2017-02-28,236.0
2017-03-31,302.0
2017-04-30,287.0
2017-05-31,283.0
2017-06-30,286.0
2017-07-31,256.0
2017-08-31,248.0
2017-09-30,210.0
2017-10-31,233.0
2017-11-30,223.0
2017-12-31,169.0
2018-01-31,145.0
2018-02-28,197.0
2018-03-31,219.0
2018-04-30,262.0
2018-05-31,282.0
2018-06-30,292.0
2018-07-31,253.0
2018-08-31,243.0
2018-09-30,211.0
2018-10-31,212.0
2018-11-30,240.0
2018-12-31,106.0
2019-01-31,126.0
2019-02-28,149.0
2019-03-31,189.0
2019-04-30,251.0
2019-05-31,315.0
2019-06-30,262.0
2019-07-31,291.0
2019-08-31,282.0
2019-09-30,246.0
2019-10-31,249.0
2019-11-30,188.0
2019-12-31,134.0
2020-01-31,147.0
2020-02-29,209.0
2020-03-31,217.0
2020-04-30,95.0
2020-05-31,137.0
2020-06-30,227.0
2020-07-31,261.0
2020-08-31,224.0
2020-09-30,242.0
2020-10-31,234.0
2020-11-30,211.0
2020-12-31,185.0
2021-01-31,185.0
2021-02-28,272.0
2021-03-31,385.0
2021-04-30,440.0
2021-05-31,379.0
2021-06-30,442.0
2021-07-31,346.0
2021-08-31,332.0
2021-09-30,366.0
2021-10-31,360.0
2021-11-30,332.0
2021-12-31,307.0
2022-01-31,357.0
2022-02-28,566.0
2022-03-31,771.0
2022-04-30,642.0
2022-05-31,631.0
2022-06-30,581.0
2022-07-31,513.0
2022-08-31,
