,apartment_slpr
2006-01-31,0.9812
2006-02-28,0.9927
2006-03-31,1.0048
2006-04-30,1.0174
2006-05-31,1.0197
2006-06-30,1.0128
2006-07-31,0.996
2006-08-31,0.9857
2006-09-30,0.981
2006-10-31,0.9664
2006-11-30,0.9703
2006-12-31,0.9753
2007-01-31,0.9811
2007-02-28,0.985
2007-03-31,0.9863
2007-04-30,0.9832
2007-05-31,0.9843
2007-06-30,0.9823
2007-07-31,0.9769
2007-08-31,0.9773
2007-09-30,0.9752
2007-10-31,0.9601
2007-11-30,0.9676
2007-12-31,0.9678
2008-01-31,0.9706
2008-02-29,0.9713
2008-03-31,0.9708
2008-04-30,0.9667
2008-05-31,0.968
2008-06-30,0.9668
2008-07-31,0.9627
2008-08-31,0.9653
2008-09-30,0.9621
2008-10-31,0.9516
2008-11-30,0.9472
2008-12-31,0.9379
2009-01-31,0.946
2009-02-28,0.9506
2009-03-31,0.9474
2009-04-30,0.9535
2009-05-31,0.9532
2009-06-30,0.9614
2009-07-31,0.9663
2009-08-31,0.9667
2009-09-30,0.9701
2009-10-31,0.9714
2009-11-30,0.9634
2009-12-31,0.9693
2010-01-31,0.9673
2010-02-28,0.9678
2010-03-31,0.97
2010-04-30,0.9669
2010-05-31,0.9699
2010-06-30,0.9649
2010-07-31,0.9603
2010-08-31,0.9607
2010-09-30,0.9576
2010-10-31,0.9548
2010-11-30,0.9524
2010-12-31,0.9589
2011-01-31,0.9539
2011-02-28,0.9681
2011-03-31,0.9648
2011-04-30,0.9677
2011-05-31,0.9639
2011-06-30,0.967
2011-07-31,0.9661
2011-08-31,0.9651
2011-09-30,0.9589
2011-10-31,0.9593
2011-11-30,0.9616
2011-12-31,0.9584
2012-01-31,0.9625
2012-02-29,0.9704
2012-03-31,0.9676
2012-04-30,0.9686
2012-05-31,0.9715
2012-06-30,0.9666
2012-07-31,0.9674
2012-08-31,0.9725
2012-09-30,0.9657
2012-10-31,0.9646
2012-11-30,0.9652
2012-12-31,0.9641
2013-01-31,0.9679
2013-02-28,0.9724
2013-03-31,0.9701
2013-04-30,0.9705
2013-05-31,0.9747
2013-06-30,0.9746
2013-07-31,0.973
2013-08-31,0.9751
2013-09-30,0.9761
2013-10-31,0.9742
2013-11-30,0.9717
2013-12-31,0.9727
2014-01-31,0.9772
2014-02-28,0.9797
2014-03-31,0.9831
2014-04-30,0.9837
2014-05-31,0.9811
2014-06-30,0.9829
2014-07-31,0.9747
2014-08-31,0.9773
2014-09-30,0.978
2014-10-31,0.9769
2014-11-30,0.9756
2014-12-31,0.9719
2015-01-31,0.9683
2015-02-28,0.9709
2015-03-31,0.9694
2015-04-30,0.9692
2015-05-31,0.9718
2015-06-30,0.9723
2015-07-31,0.9711
2015-08-31,0.9686
2015-09-30,0.966
2015-10-31,0.9676
2015-11-30,0.9654
2015-12-31,0.9607
2016-01-31,1.0808
2016-02-29,0.9639
2016-03-31,0.9644
2016-04-30,0.9625
2016-05-31,0.9652
2016-06-30,0.9637
2016-07-31,0.9708
2016-08-31,0.9624
2016-09-30,0.9623
2016-10-31,0.9633
2016-11-30,0.9545
2016-12-31,0.9553
2017-01-31,0.96
2017-02-28,0.9615
2017-03-31,0.9637
2017-04-30,0.9681
2017-05-31,0.9652
2017-06-30,0.9652
2017-07-31,0.9684
2017-08-31,0.9619
2017-09-30,0.966
2017-10-31,0.957
2017-11-30,0.9576
2017-12-31,0.96
2018-01-31,0.9643
2018-02-28,0.9592
2018-03-31,0.9664
2018-04-30,0.9601
2018-05-31,0.9617
2018-06-30,0.9563
2018-07-31,0.9635
2018-08-31,0.9623
2018-09-30,0.9607
2018-10-31,0.957
2018-11-30,0.9542
2018-12-31,0.9516
2019-01-31,0.9475
2019-02-28,0.9478
2019-03-31,0.9597
2019-04-30,0.9581
2019-05-31,0.9609
2019-06-30,0.9499
2019-07-31,0.9555
2019-08-31,0.9654
2019-09-30,0.9647
2019-10-31,0.961
2019-11-30,0.9561
2019-12-31,0.9612
2020-01-31,0.9547
2020-02-29,0.9612
2020-03-31,0.9587
2020-04-30,0.9486
2020-05-31,0.9453
2020-06-30,0.9413
2020-07-31,0.9528
2020-08-31,0.9636
2020-09-30,0.9529
2020-10-31,0.9543
2020-11-30,0.952
2020-12-31,0.9548
2021-01-31,0.9542
2021-02-28,0.9619
2021-03-31,0.9645
2021-04-30,0.9678
2021-05-31,0.9664
2021-06-30,0.9646
2021-07-31,0.9624
2021-08-31,0.9613
2021-09-30,0.966
2021-10-31,0.9631
2021-11-30,0.9599
2021-12-31,0.9618
2022-01-31,0.9655
2022-02-28,0.9785
2022-03-31,0.9819
2022-04-30,0.981
2022-05-31,0.9818
2022-06-30,0.9754
2022-07-31,0.9701
2022-08-31,0.9706
2022-09-30,0.9873
2022-10-31,0.9648
2022-11-30,0.967
2022-12-31,0.9691
2023-01-31,0.9655
2023-02-28,0.9785
2023-03-31,0.9819
2023-04-30,0.9884
2023-05-31,0.9905
2023-06-30,0.9934
2023-07-31,0.9928
