,apartment_volume
2006-01-31,69650448.0
2006-02-28,97599260.0
2006-03-31,124392576.0
2006-04-30,108266592.0
2006-05-31,136935424.0
2006-06-30,134245659.0
2006-07-31,105931200.0
2006-08-31,103830265.0
2006-09-30,89080962.0
2006-10-31,82877300.0
2006-11-30,93769095.0
2006-12-31,81368965.0
2007-01-31,118869336.0
2007-02-28,154706470.0
2007-03-31,182277797.0
2007-04-30,151989574.0
2007-05-31,158081500.0
2007-06-30,141641884.0
2007-07-31,97849360.0
2007-08-31,102700080.0
2007-09-30,81610848.0
2007-10-31,94162024.0
2007-11-30,77662780.0
2007-12-31,70070532.0
2008-01-31,74587331.0
2008-02-29,93726911.0
2008-03-31,100093454.0
2008-04-30,96918575.0
2008-05-31,96834062.0
2008-06-30,94154156.0
2008-07-31,89005030.0
2008-08-31,76350844.0
2008-09-30,69464436.0
2008-10-31,60409687.0
2008-11-30,46757310.0
2008-12-31,31500261.0
2009-01-31,31117676.0
2009-02-28,48568053.0
2009-03-31,71614740.0
2009-04-30,89382600.0
2009-05-31,99305389.0
2009-06-30,111284325.0
2009-07-31,105993030.0
2009-08-31,97338087.0
2009-09-30,89575860.0
2009-10-31,100584234.0
2009-11-30,95895009.0
2009-12-31,57679101.0
2010-01-31,58580500.0
2010-02-28,84582144.0
2010-03-31,93401301.0
2010-04-30,100204874.0
2010-05-31,84068226.0
2010-06-30,76226912.0
2010-07-31,58459360.0
2010-08-31,55266930.0
2010-09-30,61719168.0
2010-10-31,49390752.0
2010-11-30,46472836.0
2010-12-31,52270848.0
2011-01-31,53916708.0
2011-02-28,79593945.0
2011-03-31,87233665.0
2011-04-30,88845363.0
2011-05-31,78519168.0
2011-06-30,94231602.0
2011-07-31,68017988.0
2011-08-31,75539261.0
2011-09-30,65118120.0
2011-10-31,59241240.0
2011-11-30,62003394.0
2011-12-31,49991034.0
2012-01-31,44505900.0
2012-02-29,72373750.0
2012-03-31,97821000.0
2012-04-30,96102972.0
2012-05-31,110536010.0
2012-06-30,104757036.0
2012-07-31,89808705.0
2012-08-31,89752320.0
2012-09-30,79460740.0
2012-10-31,78951327.0
2012-11-30,79856952.0
2012-12-31,67147960.0
2013-01-31,57589772.0
2013-02-28,81106584.0
2013-03-31,106188250.0
2013-04-30,127883773.0
2013-05-31,130432260.0
2013-06-30,108833558.0
2013-07-31,121737724.0
2013-08-31,119605452.0
2013-09-30,97179550.0
2013-10-31,104855751.0
2013-11-30,93616700.0
2013-12-31,66078022.0
2014-01-31,82837373.0
2014-02-28,117823680.0
2014-03-31,140474820.0
2014-04-30,145020312.0
2014-05-31,162660175.0
2014-06-30,168849600.0
2014-07-31,144473728.0
2014-08-31,150345024.0
2014-09-30,141853500.0
2014-10-31,125898294.0
2014-11-30,105240372.0
2014-12-31,70740744.0
2015-01-31,47042842.0
2015-02-28,66830400.0
2015-03-31,92892225.0
2015-04-30,105667450.0
2015-05-31,117942565.0
2015-06-30,128578337.0
2015-07-31,100858441.0
2015-08-31,82342469.0
2015-09-30,76843666.0
2015-10-31,75415698.0
2015-11-30,58472299.99999999
2015-12-31,45938172.0
2016-01-31,40967154.0
2016-02-29,51653500.0
2016-03-31,76804521.0
2016-04-30,82392363.0
2016-05-31,85893880.0
2016-06-30,96564479.99999999
2016-07-31,89643975.0
2016-08-31,84596814.0
2016-09-30,60640400.0
2016-10-31,72570877.0
2016-11-30,58053450.0
2016-12-31,44225736.0
2017-01-31,42646779.0
2017-02-28,74156864.0
2017-03-31,84628252.0
2017-04-30,86960713.0
2017-05-31,83993834.0
2017-06-30,92542164.0
2017-07-31,73430528.0
2017-08-31,71340424.0
2017-09-30,59678220.0
2017-10-31,67828863.0
2017-11-30,61787279.0
2017-12-31,45829927.0
2018-01-31,43346590.0
2018-02-28,64203285.0
2018-03-31,65701095.0
2018-04-30,75031822.0
2018-05-31,81627720.0
2018-06-30,84780448.0
2018-07-31,71108433.0
2018-08-31,71512956.0
2018-09-30,63479983.0
2018-10-31,60767044.0
2018-11-30,65974560.0
2018-12-31,30063614.0
2019-01-31,34785198.0
2019-02-28,42690139.0
2019-03-31,55328427.0
2019-04-30,66015259.0
2019-05-31,84428820.0
2019-06-30,67100820.0
2019-07-31,82697544.0
2019-08-31,76137462.0
2019-09-30,69609144.0
2019-10-31,74106135.0
2019-11-30,47696164.0
2019-12-31,38162396.0
2020-01-31,34540443.0
2020-02-29,56982387.0
2020-03-31,56112294.0
2020-04-30,23276235.0
2020-05-31,32429407.0
2020-06-30,60374055.0
2020-07-31,68420106.0
2020-08-31,56299488.0
2020-09-30,62714542.0
2020-10-31,56543058.0
2020-11-30,49591330.0
2020-12-31,45408065.0
2021-01-31,47627510.0
2021-02-28,68717536.0
2021-03-31,100471525.0
2021-04-30,116700760.0
2021-05-31,109734902.0
2021-06-30,113787596.0
2021-07-31,89831634.0
2021-08-31,85858188.0
2021-09-30,94313442.0
2021-10-31,103722480.0
2021-11-30,94856716.0
2021-12-31,80367995.0
2022-01-31,95726337.0
2022-02-28,155159278.0
2022-03-31,224162853.0
2022-04-30,177437886.0
2022-05-31,182093980.0
2022-06-30,162564962.0
2022-07-31,141201711.0
2022-08-31,141572224.0
2022-09-30,138887550.0
2022-10-31,129952438.0
2022-11-30,130881408.0
2022-12-31,88116563.0
2023-01-31,90309774.0
2023-02-28,137822227.0
2023-03-31,208160722.0
2023-04-30,217979650.0
2023-05-31,263791242.0
2023-06-30,258750582.0
2023-07-31,238219900.0
