,detached_active_listings
2006-01-31,658
2006-02-28,650
2006-03-31,837
2006-04-30,806
2006-05-31,922
2006-06-30,1298
2006-07-31,1997
2006-08-31,2545
2006-09-30,3291
2006-10-31,3456
2006-11-30,2741
2006-12-31,1649
2007-01-31,1858
2007-02-28,1732
2007-03-31,2126
2007-04-30,2581
2007-05-31,3339
2007-06-30,3843
2007-07-31,3779
2007-08-31,3976
2007-09-30,4562
2007-10-31,4536
2007-11-30,4000
2007-12-31,2722
2008-01-31,3470
2008-02-29,4286
2008-03-31,5169
2008-04-30,5756
2008-05-31,6186
2008-06-30,5723
2008-07-31,5269
2008-08-31,4740
2008-09-30,4589
2008-10-31,4579
2008-11-30,4105
2008-12-31,2998
2009-01-31,3294
2009-02-28,3568
2009-03-31,3704
2009-04-30,3567
2009-05-31,3360
2009-06-30,2941
2009-07-31,2757
2009-08-31,2751
2009-09-30,2656
2009-10-31,2476
2009-11-30,2191
2009-12-31,1499
2010-01-31,1991
2010-02-28,2531
2010-03-31,3393
2010-04-30,4194
2010-05-31,4774
2010-06-30,4988
2010-07-31,4596
2010-08-31,4254
2010-09-30,4090
2010-10-31,3764
2010-11-30,3162
2010-12-31,2084
2011-01-31,2441
2011-02-28,2955
2011-03-31,3342
2011-04-30,3666
2011-05-31,3910
2011-06-30,3914
2011-07-31,3817
2011-08-31,3759
2011-09-30,3916
2011-10-31,3653
2011-11-30,3035
2011-12-31,2077
2012-01-31,2341
2012-02-29,2541
2012-03-31,2784
2012-04-30,2914
2012-05-31,3272
2012-06-30,3241
2012-07-31,3020
2012-08-31,2873
2012-09-30,2826
2012-10-31,2521
2012-11-30,2051
2012-12-31,1325
2013-01-31,1653
2013-02-28,1929
2013-03-31,2275
2013-04-30,2549
2013-05-31,2877
2013-06-30,2743
2013-07-31,2529
2013-08-31,2290
2013-09-30,2266
2013-10-31,2102
2013-11-30,1666
2013-12-31,1062
2014-01-31,1273
2014-02-28,1502
2014-03-31,1708
2014-04-30,2194
2014-05-31,2589
2014-06-30,2771
2014-07-31,2707
2014-08-31,2650
2014-09-30,2571
2014-10-31,2205
2014-11-30,2015
2014-12-31,1687
2015-01-31,2506
2015-02-28,2950
2015-03-31,3016
2015-04-30,3024
2015-05-31,2913
2015-06-30,2760
2015-07-31,2728
2015-08-31,2801
2015-09-30,3012
2015-10-31,2922
2015-11-30,2680
2015-12-31,2138
2016-01-31,2546
2016-02-29,2943
2016-03-31,3077
2016-04-30,3127
2016-05-31,3018
2016-06-30,2923
2016-07-31,2727
2016-08-31,2720
2016-09-30,2823
2016-10-31,2565
2016-11-30,2322
2016-12-31,1719
2017-01-31,1849
2017-02-28,1990
2017-03-31,2312
2017-04-30,2522
2017-05-31,2941
2017-06-30,3224
2017-07-31,3268
2017-08-31,3280
2017-09-30,3479
2017-10-31,3246
2017-11-30,2758
2017-12-31,2033
2018-01-31,2185
2018-02-28,2456
2018-03-31,3063
2018-04-30,3642
2018-05-31,4504
2018-06-30,4817
2018-07-31,4578
2018-08-31,4433
2018-09-30,4348
2018-10-31,3976
2018-11-30,3491
2018-12-31,2592
2019-01-31,2834
2019-02-28,2987
2019-03-31,3393
2019-04-30,3691
2019-05-31,3921
2019-06-30,3961
2019-07-31,3806
2019-08-31,3731
2019-09-30,3607
2019-10-31,3391
2019-11-30,2928
2019-12-31,2210
2020-01-31,2411
2020-02-29,2639
2020-03-31,2829
2020-04-30,2775
2020-05-31,2922
2020-06-30,3129
2020-07-31,3299
2020-08-31,3243
2020-09-30,3077
2020-10-31,2736
2020-11-30,2244
2020-12-31,1560
2021-01-31,1685
2021-02-28,1927
2021-03-31,2409
2021-04-30,2780
2021-05-31,3197
2021-06-30,3261
2021-07-31,3109
2021-08-31,2770
2021-09-30,2496
2021-10-31,2063
2021-11-30,1526
2021-12-31,898
2022-01-31,895
2022-02-28,1688
2022-03-31,2191
2022-04-30,2459
2022-05-31,2552
2022-06-30,2667
2022-07-31,2596
2022-08-31,2389
2022-09-30,2218
2022-10-31,1946
2022-11-30,1568
2022-12-31,1061
