,detached_avg_price
2006-01-31,348016.0
2006-02-28,368067.0
2006-03-31,391009.0
2006-04-30,399714.0
2006-05-31,427330.0
2006-06-30,433610.0
2006-07-31,430970.0
2006-08-31,446093.0
2006-09-30,440679.0
2006-10-31,433783.0
2006-11-30,419658.0
2006-12-31,415116.0
2007-01-31,440005.0
2007-02-28,453581.0
2007-03-31,484936.0
2007-04-30,480483.0
2007-05-31,495462.0
2007-06-30,503637.0
2007-07-31,515428.0
2007-08-31,494825.0
2007-09-30,477910.0
2007-10-31,459245.0
2007-11-30,463208.0
2007-12-31,450169.0
2008-01-31,451073.0
2008-02-29,474043.0
2008-03-31,477863.0
2008-04-30,480639.0
2008-05-31,485604.0
2008-06-30,478699.0
2008-07-31,462110.0
2008-08-31,445299.0
2008-09-30,449240.0
2008-10-31,448726.0
2008-11-30,443027.0
2008-12-31,423347.0
2009-01-31,417434.0
2009-02-28,419689.0
2009-03-31,428733.0
2009-04-30,427895.0
2009-05-31,442180.0
2009-06-30,449279.0
2009-07-31,443979.0
2009-08-31,457711.0
2009-09-30,464806.0
2009-10-31,472393.0
2009-11-30,475738.0
2009-12-31,458878.0
2010-01-31,449539.0
2010-02-28,465092.0
2010-03-31,479511.0
2010-04-30,468831.0
2010-05-31,492624.0
2010-06-30,487222.0
2010-07-31,474552.0
2010-08-31,452355.0
2010-09-30,466216.0
2010-10-31,446635.0
2010-11-30,456823.0
2010-12-31,440537.0
2011-01-31,460161.0
2011-02-28,468222.0
2011-03-31,467445.0
2011-04-30,483185.0
2011-05-31,496552.0
2011-06-30,483355.0
2011-07-31,460530.0
2011-08-31,457712.0
2011-09-30,476431.0
2011-10-31,460958.0
2011-11-30,472784.0
2011-12-31,458050.0
2012-01-31,446070.0
2012-02-29,470396.0
2012-03-31,476857.0
2012-04-30,485855.0
2012-05-31,502724.0
2012-06-30,493227.0
2012-07-31,482865.0
2012-08-31,480001.0
2012-09-30,475695.0
2012-10-31,495118.0
2012-11-30,490610.0
2012-12-31,500797.0
2013-01-31,493007.0
2013-02-28,525231.0
2013-03-31,518392.0
2013-04-30,512238.0
2013-05-31,527341.0
2013-06-30,536725.0
2013-07-31,533661.0
2013-08-31,522056.0
2013-09-30,517328.0
2013-10-31,521331.0
2013-11-30,526763.0
2013-12-31,525790.0
2014-01-31,527799.0
2014-02-28,553493.0
2014-03-31,557976.0
2014-04-30,549883.0
2014-05-31,561081.0
2014-06-30,566233.0
2014-07-31,559445.0
2014-08-31,548516.0
2014-09-30,573864.0
2014-10-31,559956.0
2014-11-30,564300.0
2014-12-31,553840.0
2015-01-31,526394.0
2015-02-28,526271.0
2015-03-31,546233.0
2015-04-30,545597.0
2015-05-31,541582.0146412884
2015-06-30,554086.720599251
2015-07-31,541618.2274959084
2015-08-31,537777.005
2015-09-30,523188.24061810155
2015-10-31,518955.8922018349
2015-11-30,523429.7521902378
2015-12-31,533610.6285178236
2016-01-31,520871.38279569894
2016-02-29,539733.3965267728
2016-03-31,538016.7263681592
2016-04-30,540623.6543209876
2016-05-31,562195.2448644207
2016-06-30,557976.9531981279
2016-07-31,541900.0
2016-08-31,543312.0
2016-09-30,565048.0
2016-10-31,530686.0
2016-11-30,558375.0
2016-12-31,573833.0
2017-01-31,543737.0
2017-02-28,557061.0
2017-03-31,571295.0
2017-04-30,562633.0
2017-05-31,580250.0
2017-06-30,570084.0
2017-07-31,554544.0
2017-08-31,551608.0
2017-09-30,556372.0
2017-10-31,545221.0
2017-11-30,533474.0
2017-12-31,520707.0
2018-01-31,545834.0
2018-02-28,575407.0
2018-03-31,568564.0
2018-04-30,559484.0
2018-05-31,573567.0
2018-06-30,573427.0
2018-07-31,560451.0
2018-08-31,563468.0
2018-09-30,545471.0
2018-10-31,543286.0
2018-11-30,532262.0
2018-12-31,509127.0
2019-01-31,521373.0
2019-02-28,540957.0
2019-03-31,528426.0
2019-04-30,544584.0
2019-05-31,556834.0
2019-06-30,538193.0
2019-07-31,525314.0
2019-08-31,535422.0
2019-09-30,542410.0
2019-10-31,530277.0
2019-11-30,520046.0
2019-12-31,529057.0
2020-01-31,539418.0
2020-02-29,528623.0
2020-03-31,536504.0
2020-04-30,498957.0
2020-05-31,515944.0
2020-06-30,539708.0
2020-07-31,543738.0
2020-08-31,550782.0
2020-09-30,547693.0
2020-10-31,554985.0
2020-11-30,537746.0
2020-12-31,532390.0
2021-01-31,559499.0
2021-02-28,572670.0
2021-03-31,594807.0
2021-04-30,594791.0
2021-05-31,595881.0
2021-06-30,583587.0
2021-07-31,584346.0
2021-08-31,590784.0
2021-09-30,581104.0
2021-10-31,571258.0
2021-11-30,584922.0
2021-12-31,587413.0
2022-01-31,624161.0
2022-02-28,677755.0
2022-03-31,670519.0
2022-04-30,669028.0
2022-05-31,660124.0
2022-06-30,667673.0
2022-07-31,637269.0
2022-08-31,636353.0
2022-09-30,638813.0
2022-10-31,655584.0
2022-11-30,623427.0
2022-12-31,638916.0
2023-01-31,670897.0
2023-02-28,679479.0
2023-03-31,706816.0
2023-04-30,729870.0
2023-05-31,732321.0
2023-06-30,730299.0
2023-07-31,731005.0
2023-08-31,707337.0
2023-09-30,729888.0
2023-10-31,725758.0
2023-11-30,723478.0
2023-12-31,733844.0
