,detached_dom
2006-01-31,24
2006-02-28,17
2006-03-31,14
2006-04-30,15
2006-05-31,14
2006-06-30,15
2006-07-31,19
2006-08-31,25
2006-09-30,29
2006-10-31,33
2006-11-30,39
2006-12-31,44
2007-01-31,40
2007-02-28,30
2007-03-31,25
2007-04-30,25
2007-05-31,25
2007-06-30,30
2007-07-31,37
2007-08-31,40
2007-09-30,41
2007-10-31,41
2007-11-30,47
2007-12-31,52
2008-01-31,50
2008-02-29,40
2008-03-31,40
2008-04-30,41
2008-05-31,43
2008-06-30,47
2008-07-31,52
2008-08-31,53
2008-09-30,52
2008-10-31,48
2008-11-30,56
2008-12-31,61
2009-01-31,63
2009-02-28,51
2009-03-31,48
2009-04-30,51
2009-05-31,45
2009-06-30,44
2009-07-31,42
2009-08-31,41
2009-09-30,39
2009-10-31,41
2009-11-30,42
2009-12-31,46
2010-01-31,42
2010-02-28,34
2010-03-31,33
2010-04-30,36
2010-05-31,38
2010-06-30,39
2010-07-31,46
2010-08-31,51
2010-09-30,53
2010-10-31,51
2010-11-30,52
2010-12-31,58
2011-01-31,56
2011-02-28,44
2011-03-31,39
2011-04-30,41
2011-05-31,41
2011-06-30,42
2011-07-31,48
2011-08-31,49
2011-09-30,48
2011-10-31,52
2011-11-30,51
2011-12-31,58
2012-01-31,58
2012-02-29,47
2012-03-31,40
2012-04-30,38
2012-05-31,36
2012-06-30,36
2012-07-31,40
2012-08-31,42
2012-09-30,42
2012-10-31,42
2012-11-30,50
2012-12-31,51
2013-01-31,47
2013-02-28,37
2013-03-31,33
2013-04-30,30
2013-05-31,31
2013-06-30,33
2013-07-31,37
2013-08-31,37
2013-09-30,37
2013-10-31,39
2013-11-30,39
2013-12-31,44
2014-01-31,40
2014-02-28,29
2014-03-31,26
2014-04-30,25
2014-05-31,25
2014-06-30,27
2014-07-31,32
2014-08-31,33
2014-09-30,35
2014-10-31,36
2014-11-30,38
2014-12-31,41
2015-01-31,37
2015-02-28,34
2015-03-31,37
2015-04-30,38
2015-05-31,38
2015-06-30,37
2015-07-31,37
2015-08-31,37
2015-09-30,37
2015-10-31,38
2015-11-30,43
2015-12-31,47
2016-01-31,48
2016-02-29,38
2016-03-31,41
2016-04-30,44
2016-05-31,39
2016-06-30,41
2016-07-31,43
2016-08-31,41
2016-09-30,42
2016-10-31,42
2016-11-30,45
2016-12-31,50
2017-01-31,46
2017-02-28,41
2017-03-31,38
2017-04-30,32
2017-05-31,31
2017-06-30,32
2017-07-31,38
2017-08-31,40
2017-09-30,42
2017-10-31,44
2017-11-30,48
2017-12-31,51
2018-01-31,55
2018-02-28,45
2018-03-31,37
2018-04-30,41
2018-05-31,40
2018-06-30,41
2018-07-31,49
2018-08-31,51
2018-09-30,58
2018-10-31,57
2018-11-30,60
2018-12-31,66
2019-01-31,67
2019-02-28,62
2019-03-31,57
2019-04-30,49
2019-05-31,50
2019-06-30,49
2019-07-31,50
2019-08-31,54
2019-09-30,55
2019-10-31,52
2019-11-30,61
2019-12-31,64
2020-01-31,61
2020-02-29,53
2020-03-31,47
2020-04-30,50
2020-05-31,54
2020-06-30,50
2020-07-31,46
2020-08-31,46
2020-09-30,50
2020-10-31,47
2020-11-30,50
2020-12-31,53
2021-01-31,61
2021-02-28,53
2021-03-31,47
2021-04-30,50
2021-05-31,54
2021-06-30,50
2021-07-31,33
2021-08-31,46
2021-09-30,50
2021-10-31,39
2021-11-30,40
2021-12-31,39
2022-01-31,33
2022-02-28,14
2022-03-31,14
2022-04-30,18
2022-05-31,22
2022-06-30,24
2022-07-31,29
2022-08-31,31
2022-09-30,36
2022-10-31,36
2022-11-30,37
2022-12-31,46
