,detached_new_listings
2006-01-31,1586
2006-02-28,1750
2006-03-31,2201
2006-04-30,1922
2006-05-31,2198
2006-06-30,2460
2006-07-31,2409
2006-08-31,2314
2006-09-30,2660
2006-10-31,2288
2006-11-30,1461
2006-12-31,873
2007-01-31,2086
2007-02-28,1990
2007-03-31,2827
2007-04-30,2807
2007-05-31,3297
2007-06-30,2974
2007-07-31,2265
2007-08-31,2556
2007-09-30,2783
2007-10-31,2320
2007-11-30,1748
2007-12-31,874
2008-01-31,2713
2008-02-29,2678
2008-03-31,3141
2008-04-30,3038
2008-05-31,3086
2008-06-30,2480
2008-07-31,2321
2008-08-31,2023
2008-09-30,2336
2008-10-31,2063
2008-11-30,1372
2008-12-31,719
2009-01-31,1830
2009-02-28,1825
2009-03-31,1812
2009-04-30,1782
2009-05-31,1971
2009-06-30,1973
2009-07-31,1854
2009-08-31,1696
2009-09-30,1646
2009-10-31,1571
2009-11-30,1218
2009-12-31,715
2010-01-31,1599
2010-02-28,1922
2010-03-31,2656
2010-04-30,2766
2010-05-31,2655
2010-06-30,2421
2010-07-31,1754
2010-08-31,1752
2010-09-30,2011
2010-10-31,1562
2010-11-30,1153
2010-12-31,657
2011-01-31,1734
2011-02-28,2021
2011-03-31,2174
2011-04-30,2036
2011-05-31,2263
2011-06-30,2153
2011-07-31,1815
2011-08-31,1858
2011-09-30,2034
2011-10-31,1583
2011-11-30,1131
2011-12-31,644
2012-01-31,1534
2012-02-29,1762
2012-03-31,2111
2012-04-30,2050
2012-05-31,2435
2012-06-30,2058
2012-07-31,1693
2012-08-31,1589
2012-09-30,1677
2012-10-31,1426
2012-11-30,987
2012-12-31,539
2013-01-31,1521
2013-02-28,1623
2013-03-31,2007
2013-04-30,2123
2013-05-31,2389
2013-06-30,1914
2013-07-31,1750
2013-08-31,1711
2013-09-30,1714
2013-10-31,1508
2013-11-30,1081
2013-12-31,548
2014-01-31,1399
2014-02-28,1556
2014-03-31,1963
2014-04-30,2254
2014-05-31,2576
2014-06-30,2281
2014-07-31,1862
2014-08-31,1793
2014-09-30,1868
2014-10-31,1626
2014-11-30,1126
2014-12-31,762
2015-01-31,1836
2015-02-28,1673
2015-03-31,1776
2015-04-30,1774
2015-05-31,1879
2015-06-30,1832
2015-07-31,1733
2015-08-31,1644
2015-09-30,1771
2015-10-31,1443
2015-11-30,1185
2015-12-31,793
2016-01-31,1488
2016-02-29,1611
2016-03-31,1821
2016-04-30,1821
2016-05-31,1852
2016-06-30,1739
2016-07-31,1489
2016-08-31,1524
2016-09-30,1660
2016-10-31,1325
2016-11-30,1062
2016-12-31,516
2017-01-31,1228
2017-02-28,1294
2017-03-31,1798
2017-04-30,1861
2017-05-31,2240
2017-06-30,2168
2017-07-31,1690
2017-08-31,1677
2017-09-30,1873
2017-10-31,1480
2017-11-30,1122
2017-12-31,675
2018-01-31,1289
2018-02-28,1293
2018-03-31,1871
2018-04-30,2007
2018-05-31,2662
2018-06-30,2305
2018-07-31,1733
2018-08-31,1823
2018-09-30,1785
2018-10-31,1387
2018-11-30,1088
2018-12-31,577
2019-01-31,1361
2019-02-28,1184
2019-03-31,1702
2019-04-30,1787
2019-05-31,2017
2019-06-30,1791
2019-07-31,1606
2019-08-31,1587
2019-09-30,1517
2019-10-31,1326
2019-11-30,947
2019-12-31,555
2020-01-31,1213
2020-02-29,1344
2020-03-31,1343
2020-04-30,783
2020-05-31,1362
2020-06-30,1892
2020-07-31,1670
2020-08-31,1482
2020-09-30,1479
2020-10-31,1328
2020-11-30,893
2020-12-31,600
2021-01-31,1113
2021-02-28,1573
2021-03-31,2613
2021-04-30,2772
2021-05-31,2732
2021-06-30,2393
2021-07-31,1822
2021-08-31,1572
2021-09-30,1562
2021-10-31,1350
2021-11-30,1052
2021-12-31,646
2022-01-31,1295
2022-02-28,2874
2022-03-31,3152
2022-04-30,2540
2022-05-31,2221
2022-06-30,2161
2022-07-31,1610
2022-08-31,1480
2022-09-30,1381
2022-10-31,1151
2022-11-30,849
2022-12-31,495
2023-01-31,879
2023-02-28,1138
2023-03-31,1612
2023-04-30,1480
2023-05-31,1797
2023-06-30,1950
2023-07-31,1587
2023-08-31,1515
2023-09-30,1517
2023-10-31,1302
2023-11-30,998
2023-12-31,574
