,detached_volume
2006-01-31,448940640.0
2006-02-28,588539133.0
2006-03-31,714373443.0
2006-04-30,708692922.0
2006-05-31,767484680.0
2006-06-30,742340320.0
2006-07-31,535695710.0
2006-08-31,518360066.0
2006-09-30,460509555.0
2006-10-31,480197781.0
2006-11-30,519536604.0
2006-12-31,435871800.0
2007-01-31,590486710.0
2007-02-28,797395398.0
2007-03-31,984905016.0
2007-04-30,889854516.0
2007-05-31,886381518.0
2007-06-30,789702816.0
2007-07-31,686550096.0
2007-08-31,571028050.0
2007-09-30,448757490.0
2007-10-31,449600855.0
2007-11-30,455796672.0
2007-12-31,341228102.0
2008-01-31,437991883.0
2008-02-29,519077085.0
2008-03-31,614053955.0
2008-04-30,588302136.0
2008-05-31,603605772.0
2008-06-30,620393904.0
2008-07-31,545289800.0
2008-08-31,470681043.0
2008-09-30,469455800.0
2008-10-31,335198322.0
2008-11-30,272018578.0
2008-12-31,166798718.0
2009-01-31,205794962.0
2009-02-28,318124262.0
2009-03-31,415871010.0
2009-04-30,498069780.0
2009-05-31,635412660.0
2009-06-30,745803140.0
2009-07-31,626010390.0
2009-08-31,511263187.0
2009-09-30,520117914.0
2009-10-31,538055627.0
2009-11-30,456232742.0
2009-12-31,320755722.0
2010-01-31,303888364.0
2010-02-28,435326112.0
2010-03-31,594593640.0
2010-04-30,563066031.0
2010-05-31,551738880.0
2010-06-30,457501458.0
2010-07-31,395776368.0
2010-08-31,351479835.0
2010-09-30,405141704.0
2010-10-31,358201270.0
2010-11-30,362717462.0
2010-12-31,288111198.0
2011-01-31,320732217.0
2011-02-28,485546214.0
2011-03-31,570750345.0
2011-04-30,533436240.0
2011-05-31,588414120.0
2011-06-30,609027300.0
2011-07-31,479411730.0
2011-08-31,451304032.0
2011-09-30,434028641.0
2011-10-31,401955376.0
2011-11-30,398556912.0
2011-12-31,287655400.0
2012-01-31,302881530.0
2012-02-29,530136292.0
2012-03-31,673322084.0
2012-04-30,696230215.0
2012-05-31,780730372.0
2012-06-30,707780745.0
2012-07-31,596338275.0
2012-08-31,504961052.0
2012-09-30,478073475.0
2012-10-31,522349490.0
2012-11-30,432227410.0
2012-12-31,329023629.0
2013-01-31,384052453.0
2013-02-28,551492550.0
2013-03-31,675983168.0
2013-04-30,731475864.0
2013-05-31,828452711.0
2013-06-30,792742825.0
2013-07-31,739120485.0
2013-08-31,704775600.0
2013-09-30,619758944.0
2013-10-31,613085256.0
2013-11-30,548360283.0
2013-12-31,354382460.0
2014-01-31,452323743.0
2014-02-28,597772440.0
2014-03-31,840311856.0
2014-04-30,842970639.0
2014-05-31,995357694.0
2014-06-30,877661150.0
2014-07-31,763082980.0
2014-08-31,701003448.0
2014-09-30,702409536.0
2014-10-31,722343240.0
2014-11-30,582921900.0
2014-12-31,336180880.0
2015-01-31,281094396.0
2015-02-28,389440540.0
2015-03-31,591024106.0
2015-04-30,626890953.0
2015-05-31,739801032.0
2015-06-30,739705772.0000001
2015-07-31,661857474.0
2015-08-31,537777005.0
2015-09-30,474008546.0
2015-10-31,452529538.00000006
2015-11-30,418220372.0
2015-12-31,284414465.0
2016-01-31,242205192.99999997
2016-02-29,372955777.0
2016-03-31,540706810.0
2016-04-30,613067223.9999999
2016-05-31,684191613.0
2016-06-30,715326454.0
2016-07-31,602050900.0
2016-08-31,532445760.0
2016-09-30,533970360.0
2016-10-31,547137266.0
2016-11-30,433857375.0
2016-12-31,327658643.0
2017-01-31,317542408.0
2017-02-28,459575325.0
2017-03-31,671842920.0
2017-04-30,677410132.0
2017-05-31,799584500.0
2017-06-30,788996256.0
2017-07-31,564525792.0
2017-08-31,544437096.0
2017-09-30,511305868.0
2017-10-31,495060668.0
2017-11-30,466789750.0
2017-12-31,320755512.0
2018-01-31,318221222.0
2018-02-28,378042399.0
2018-03-31,482142272.0
2018-04-30,508011472.0
2018-05-31,606833886.0
2018-06-30,693846670.0
2018-07-31,543077019.0
2018-08-31,522334836.0
2018-09-30,432013032.0
2018-10-31,450384094.0
2018-11-30,361405898.0
2018-12-31,252526992.0
2019-01-31,253387278.0
2019-02-28,320787501.0
2019-03-31,432252468.0
2019-04-30,506463120.0
2019-05-31,658177788.0
2019-06-30,592012300.0
2019-07-31,526889942.0
2019-08-31,506509212.0
2019-09-30,448030660.0
2019-10-31,451796004.0
2019-11-30,369232660.0
2019-12-31,266644728.0
2020-01-31,278879106.0
2020-02-29,362106755.0
2020-03-31,370724264.0
2020-04-30,169645380.0
2020-05-31,345682480.0
2020-06-30,589361136.0
2020-07-31,637804674.0
2020-08-31,546375744.0
2020-09-30,576173036.0
2020-10-31,632127915.0
2020-11-30,474829718.0
2020-12-31,381723630.0
2021-01-31,409553268.0
2021-02-28,643108410.0
2021-03-31,1109909862.0
2021-04-30,1216942386.0
2021-05-31,1138728591.0
2021-06-30,1061544753.0
2021-07-31,825680898.0
2021-08-31,768019200.0
2021-09-30,736839872.0
2021-10-31,761486914.0
2021-11-30,728812812.0
2021-12-31,591524891.0
2022-01-31,716536828.0
2022-02-28,1291123275.0
2022-03-31,1528783320.0
2022-04-30,1238370828.0
2022-05-31,1069400880.0
2022-06-30,990159059.0
2022-07-31,723937584.0
2022-08-31,678988651.0
2022-09-30,620287423.0
2022-10-31,617560128.0
2022-11-30,509963286.0
2022-12-31,394211172.0
