,er_active_listings
2014-01-31,3446.0
2014-02-28,4053.0
2014-03-31,4567.0
2014-04-30,5470.0
2014-05-31,6342.0
2014-06-30,6610.0
2014-07-31,6518.0
2014-08-31,6429.0
2014-09-30,6216.0
2014-10-31,5865.0
2014-11-30,5115.0
2014-12-31,4055.0
2015-01-31,5924.0
2015-02-28,7093.0
2015-03-31,7646.0
2015-04-30,7651.0
2015-05-31,7460.0
2015-06-30,7148.0
2015-07-31,7118.0
2015-08-31,7178.0
2015-09-30,7550.0
2015-10-31,7527.0
2015-11-30,7113.0
2015-12-31,5872.0
2016-01-31,6764.0
2016-02-29,7608.0
2016-03-31,8246.0
2016-04-30,9177.0
2016-05-31,9117.0
2016-06-30,8944.0
2016-07-31,8612.0
2016-08-31,8477.0
2016-09-30,8595.0
2016-10-31,7947.0
2016-11-30,7378.0
2016-12-31,5738.0
2017-01-31,6261.0
2017-02-28,6823.0
2017-03-31,7659.0
2017-04-30,8329.0
2017-05-31,9229.0
2017-06-30,9912.0
2017-07-31,9955.0
2017-08-31,9927.0
2017-09-30,10040.0
2017-10-31,9377.0
2017-11-30,8446.0
2017-12-31,6569.0
2018-01-31,7046.0
2018-02-28,7739.0
2018-03-31,9286.0
2018-04-30,10570.0
2018-05-31,12120.0
2018-06-30,12592.0
2018-07-31,12228.0
2018-08-31,11831.0
2018-09-30,7046.0
2018-10-31,10644.0
2018-11-30,9520.0
2018-12-31,7443.0
2019-01-31,8195.0
2019-02-28,8726.0
2019-03-31,9698.0
2019-04-30,10432.0
2019-05-31,11019.0
2019-06-30,11336.0
2019-07-31,10726.0
2019-08-31,10543.0
2019-09-30,10231.0
2019-10-31,9513.0
2019-11-30,8624.0
2019-12-31,6805.0
2020-01-31,5054.0
2020-02-29,8123.0
2020-03-31,8508.0
2020-04-30,8201.0
2020-05-31,8509.0
2020-06-30,9043.0
2020-07-31,9787.0
2020-08-31,9445.0
2020-09-30,8882.0
2020-10-31,8241.0
2020-11-30,7102.0
2020-12-31,5328.0
2021-01-31,5771.0
2021-02-28,6312.0
2021-03-31,7348.0
2021-04-30,8058.0
2021-05-31,8862.0
2021-06-30,9041.0
2021-07-31,8727.0
2021-08-31,7986.0
2021-09-30,7365.0
2021-10-31,6423.0
2021-11-30,5156.0
2021-12-31,3472.0
2022-01-31,3459.0
2022-02-28,4640.0
2022-03-31,5649.0
2022-04-30,6283.0
2022-05-31,6895.0
2022-06-30,6895.0
2022-07-31,7140.0
2022-08-31,6597.0
2022-09-30,6144.0
2022-10-31,5460.0
2022-11-30,4465.0
2022-12-31,
