,er_new_listings
2014-01-31,3012
2014-02-28,3370
2014-03-31,4126
2014-04-30,4616
2014-05-31,5356
2014-06-30,4754
2014-07-31,4038
2014-08-31,3877
2014-09-30,3960
2014-10-31,3576
2014-11-30,2574
2014-12-31,1671
2015-01-31,4034
2015-02-28,3680
2015-03-31,3972
2015-04-30,3901
2015-05-31,4024
2015-06-30,3992
2015-07-31,3769
2015-08-31,3464
2015-09-30,3790
2015-10-31,3341
2015-11-30,2708
2015-12-31,1863
2016-01-31,3454
2016-02-29,3635
2016-03-31,4155
2016-04-30,4257
2016-05-31,4418
2016-06-30,4108
2016-07-31,3533
2016-08-31,3589
2016-09-30,3785
2016-10-31,3147
2016-11-30,2586
2016-12-31,1296
2017-01-31,3136
2017-02-28,3260
2017-03-31,4319
2017-04-30,4433
2017-05-31,5053
2017-06-30,4960
2017-07-31,3922
2017-08-31,3997
2017-09-30,4155
2017-10-31,3397
2017-11-30,2774
2017-12-31,1611
2018-01-31,3279
2018-02-28,3160
2018-03-31,4481
2018-04-30,4739
2018-05-31,5741
2018-06-30,5042
2018-07-31,3936
2018-08-31,4045
2018-09-30,3279
2018-10-31,3196
2018-11-30,2547
2018-12-31,1415
2019-01-31,3407
2019-02-28,2974
2019-03-31,3985
2019-04-30,4194
2019-05-31,4547
2019-06-30,4168
2019-07-31,3620
2019-08-31,3743
2019-09-30,3542
2019-10-31,3113
2019-11-30,2407
2019-12-31,1410
2020-01-31,3115
2020-02-29,3426
2020-03-31,3198
2020-04-30,1918
2020-05-31,3222
2020-06-30,4434
2020-07-31,4130
2020-08-31,3415
2020-09-30,3551
2020-10-31,3199
2020-11-30,2271
2020-12-31,1172
2021-01-31,3007
2021-02-28,3756
2021-03-31,5758
2021-04-30,6084
2021-05-31,5969
2021-06-30,5398
2021-07-31,4266
2021-08-31,3727
2021-09-30,3733
2021-10-31,3232
2021-11-30,2525
2021-12-31,1593
2022-01-31,3145
2022-02-28,5880
2022-03-31,7066
2022-04-30,5941
2022-05-31,5613
2022-06-30,5390
2022-07-31,4110
2022-08-31,3618
2022-09-30,3464
2022-10-31,2812
2022-11-30,2086
2022-12-31,1317
