,er_sales
2014-01-31,1708
2014-02-28,2223
2014-03-31,3014
2014-04-30,3158
2014-05-31,3621
2014-06-30,3306
2014-07-31,2902
2014-08-31,2757
2014-09-30,2650
2014-10-31,2643
2014-11-30,2138
2014-12-31,1293
2015-01-31,1101
2015-02-28,1487
2015-03-31,2157
2015-04-30,2398
2015-05-31,2706
2015-06-30,2733
2015-07-31,2484
2015-08-31,2066
2015-09-30,1802
2015-10-31,1770
2015-11-30,1582
2015-12-31,1088
2016-01-31,955
2016-02-29,1401
2016-03-31,1930
2016-04-30,2261
2016-05-31,2484
2016-06-30,2634
2016-07-31,2247
2016-08-31,2035
2016-09-30,1948
2016-10-31,2100
2016-11-30,1554
2016-12-31,1196
2017-01-31,1164
2017-02-28,1720
2017-03-31,2428
2017-04-30,2426
2017-05-31,2731
2017-06-30,2701
2017-07-31,2125
2017-08-31,2104
2017-09-30,1926
2017-10-31,1877
2017-11-30,1786
2017-12-31,1314
2018-01-31,1230
2018-02-28,1480
2018-03-31,1754
2018-04-30,1918
2018-05-31,2250
2018-06-30,2440
2018-07-31,2033
2018-08-31,1982
2018-09-30,1476
2018-10-31,1702
2018-11-30,1487
2018-12-31,993
2019-01-31,1022
2019-02-28,1298
2019-03-31,1742
2019-04-30,1984
2019-05-31,2480
2019-06-30,2323
2019-07-31,2172
2019-08-31,2059
2019-09-30,1822
2019-10-31,1868
2019-11-30,1464
2019-12-31,1111
2020-01-31,1140
2020-02-29,1554
2020-03-31,1552
2020-04-30,798
2020-05-31,1470
2020-06-30,2351
2020-07-31,2591
2020-08-31,2257
2020-09-30,2417
2020-10-31,2439
2020-11-30,1986
2020-12-31,1674
2021-01-31,1706
2021-02-28,2516
2021-03-31,3935
2021-04-30,4395
2021-05-31,4116
2021-06-30,3936
2021-07-31,3135
2021-08-31,2925
2021-09-30,2909
2021-10-31,2905
2021-11-30,2760
2021-12-31,2274
2022-01-31,2600
2022-02-28,4252
2022-03-31,5333
2022-04-30,4516
2022-05-31,4072
2022-06-30,3734
2022-07-31,2946
2022-08-31,2765
2022-09-30,2500
2022-10-31,2391
2022-11-30,2080
2022-12-31,1569
