,row_active_listings
2006-01-31,
2006-02-28,
2006-03-31,
2006-04-30,
2006-05-31,
2006-06-30,
2006-07-31,
2006-08-31,
2006-09-30,
2006-10-31,
2006-11-30,
2006-12-31,
2007-01-31,
2007-02-28,
2007-03-31,
2007-04-30,
2007-05-31,
2007-06-30,
2007-07-31,
2007-08-31,
2007-09-30,
2007-10-31,
2007-11-30,
2007-12-31,
2008-01-31,625.0
2008-02-29,725.0
2008-03-31,838.0
2008-04-30,998.0
2008-05-31,1097.0
2008-06-30,1034.0
2008-07-31,993.0
2008-08-31,937.0
2008-09-30,911.0
2008-10-31,876.0
2008-11-30,769.0
2008-12-31,579.0
2009-01-31,632.0
2009-02-28,684.0
2009-03-31,671.0
2009-04-30,682.0
2009-05-31,655.0
2009-06-30,587.0
2009-07-31,522.0
2009-08-31,480.0
2009-09-30,491.0
2009-10-31,467.0
2009-11-30,433.0
2009-12-31,376.0
2010-01-31,429.0
2010-02-28,539.0
2010-03-31,654.0
2010-04-30,771.0
2010-05-31,873.0
2010-06-30,904.0
2010-07-31,853.0
2010-08-31,793.0
2010-09-30,765.0
2010-10-31,756.0
2010-11-30,680.0
2010-12-31,499.0
2011-01-31,554.0
2011-02-28,640.0
2011-03-31,657.0
2011-04-30,706.0
2011-05-31,748.0
2011-06-30,730.0
2011-07-31,710.0
2011-08-31,706.0
2011-09-30,714.0
2011-10-31,657.0
2011-11-30,581.0
2011-12-31,440.0
2012-01-31,468.0
2012-02-29,545.0
2012-03-31,560.0
2012-04-30,582.0
2012-05-31,648.0
2012-06-30,654.0
2012-07-31,585.0
2012-08-31,548.0
2012-09-30,504.0
2012-10-31,468.0
2012-11-30,402.0
2012-12-31,284.0
2013-01-31,334.0
2013-02-28,382.0
2013-03-31,406.0
2013-04-30,454.0
2013-05-31,445.0
2013-06-30,403.0
2013-07-31,359.0
2013-08-31,373.0
2013-09-30,380.0
2013-10-31,373.0
2013-11-30,319.0
2013-12-31,208.0
2014-01-31,230.0
2014-02-28,286.0
2014-03-31,342.0
2014-04-30,401.0
2014-05-31,480.0
2014-06-30,466.0
2014-07-31,464.0
2014-08-31,471.0
2014-09-30,490.0
2014-10-31,512.0
2014-11-30,437.0
2014-12-31,382.0
2015-01-31,545.0
2015-02-28,672.0
2015-03-31,679.0
2015-04-30,724.0
2015-05-31,672.0
2015-06-30,645.0
2015-07-31,644.0
2015-08-31,648.0
2015-09-30,722.0
2015-10-31,747.0
2015-11-30,740.0
2015-12-31,639.0
2016-01-31,733.0
2016-02-29,788.0
2016-03-31,896.0
2016-04-30,930.0
2016-05-31,974.0
2016-06-30,975.0
2016-07-31,882.0
2016-08-31,868.0
2016-09-30,888.0
2016-10-31,834.0
2016-11-30,770.0
2016-12-31,570.0
2017-01-31,610.0
2017-02-28,679.0
2017-03-31,764.0
2017-04-30,863.0
2017-05-31,949.0
2017-06-30,1001.0
2017-07-31,1001.0
2017-08-31,991.0
2017-09-30,993.0
2017-10-31,967.0
2017-11-30,861.0
2017-12-31,658.0
2018-01-31,698.0
2018-02-28,779.0
2018-03-31,941.0
2018-04-30,1075.0
2018-05-31,1163.0
2018-06-30,1209.0
2018-07-31,1187.0
2018-08-31,1113.0
2018-09-30,1107.0
2018-10-31,1009.0
2018-11-30,944.0
2018-12-31,715.0
2019-01-31,817.0
2019-02-28,908.0
2019-03-31,947.0
2019-04-30,1053.0
2019-05-31,1100.0
2019-06-30,1048.0
2019-07-31,980.0
2019-08-31,960.0
2019-09-30,970.0
2019-10-31,926.0
2019-11-30,869.0
2019-12-31,671.0
2020-01-31,749.0
2020-02-29,826.0
2020-03-31,887.0
2020-04-30,839.0
2020-05-31,881.0
2020-06-30,933.0
2020-07-31,1023.0
2020-08-31,1013.0
2020-09-30,956.0
2020-10-31,909.0
2020-11-30,822.0
2020-12-31,611.0
2021-01-31,698.0
2021-02-28,792.0
2021-03-31,877.0
2021-04-30,944.0
2021-05-31,1063.0
2021-06-30,1101.0
2021-07-31,1074.0
2021-08-31,958.0
2021-09-30,876.0
2021-10-31,820.0
2021-11-30,664.0
2021-12-31,439.0
2022-01-31,422.0
2022-02-28,535.0
2022-03-31,634.0
2022-04-30,737.0
2022-05-31,831.0
2022-06-30,799.0
2022-07-31,735.0
2022-08-31,615.0
2022-09-30,582.0
2022-10-31,465.0
2022-11-30,383.0
2022-12-31,
