,row_avg_price
2006-01-31,207293.0
2006-02-28,
2006-03-31,
2006-04-30,
2006-05-31,
2006-06-30,
2006-07-31,
2006-08-31,
2006-09-30,
2006-10-31,
2006-11-30,
2006-12-31,
2007-01-31,
2007-02-28,
2007-03-31,
2007-04-30,
2007-05-31,
2007-06-30,
2007-07-31,
2007-08-31,
2007-09-30,
2007-10-31,
2007-11-30,
2007-12-31,
2008-01-31,321231.0
2008-02-29,328376.0
2008-03-31,321838.0
2008-04-30,323603.0
2008-05-31,323300.0
2008-06-30,323507.0
2008-07-31,305448.0
2008-08-31,311165.0
2008-09-30,308473.0
2008-10-31,307662.0
2008-11-30,295236.0
2008-12-31,270763.0
2009-01-31,273079.0
2009-02-28,282308.0
2009-03-31,299680.0
2009-04-30,303249.0
2009-05-31,293867.0
2009-06-30,304312.0
2009-07-31,309260.0
2009-08-31,302021.0
2009-09-30,309827.0
2009-10-31,313665.0
2009-11-30,296460.0
2009-12-31,288352.0
2010-01-31,305737.0
2010-02-28,306935.0
2010-03-31,315562.0
2010-04-30,309283.0
2010-05-31,319644.0
2010-06-30,305577.0
2010-07-31,305053.0
2010-08-31,305008.0
2010-09-30,285395.0
2010-10-31,305080.0
2010-11-30,310059.0
2010-12-31,289808.0
2011-01-31,275944.0
2011-02-28,304649.0
2011-03-31,301806.0
2011-04-30,292832.0
2011-05-31,305389.0
2011-06-30,322921.0
2011-07-31,302996.0
2011-08-31,312719.0
2011-09-30,323427.0
2011-10-31,288965.0
2011-11-30,297815.0
2011-12-31,286182.0
2012-01-31,284204.0
2012-02-29,305005.0
2012-03-31,308690.0
2012-04-30,313579.0
2012-05-31,317211.0
2012-06-30,312563.0
2012-07-31,298740.0
2012-08-31,302197.0
2012-09-30,325396.0
2012-10-31,310787.0
2012-11-30,308904.0
2012-12-31,302192.0
2013-01-31,315589.0
2013-02-28,326213.0
2013-03-31,333769.0
2013-04-30,323426.0
2013-05-31,335171.0
2013-06-30,318863.0
2013-07-31,322578.0
2013-08-31,326702.0
2013-09-30,321751.0
2013-10-31,344403.0
2013-11-30,338669.0
2013-12-31,323179.0
2014-01-31,349005.0
2014-02-28,347554.0
2014-03-31,341117.0
2014-04-30,339059.0
2014-05-31,348827.0
2014-06-30,344006.0
2014-07-31,355110.0
2014-08-31,357415.0
2014-09-30,346919.0
2014-10-31,359852.0
2014-11-30,354548.0
2014-12-31,345721.0
2015-01-31,344487.0
2015-02-28,330111.0
2015-03-31,334675.0
2015-04-30,338474.0
2015-05-31,337481.0
2015-06-30,349259.0
2015-07-31,348003.0
2015-08-31,346370.0
2015-09-30,328906.0
2015-10-31,332095.0
2015-11-30,331704.0
2015-12-31,326227.0
2016-01-31,344407.0
2016-02-29,340232.0
2016-03-31,327900.0
2016-04-30,325326.0
2016-05-31,347743.0
2016-06-30,327488.0
2016-07-31,327987.0
2016-08-31,329742.0
2016-09-30,326450.0
2016-10-31,318499.0
2016-11-30,332156.0
2016-12-31,335422.0
2017-01-31,322832.0
2017-02-28,320387.0
2017-03-31,346594.0
2017-04-30,350207.0
2017-05-31,338348.0
2017-06-30,332189.0
2017-07-31,332369.0
2017-08-31,348103.0
2017-09-30,344522.0
2017-10-31,353100.0
2017-11-30,316117.0
2017-12-31,325002.0
2018-01-31,314436.0
2018-02-28,323964.0
2018-03-31,327231.0
2018-04-30,334402.0
2018-05-31,337036.0
2018-06-30,316781.0
2018-07-31,305903.0
2018-08-31,323800.0
2018-09-30,323639.0
2018-10-31,308489.0
2018-11-30,306090.0
2018-12-31,308039.0
2019-01-31,302060.0
2019-02-28,293723.0
2019-03-31,305854.0
2019-04-30,305481.0
2019-05-31,311741.0
2019-06-30,314622.0
2019-07-31,324704.0
2019-08-31,317744.0
2019-09-30,321152.0
2019-10-31,323978.0
2019-11-30,324640.0
2019-12-31,291250.0
2020-01-31,311174.0
2020-02-29,323355.0
2020-03-31,304173.0
2020-04-30,296630.0
2020-05-31,283235.0
2020-06-30,305953.0
2020-07-31,305387.0
2020-08-31,306645.0
2020-09-30,328990.0
2020-10-31,318144.0
2020-11-30,312655.0
2020-12-31,311100.0
2021-01-31,302360.0
2021-02-28,330424.0
2021-03-31,327688.0
2021-04-30,329931.0
2021-05-31,327091.0
2021-06-30,343802.0
2021-07-31,326817.0
2021-08-31,318977.0
2021-09-30,315975.0
2021-10-31,326783.0
2021-11-30,330270.0
2021-12-31,317282.0
2022-01-31,336638.0
2022-02-28,366713.0
2022-03-31,359207.0
2022-04-30,368519.0
2022-05-31,363655.0
2022-06-30,353285.0
2022-07-31,355917.0
2022-08-31,341022.0
2022-09-30,343876.0
2022-10-31,356323.0
2022-11-30,356673.0
2022-12-31,352447.0
2023-01-31,372820.0
2023-02-28,388463.0
2023-03-31,392303.0
2023-04-30,399780.0
2023-05-31,406320.0
2023-06-30,409013.0
2023-07-31,405654.0
2023-08-31,418939.0
2023-09-30,419367.0
2023-10-31,427372.0
2023-11-30,404386.0
2023-12-31,418265.0
