,row_new_listings
2006-01-31,
2006-02-28,
2006-03-31,
2006-04-30,
2006-05-31,
2006-06-30,
2006-07-31,
2006-08-31,
2006-09-30,
2006-10-31,
2006-11-30,
2006-12-31,
2007-01-31,
2007-02-28,
2007-03-31,
2007-04-30,
2007-05-31,
2007-06-30,
2007-07-31,
2007-08-31,
2007-09-30,
2007-10-31,
2007-11-30,
2007-12-31,
2008-01-31,500.0
2008-02-29,452.0
2008-03-31,515.0
2008-04-30,567.0
2008-05-31,565.0
2008-06-30,454.0
2008-07-31,441.0
2008-08-31,393.0
2008-09-30,425.0
2008-10-31,380.0
2008-11-30,234.0
2008-12-31,145.0
2009-01-31,341.0
2009-02-28,334.0
2009-03-31,316.0
2009-04-30,350.0
2009-05-31,379.0
2009-06-30,356.0
2009-07-31,331.0
2009-08-31,306.0
2009-09-30,334.0
2009-10-31,300.0
2009-11-30,239.0
2009-12-31,140.0
2010-01-31,313.0
2010-02-28,383.0
2010-03-31,501.0
2010-04-30,496.0
2010-05-31,459.0
2010-06-30,403.0
2010-07-31,318.0
2010-08-31,295.0
2010-09-30,325.0
2010-10-31,296.0
2010-11-30,208.0
2010-12-31,132.0
2011-01-31,307.0
2011-02-28,350.0
2011-03-31,367.0
2011-04-30,371.0
2011-05-31,371.0
2011-06-30,347.0
2011-07-31,308.0
2011-08-31,326.0
2011-09-30,316.0
2011-10-31,261.0
2011-11-30,213.0
2011-12-31,113.0
2012-01-31,285.0
2012-02-29,334.0
2012-03-31,336.0
2012-04-30,335.0
2012-05-31,407.0
2012-06-30,360.0
2012-07-31,268.0
2012-08-31,280.0
2012-09-30,260.0
2012-10-31,251.0
2012-11-30,176.0
2012-12-31,101.0
2013-01-31,278.0
2013-02-28,317.0
2013-03-31,339.0
2013-04-30,401.0
2013-05-31,374.0
2013-06-30,310.0
2013-07-31,267.0
2013-08-31,340.0
2013-09-30,321.0
2013-10-31,297.0
2013-11-30,211.0
2013-12-31,106.0
2014-01-31,276.0
2014-02-28,324.0
2014-03-31,421.0
2014-04-30,442.0
2014-05-31,522.0
2014-06-30,455.0
2014-07-31,375.0
2014-08-31,405.0
2014-09-30,391.0
2014-10-31,389.0
2014-11-30,262.0
2014-12-31,167.0
2015-01-31,387.0
2015-02-28,396.0
2015-03-31,375.0
2015-04-30,419.0
2015-05-31,380.0
2015-06-30,385.0
2015-07-31,390.0
2015-08-31,339.0
2015-09-30,402.0
2015-10-31,369.0
2015-11-30,308.0
2015-12-31,215.0
2016-01-31,389.0
2016-02-29,376.0
2016-03-31,434.0
2016-04-30,423.0
2016-05-31,482.0
2016-06-30,450.0
2016-07-31,315.0
2016-08-31,384.0
2016-09-30,410.0
2016-10-31,302.0
2016-11-30,277.0
2016-12-31,133.0
2017-01-31,329.0
2017-02-28,347.0
2017-03-31,415.0
2017-04-30,470.0
2017-05-31,525.0
2017-06-30,518.0
2017-07-31,392.0
2017-08-31,405.0
2017-09-30,443.0
2017-10-31,374.0
2017-11-30,297.0
2017-12-31,154.0
2018-01-31,345.0
2018-02-28,319.0
2018-03-31,467.0
2018-04-30,485.0
2018-05-31,508.0
2018-06-30,493.0
2018-07-31,380.0
2018-08-31,361.0
2018-09-30,409.0
2018-10-31,293.0
2018-11-30,275.0
2018-12-31,146.0
2019-01-31,387.0
2019-02-28,322.0
2019-03-31,381.0
2019-04-30,456.0
2019-05-31,437.0
2019-06-30,384.0
2019-07-31,343.0
2019-08-31,358.0
2019-09-30,386.0
2019-10-31,360.0
2019-11-30,259.0
2019-12-31,147.0
2020-01-31,335.0
2020-02-29,365.0
2020-03-31,350.0
2020-04-30,216.0
2020-05-31,358.0
2020-06-30,468.0
2020-07-31,428.0
2020-08-31,371.0
2020-09-30,400.0
2020-10-31,336.0
2020-11-30,259.0
2020-12-31,166.0
2021-01-31,372.0
2021-02-28,453.0
2021-03-31,566.0
2021-04-30,628.0
2021-05-31,658.0
2021-06-30,611.0
2021-07-31,511.0
2021-08-31,413.0
2021-09-30,417.0
2021-10-31,393.0
2021-11-30,304.0
2021-12-31,184.0
2022-01-31,363.0
2022-02-28,693.0
2022-03-31,881.0
2022-04-30,781.0
2022-05-31,771.0
2022-06-30,655.0
2022-07-31,495.0
2022-08-31,
