,row_slpr
2006-01-31,
2006-02-28,
2006-03-31,
2006-04-30,
2006-05-31,
2006-06-30,
2006-07-31,
2006-08-31,
2006-09-30,
2006-10-31,
2006-11-30,
2006-12-31,
2007-01-31,
2007-02-28,
2007-03-31,
2007-04-30,
2007-05-31,
2007-06-30,
2007-07-31,
2007-08-31,
2007-09-30,
2007-10-31,
2007-11-30,
2007-12-31,
2008-01-31,0.977
2008-02-29,0.977
2008-03-31,0.978
2008-04-30,0.973
2008-05-31,0.971
2008-06-30,0.966
2008-07-31,0.968
2008-08-31,0.967
2008-09-30,0.966
2008-10-31,0.959
2008-11-30,0.945
2008-12-31,0.958
2009-01-31,0.955
2009-02-28,0.959
2009-03-31,0.956
2009-04-30,0.962
2009-05-31,0.965
2009-06-30,0.97
2009-07-31,0.968
2009-08-31,0.969
2009-09-30,0.971
2009-10-31,0.97
2009-11-30,0.972
2009-12-31,0.968
2010-01-31,0.973
2010-02-28,0.975
2010-03-31,0.978
2010-04-30,0.974
2010-05-31,0.974
2010-06-30,0.969
2010-07-31,0.962
2010-08-31,0.966
2010-09-30,0.966
2010-10-31,0.964
2010-11-30,0.962
2010-12-31,0.962
2011-01-31,0.968
2011-02-28,0.973
2011-03-31,0.97
2011-04-30,0.966
2011-05-31,0.973
2011-06-30,0.968
2011-07-31,0.973
2011-08-31,0.97
2011-09-30,0.969
2011-10-31,0.969
2011-11-30,0.97
2011-12-31,0.969
2012-01-31,0.968
2012-02-29,0.973
2012-03-31,0.972
2012-04-30,0.973
2012-05-31,0.977
2012-06-30,0.972
2012-07-31,0.975
2012-08-31,0.976
2012-09-30,0.975
2012-10-31,0.973
2012-11-30,0.975
2012-12-31,0.969
2013-01-31,0.972
2013-02-28,0.977
2013-03-31,0.982
2013-04-30,0.981
2013-05-31,0.98
2013-06-30,0.978
2013-07-31,0.978
2013-08-31,0.982
2013-09-30,0.98
2013-10-31,0.981
2013-11-30,0.98
2013-12-31,0.979
2014-01-31,0.982
2014-02-28,0.99
2014-03-31,0.991
2014-04-30,0.99
2014-05-31,0.987
2014-06-30,0.985
2014-07-31,0.983
2014-08-31,0.984
2014-09-30,0.985
2014-10-31,0.983
2014-11-30,0.982
2014-12-31,0.977
2015-01-31,0.979
2015-02-28,0.976
2015-03-31,0.975
2015-04-30,0.973
2015-05-31,0.976
2015-06-30,0.9746
2015-07-31,0.9754
2015-08-31,0.9758
2015-09-30,0.9743
2015-10-31,0.976
2015-11-30,0.9708
2015-12-31,0.9716
2016-01-31,0.968
2016-02-29,0.973
2016-03-31,0.971
2016-04-30,0.9693
2016-05-31,0.9745
2016-06-30,0.971
2016-07-31,0.969
2016-08-31,0.9698
2016-09-30,0.9702
2016-10-31,0.9695
2016-11-30,0.9743
2016-12-31,0.9676
2017-01-31,0.9684
2017-02-28,0.965
2017-03-31,0.9701
2017-04-30,0.95
2017-05-31,0.9733
2017-06-30,0.974
2017-07-31,0.9712
2017-08-31,0.9682
2017-09-30,0.9722
2017-10-31,0.971
2017-11-30,0.9675
2017-12-31,0.969
2018-01-31,0.9652
2018-02-28,0.9706
2018-03-31,0.9723
2018-04-30,0.9728
2018-05-31,0.9723
2018-06-30,0.9704
2018-07-31,0.9694
2018-08-31,0.9702
2018-09-30,0.9622
2018-10-31,0.9647
2018-11-30,0.9646
2018-12-31,0.9663
2019-01-31,0.9668
2019-02-28,0.9632
2019-03-31,0.9644
2019-04-30,0.9676
2019-05-31,0.9688
2019-06-30,0.9672
2019-07-31,0.9669
2019-08-31,0.9691
2019-09-30,0.9688
2019-10-31,0.9693
2019-11-30,0.9662
2019-12-31,0.957
2020-01-31,0.9665
2020-02-29,0.9696
2020-03-31,0.9633
2020-04-30,0.9596
2020-05-31,0.9626
2020-06-30,0.9648
2020-07-31,0.961
2020-08-31,0.9661
2020-09-30,0.9699
2020-10-31,0.9701
2020-11-30,0.9676
2020-12-31,1.011
2021-01-31,0.9689
2021-02-28,0.9754
2021-03-31,0.9767
2021-04-30,0.9767
2021-05-31,0.9789
2021-06-30,0.9781
2021-07-31,0.9783
2021-08-31,0.9778
2021-09-30,0.976
2021-10-31,0.9751
2021-11-30,1.0037
2021-12-31,0.9774
2022-01-31,0.9856
2022-02-28,1.0199
2022-03-31,1.0192
2022-04-30,1.0075
2022-05-31,1.0016
2022-06-30,0.9909
2022-07-31,0.9869
2022-08-31,
