,semi-detached_active_listings
2006-01-31,
2006-02-28,
2006-03-31,
2006-04-30,
2006-05-31,
2006-06-30,
2006-07-31,
2006-08-31,
2006-09-30,
2006-10-31,
2006-11-30,
2006-12-31,
2007-01-31,
2007-02-28,
2007-03-31,
2007-04-30,
2007-05-31,
2007-06-30,
2007-07-31,
2007-08-31,
2007-09-30,
2007-10-31,
2007-11-30,
2007-12-31,
2008-01-31,402.0
2008-02-29,476.0
2008-03-31,569.0
2008-04-30,657.0
2008-05-31,705.0
2008-06-30,660.0
2008-07-31,610.0
2008-08-31,565.0
2008-09-30,604.0
2008-10-31,651.0
2008-11-30,613.0
2008-12-31,475.0
2009-01-31,501.0
2009-02-28,513.0
2009-03-31,491.0
2009-04-30,485.0
2009-05-31,482.0
2009-06-30,462.0
2009-07-31,417.0
2009-08-31,393.0
2009-09-30,358.0
2009-10-31,389.0
2009-11-30,328.0
2009-12-31,253.0
2010-01-31,292.0
2010-02-28,339.0
2010-03-31,419.0
2010-04-30,479.0
2010-05-31,527.0
2010-06-30,587.0
2010-07-31,547.0
2010-08-31,513.0
2010-09-30,493.0
2010-10-31,492.0
2010-11-30,444.0
2010-12-31,312.0
2011-01-31,344.0
2011-02-28,401.0
2011-03-31,462.0
2011-04-30,505.0
2011-05-31,538.0
2011-06-30,552.0
2011-07-31,541.0
2011-08-31,528.0
2011-09-30,549.0
2011-10-31,512.0
2011-11-30,447.0
2011-12-31,363.0
2012-01-31,384.0
2012-02-29,410.0
2012-03-31,397.0
2012-04-30,397.0
2012-05-31,450.0
2012-06-30,472.0
2012-07-31,442.0
2012-08-31,434.0
2012-09-30,406.0
2012-10-31,396.0
2012-11-30,336.0
2012-12-31,257.0
2013-01-31,286.0
2013-02-28,330.0
2013-03-31,359.0
2013-04-30,394.0
2013-05-31,409.0
2013-06-30,387.0
2013-07-31,338.0
2013-08-31,347.0
2013-09-30,379.0
2013-10-31,371.0
2013-11-30,317.0
2013-12-31,240.0
2014-01-31,268.0
2014-02-28,289.0
2014-03-31,299.0
2014-04-30,353.0
2014-05-31,426.0
2014-06-30,472.0
2014-07-31,486.0
2014-08-31,461.0
2014-09-30,444.0
2014-10-31,449.0
2014-11-30,422.0
2014-12-31,359.0
2015-01-31,471.0
2015-02-28,544.0
2015-03-31,572.0
2015-04-30,502.0
2015-05-31,488.0
2015-06-30,491.0
2015-07-31,491.0
2015-08-31,506.0
2015-09-30,554.0
2015-10-31,586.0
2015-11-30,546.0
2015-12-31,448.0
2016-01-31,501.0
2016-02-29,552.0
2016-03-31,582.0
2016-04-30,595.0
2016-05-31,548.0
2016-06-30,532.0
2016-07-31,522.0
2016-08-31,497.0
2016-09-30,515.0
2016-10-31,486.0
2016-11-30,453.0
2016-12-31,368.0
2017-01-31,383.0
2017-02-28,437.0
2017-03-31,463.0
2017-04-30,272.0
2017-05-31,518.0
2017-06-30,560.0
2017-07-31,596.0
2017-08-31,585.0
2017-09-30,621.0
2017-10-31,611.0
2017-11-30,555.0
2017-12-31,441.0
2018-01-31,451.0
2018-02-28,540.0
2018-03-31,677.0
2018-04-30,756.0
2018-05-31,862.0
2018-06-30,922.0
2018-07-31,911.0
2018-08-31,909.0
2018-09-30,872.0
2018-10-31,823.0
2018-11-30,749.0
2018-12-31,573.0
2019-01-31,649.0
2019-02-28,689.0
2019-03-31,767.0
2019-04-30,773.0
2019-05-31,793.0
2019-06-30,742.0
2019-07-31,729.0
2019-08-31,702.0
2019-09-30,732.0
2019-10-31,715.0
2019-11-30,655.0
2019-12-31,519.0
2020-01-31,571.0
2020-02-29,597.0
2020-03-31,638.0
2020-04-30,601.0
2020-05-31,622.0
2020-06-30,634.0
2020-07-31,604.0
2020-08-31,549.0
2020-09-30,549.0
2020-10-31,559.0
2020-11-30,452.0
2020-12-31,324.0
2021-01-31,343.0
2021-02-28,366.0
2021-03-31,444.0
2021-04-30,536.0
2021-05-31,557.0
2021-06-30,592.0
2021-07-31,577.0
2021-08-31,539.0
2021-09-30,517.0
2021-10-31,428.0
2021-11-30,316.0
2021-12-31,215.0
2022-01-31,242.0
2022-02-28,309.0
2022-03-31,374.0
2022-04-30,381.0
2022-05-31,401.0
2022-06-30,413.0
2022-07-31,431.0
2022-08-31,379.0
2022-09-30,381.0
2022-10-31,337.0
2022-11-30,271.0
2022-12-31,228.0
2023-01-31,225.0
2023-02-28,255.0
2023-03-31,285.0
2023-04-30,283.0
2023-05-31,234.0
2023-06-30,268.0
2023-07-31,257.0
