,semi-detached_new_listings
2006-01-31,
2006-02-28,
2006-03-31,
2006-04-30,
2006-05-31,
2006-06-30,
2006-07-31,
2006-08-31,
2006-09-30,
2006-10-31,
2006-11-30,
2006-12-31,
2007-01-31,
2007-02-28,
2007-03-31,
2007-04-30,
2007-05-31,
2007-06-30,
2007-07-31,
2007-08-31,
2007-09-30,
2007-10-31,
2007-11-30,
2007-12-31,
2008-01-31,297.0
2008-02-29,280.0
2008-03-31,339.0
2008-04-30,339.0
2008-05-31,335.0
2008-06-30,281.0
2008-07-31,239.0
2008-08-31,245.0
2008-09-30,301.0
2008-10-31,252.0
2008-11-30,186.0
2008-12-31,114.0
2009-01-31,226.0
2009-02-28,206.0
2009-03-31,197.0
2009-04-30,222.0
2009-05-31,241.0
2009-06-30,249.0
2009-07-31,215.0
2009-08-31,205.0
2009-09-30,198.0
2009-10-31,220.0
2009-11-30,136.0
2009-12-31,85.0
2010-01-31,218.0
2010-02-28,216.0
2010-03-31,302.0
2010-04-30,297.0
2010-05-31,294.0
2010-06-30,285.0
2010-07-31,189.0
2010-08-31,211.0
2010-09-30,217.0
2010-10-31,199.0
2010-11-30,157.0
2010-12-31,85.0
2011-01-31,232.0
2011-02-28,229.0
2011-03-31,262.0
2011-04-30,260.0
2011-05-31,280.0
2011-06-30,250.0
2011-07-31,220.0
2011-08-31,245.0
2011-09-30,288.0
2011-10-31,206.0
2011-11-30,142.0
2011-12-31,113.0
2012-01-31,190.0
2012-02-29,250.0
2012-03-31,231.0
2012-04-30,239.0
2012-05-31,286.0
2012-06-30,308.0
2012-07-31,201.0
2012-08-31,226.0
2012-09-30,221.0
2012-10-31,202.0
2012-11-30,169.0
2012-12-31,90.0
2013-01-31,220.0
2013-02-28,261.0
2013-03-31,257.0
2013-04-30,300.0
2013-05-31,295.0
2013-06-30,260.0
2013-07-31,224.0
2013-08-31,259.0
2013-09-30,275.0
2013-10-31,248.0
2013-11-30,172.0
2013-12-31,101.0
2014-01-31,216.0
2014-02-28,244.0
2014-03-31,252.0
2014-04-30,344.0
2014-05-31,394.0
2014-06-30,342.0
2014-07-31,304.0
2014-08-31,277.0
2014-09-30,290.0
2014-10-31,274.0
2014-11-30,219.0
2014-12-31,137.0
2015-01-31,302.0
2015-02-28,275.0
2015-03-31,308.0
2015-04-30,267.0
2015-05-31,300.0
2015-06-30,294.0
2015-07-31,282.0
2015-08-31,246.0
2015-09-30,268.0
2015-10-31,293.0
2015-11-30,200.0
2015-12-31,142.0
2016-01-31,268.0
2016-02-29,283.0
2016-03-31,292.0
2016-04-30,307.0
2016-05-31,299.0
2016-06-30,286.0
2016-07-31,262.0
2016-08-31,236.0
2016-09-30,269.0
2016-10-31,228.0
2016-11-30,191.0
2016-12-31,103.0
2017-01-31,202.0
2017-02-28,235.0
2017-03-31,304.0
2017-04-30,272.0
2017-05-31,332.0
2017-06-30,341.0
2017-07-31,285.0
2017-08-31,281.0
2017-09-30,322.0
2017-10-31,249.0
2017-11-30,196.0
2017-12-31,132.0
2018-01-31,236.0
2018-02-28,251.0
2018-03-31,388.0
2018-04-30,350.0
2018-05-31,422.0
2018-06-30,410.0
2018-07-31,308.0
2018-08-31,330.0
2018-09-30,332.0
2018-10-31,279.0
2018-11-30,207.0
2018-12-31,111.0
2019-01-31,311.0
2019-02-28,256.0
2019-03-31,320.0
2019-04-30,318.0
2019-05-31,339.0
2019-06-30,290.0
2019-07-31,278.0
2019-08-31,274.0
2019-09-30,309.0
2019-10-31,243.0
2019-11-30,204.0
2019-12-31,118.0
2020-01-31,240.0
2020-02-29,252.0
2020-03-31,249.0
2020-04-30,168.0
2020-05-31,250.0
2020-06-30,301.0
2020-07-31,272.0
2020-08-31,202.0
2020-09-30,255.0
2020-10-31,235.0
2020-11-30,163.0
2020-12-31,118.0
2021-01-31,212.0
2021-02-28,250.0
2021-03-31,389.0
2021-04-30,433.0
2021-05-31,375.0
2021-06-30,383.0
2021-07-31,320.0
2021-08-31,266.0
2021-09-30,296.0
2021-10-31,226.0
2021-11-30,172.0
2021-12-31,106.0
2022-01-31,267.0
2022-02-28,392.0
2022-03-31,456.0
2022-04-30,363.0
2022-05-31,353.0
2022-06-30,313.0
2022-07-31,271.0
2022-08-31,207.0
2022-09-30,238.0
2022-10-31,188.0
2022-11-30,132.0
2022-12-31,104.0
2023-01-31,150.0
2023-02-28,193.0
2023-03-31,279.0
2023-04-30,264.0
2023-05-31,269.0
2023-06-30,320.0
2023-07-31,248.0
2023-08-31,236.0
2023-09-30,277.0
2023-10-31,235.0
2023-11-30,182.0
2023-12-31,99.0
