,semi-detached_sales
2006-01-31,
2006-02-28,
2006-03-31,
2006-04-30,
2006-05-31,
2006-06-30,
2006-07-31,
2006-08-31,
2006-09-30,
2006-10-31,
2006-11-30,
2006-12-31,
2007-01-31,
2007-02-28,
2007-03-31,
2007-04-30,
2007-05-31,
2007-06-30,
2007-07-31,
2007-08-31,
2007-09-30,
2007-10-31,
2007-11-30,
2007-12-31,
2008-01-31,102.0
2008-02-29,142.0
2008-03-31,122.0
2008-04-30,131.0
2008-05-31,128.0
2008-06-30,141.0
2008-07-31,121.0
2008-08-31,114.0
2008-09-30,105.0
2008-10-31,67.0
2008-11-30,56.0
2008-12-31,54.0
2009-01-31,55.0
2009-02-28,62.0
2009-03-31,99.0
2009-04-30,125.0
2009-05-31,140.0
2009-06-30,172.0
2009-07-31,174.0
2009-08-31,155.0
2009-09-30,140.0
2009-10-31,132.0
2009-11-30,124.0
2009-12-31,98.0
2010-01-31,87.0
2010-02-28,112.0
2010-03-31,153.0
2010-04-30,147.0
2010-05-31,136.0
2010-06-30,118.0
2010-07-31,75.0
2010-08-31,96.0
2010-09-30,84.0
2010-10-31,87.0
2010-11-30,93.0
2010-12-31,83.0
2011-01-31,87.0
2011-02-28,130.0
2011-03-31,122.0
2011-04-30,121.0
2011-05-31,133.0
2011-06-30,141.0
2011-07-31,100.0
2011-08-31,126.0
2011-09-30,145.0
2011-10-31,115.0
2011-11-30,111.0
2011-12-31,93.0
2012-01-31,83.0
2012-02-29,154.0
2012-03-31,175.0
2012-04-30,158.0
2012-05-31,163.0
2012-06-30,182.0
2012-07-31,152.0
2012-08-31,132.0
2012-09-30,126.0
2012-10-31,127.0
2012-11-30,133.0
2012-12-31,88.0
2013-01-31,102.0
2013-02-28,157.0
2013-03-31,183.0
2013-04-30,189.0
2013-05-31,206.0
2013-06-30,177.0
2013-07-31,197.0
2013-08-31,174.0
2013-09-30,156.0
2013-10-31,166.0
2013-11-30,163.0
2013-12-31,115.0
2014-01-31,130.0
2014-02-28,173.0
2014-03-31,200.0
2014-04-30,204.0
2014-05-31,280.0
2014-06-30,226.0
2014-07-31,199.0
2014-08-31,212.0
2014-09-30,182.0
2014-10-31,174.0
2014-11-30,159.0
2014-12-31,104.0
2015-01-31,81.0
2015-02-28,95.0
2015-03-31,160.0
2015-04-30,202.0
2015-05-31,192.0
2015-06-30,184.0
2015-07-31,191.0
2015-08-31,138.0
2015-09-30,103.0
2015-10-31,128.0
2015-11-30,108.0
2015-12-31,74.0
2016-01-31,71.0
2016-02-29,110.0
2016-03-31,144.0
2016-04-30,174.0
2016-05-31,190.0
2016-06-30,185.0
2016-07-31,181.0
2016-08-31,138.0
2016-09-30,156.0
2016-10-31,164.0
2016-11-30,113.0
2016-12-31,96.0
2017-01-31,83.0
2017-02-28,127.0
2017-03-31,202.0
2017-04-30,206.0
2017-05-31,186.0
2017-06-30,193.0
2017-07-31,147.0
2017-08-31,179.0
2017-09-30,144.0
2017-10-31,143.0
2017-11-30,126.0
2017-12-31,95.0
2018-01-31,99.0
2018-02-28,107.0
2018-03-31,144.0
2018-04-30,156.0
2018-05-31,156.0
2018-06-30,183.0
2018-07-31,150.0
2018-08-31,141.0
2018-09-30,123.0
2018-10-31,126.0
2018-11-30,108.0
2018-12-31,87.0
2019-01-31,85.0
2019-02-28,104.0
2019-03-31,148.0
2019-04-30,167.0
2019-05-31,203.0
2019-06-30,190.0
2019-07-31,148.0
2019-08-31,162.0
2019-09-30,126.0
2019-10-31,147.0
2019-11-30,105.0
2019-12-31,94.0
2020-01-31,85.0
2020-02-29,141.0
2020-03-31,116.0
2020-04-30,61.0
2020-05-31,127.0
2020-06-30,187.0
2020-07-31,203.0
2020-08-31,141.0
2020-09-30,152.0
2020-10-31,174.0
2020-11-30,152.0
2020-12-31,128.0
2021-01-31,141.0
2021-02-28,181.0
2021-03-31,269.0
2021-04-30,299.0
2021-05-31,281.0
2021-06-30,243.0
2021-07-31,209.0
2021-08-31,177.0
2021-09-30,210.0
2021-10-31,222.0
2021-11-30,211.0
2021-12-31,135.0
2022-01-31,199.0
2022-02-28,297.0
2022-03-31,347.0
2022-04-30,304.0
2022-05-31,265.0
2022-06-30,223.0
