,semi-detached_slpr
2006-01-31,
2006-02-28,
2006-03-31,
2006-04-30,
2006-05-31,
2006-06-30,
2006-07-31,
2006-08-31,
2006-09-30,
2006-10-31,
2006-11-30,
2006-12-31,
2007-01-31,
2007-02-28,
2007-03-31,
2007-04-30,
2007-05-31,
2007-06-30,
2007-07-31,
2007-08-31,
2007-09-30,
2007-10-31,
2007-11-30,
2007-12-31,
2008-01-31,0.974
2008-02-29,0.978
2008-03-31,0.975
2008-04-30,0.972
2008-05-31,0.972
2008-06-30,0.974
2008-07-31,0.965
2008-08-31,0.965
2008-09-30,0.969
2008-10-31,0.961
2008-11-30,0.949
2008-12-31,0.953
2009-01-31,0.959
2009-02-28,0.956
2009-03-31,0.957
2009-04-30,0.963
2009-05-31,0.963
2009-06-30,0.97
2009-07-31,0.968
2009-08-31,0.973
2009-09-30,0.97
2009-10-31,0.97
2009-11-30,0.971
2009-12-31,0.967
2010-01-31,0.975
2010-02-28,0.974
2010-03-31,0.976
2010-04-30,0.973
2010-05-31,0.972
2010-06-30,0.968
2010-07-31,0.965
2010-08-31,0.965
2010-09-30,0.967
2010-10-31,0.963
2010-11-30,0.97
2010-12-31,0.964
2011-01-31,0.963
2011-02-28,0.973
2011-03-31,0.971
2011-04-30,0.974
2011-05-31,0.978
2011-06-30,0.976
2011-07-31,0.973
2011-08-31,0.967
2011-09-30,0.966
2011-10-31,0.97
2011-11-30,0.974
2011-12-31,0.971
2012-01-31,0.969
2012-02-29,0.978
2012-03-31,0.978
2012-04-30,0.979
2012-05-31,0.981
2012-06-30,0.978
2012-07-31,0.977
2012-08-31,0.976
2012-09-30,0.976
2012-10-31,0.977
2012-11-30,0.976
2012-12-31,0.975
2013-01-31,0.981
2013-02-28,0.977
2013-03-31,0.982
2013-04-30,0.982
2013-05-31,0.981
2013-06-30,0.983
2013-07-31,0.98
2013-08-31,0.984
2013-09-30,0.978
2013-10-31,0.98
2013-11-30,0.978
2013-12-31,0.976
2014-01-31,0.984
2014-02-28,0.989
2014-03-31,0.984
2014-04-30,0.989
2014-05-31,0.988
2014-06-30,0.987
2014-07-31,0.984
2014-08-31,0.986
2014-09-30,0.984
2014-10-31,0.984
2014-11-30,0.983
2014-12-31,0.978
2015-01-31,0.98
2015-02-28,0.979
2015-03-31,0.974
2015-04-30,0.9762
2015-05-31,0.9796
2015-06-30,0.9807
2015-07-31,0.9792
2015-08-31,0.975
2015-09-30,0.9772
2015-10-31,0.973
2015-11-30,0.9697
2015-12-31,0.965
2016-01-31,0.965
2016-02-29,0.97
2016-03-31,0.972
2016-04-30,0.9693
2016-05-31,0.9722
2016-06-30,0.9694
2016-07-31,0.9732
2016-08-31,0.9752
2016-09-30,0.9696
2016-10-31,0.9734
2016-11-30,0.969
2016-12-31,0.9656
2017-01-31,0.9649
2017-02-28,0.9708
2017-03-31,0.9761
2017-04-30,0.9765
2017-05-31,0.9806
2017-06-30,0.976
2017-07-31,0.9742
2017-08-31,0.9748
2017-09-30,0.9751
2017-10-31,0.975
2017-11-30,0.9725
2017-12-31,0.9724
2018-01-31,0.9731
2018-02-28,0.9776
2018-03-31,0.9757
2018-04-30,0.9742
2018-05-31,0.9739
2018-06-30,0.9757
2018-07-31,0.9704
2018-08-31,0.9717
2018-09-30,0.9726
2018-10-31,0.9686
2018-11-30,0.9726
2018-12-31,0.9678
2019-01-31,0.9536
2019-02-28,0.9664
2019-03-31,0.9681
2019-04-30,0.9694
2019-05-31,0.9663
2019-06-30,0.9696
2019-07-31,0.97
2019-08-31,0.9721
2019-09-30,0.9706
2019-10-31,0.9664
2019-11-30,0.9694
2019-12-31,0.9695
2020-01-31,0.9661
2020-02-29,0.9653
2020-03-31,0.9667
2020-04-30,0.9614
2020-05-31,0.9654
2020-06-30,0.9697
2020-07-31,0.9708
2020-08-31,0.9705
2020-09-30,0.9714
2020-10-31,0.9714
2020-11-30,0.966
2020-12-31,0.9713
2021-01-31,0.9716
2021-02-28,0.983
2021-03-31,0.9841
2021-04-30,0.9845
2021-05-31,0.9877
2021-06-30,0.9797
2021-07-31,0.98
2021-08-31,0.9812
2021-09-30,0.9787
2021-10-31,0.9795
2021-11-30,0.9779
2021-12-31,0.9857
2022-01-31,1.0123
2022-02-28,1.0177
2022-03-31,1.01
2022-04-30,1.0114
2022-05-31,0.9984
2022-06-30,0.991
2022-07-31,0.9937
2022-08-31,0.9806
2022-09-30,0.981
2022-10-31,0.9831
2022-11-30,0.9792
2022-12-31,
