,total_active_listings
2006-01-31,1120.0
2006-02-28,987.0
2006-03-31,1161.0
2006-04-30,1100.0
2006-05-31,1282.0
2006-06-30,1814.0
2006-07-31,2863.0
2006-08-31,3570.0
2006-09-30,4712.0
2006-10-31,5122.0
2006-11-30,4182.0
2006-12-31,2513.0
2007-01-31,2806.0
2007-02-28,2540.0
2007-03-31,3066.0
2007-04-30,3737.0
2007-05-31,4807.0
2007-06-30,5571.0
2007-07-31,5740.0
2007-08-31,6090.0
2007-09-30,7044.0
2007-10-31,7186.0
2007-11-30,6385.0
2007-12-31,4419.0
2008-01-31,5730.0
2008-02-29,6904.0
2008-03-31,8373.0
2008-04-30,9340.0
2008-05-31,10026.0
2008-06-30,9364.0
2008-07-31,8644.0
2008-08-31,7874.0
2008-09-30,7723.0
2008-10-31,7640.0
2008-11-30,6921.0
2008-12-31,5087.0
2009-01-31,5577.0
2009-02-28,6026.0
2009-03-31,6175.0
2009-04-30,6033.0
2009-05-31,5764.0
2009-06-30,5162.0
2009-07-31,4794.0
2009-08-31,4646.0
2009-09-30,4504.0
2009-10-31,4282.0
2009-11-30,3831.0
2009-12-31,2779.0
2010-01-31,3640.0
2010-02-28,4550.0
2010-03-31,5930.0
2010-04-30,6998.0
2010-05-31,7821.0
2010-06-30,8042.0
2010-07-31,7470.0
2010-08-31,6905.0
2010-09-30,6649.0
2010-10-31,6161.0
2010-11-30,5380.0
2010-12-31,3612.0
2011-01-31,4247.0
2011-02-28,5042.0
2011-03-31,5586.0
2011-04-30,6066.0
2011-05-31,6481.0
2011-06-30,6424.0
2011-07-31,6271.0
2011-08-31,6175.0
2011-09-30,6348.0
2011-10-31,5979.0
2011-11-30,5053.0
2011-12-31,3540.0
2012-01-31,4026.0
2012-02-29,4424.0
2012-03-31,4816.0
2012-04-30,5004.0
2012-05-31,5522.0
2012-06-30,5557.0
2012-07-31,5160.0
2012-08-31,4839.0
2012-09-30,4718.0
2012-10-31,4297.0
2012-11-30,3534.0
2012-12-31,2299.0
2013-01-31,2879.0
2013-02-28,3333.0
2013-03-31,3854.0
2013-04-30,4275.0
2013-05-31,4637.0
2013-06-30,4411.0
2013-07-31,3999.0
2013-08-31,3664.0
2013-09-30,3683.0
2013-10-31,3455.0
2013-11-30,2810.0
2013-12-31,1833.0
2014-01-31,2256.0
2014-02-28,2716.0
2014-03-31,3109.0
2014-04-30,3897.0
2014-05-31,4599.0
2014-06-30,4822.0
2014-07-31,4744.0
2014-08-31,4659.0
2014-09-30,4618.0
2014-10-31,4360.0
2014-11-30,3751.0
2014-12-31,2955.0
2015-01-31,4480.0
2015-02-28,5357.0
2015-03-31,5693.0
2015-04-30,5579.0
2015-05-31,5342.0
2015-06-30,5070.0
2015-07-31,5055.0
2015-08-31,5146.0
2015-09-30,5526.0
2015-10-31,5578.0
2015-11-30,5313.0
2015-12-31,4336.0
2016-01-31,5022.0
2016-02-29,5681.0
2016-03-31,6084.0
2016-04-30,6242.0
2016-05-31,6148.0
2016-06-30,5973.0
2016-07-31,5685.0
2016-08-31,5656.0
2016-09-30,5877.0
2016-10-31,5427.0
2016-11-30,4975.0
2016-12-31,3765.0
2017-01-31,4110.0
2017-02-28,4502.0
2017-03-31,5124.0
2017-04-30,5495.0
2017-05-31,6188.0
2017-06-30,6659.0
2017-07-31,6675.0
2017-08-31,6624.0
2017-09-30,6861.0
2017-10-31,6463.0
2017-11-30,5665.0
2017-12-31,4314.0
2018-01-31,4623.0
2018-02-28,5202.0
2018-03-31,6371.0
2018-04-30,7324.0
2018-05-31,8450.0
2018-06-30,8820.0
2018-07-31,8450.0
2018-08-31,8121.0
2018-09-30,7947.0
2018-10-31,7345.0
2018-11-30,6501.0
2018-12-31,4904.0
2019-01-31,5473.0
2019-02-28,5885.0
2019-03-31,6595.0
2019-04-30,7063.0
2019-05-31,7467.0
2019-06-30,7541.0
2019-07-31,7179.0
2019-08-31,7044.0
2019-09-30,6889.0
2019-10-31,6493.0
2019-11-30,5858.0
2019-12-31,4531.0
2020-01-31,5496.0
2020-02-29,5494.0
2020-03-31,5782.0
2020-04-30,5565.0
2020-05-31,5813.0
2020-06-30,6238.0
2020-07-31,6647.0
2020-08-31,6470.0
2020-09-30,6225.0
2020-10-31,5833.0
2020-11-30,5028.0
2020-12-31,3670.0
2021-01-31,4044.0
2021-02-28,4518.0
2021-03-31,5416.0
2021-04-30,6070.0
2021-05-31,6782.0
2021-06-30,6918.0
2021-07-31,6678.0
2021-08-31,6053.0
2021-09-30,5607.0
2021-10-31,4870.0
2021-11-30,3922.0
2021-12-31,2608.0
2022-01-31,2620.0
2022-02-28,3600.0
2022-03-31,4364.0
2022-04-30,4850.0
2022-05-31,5200.0
2022-06-30,5405.0
2022-07-31,5338.0
2022-08-31,4778.0
2022-09-30,4453.0
2022-10-31,3887.0
2022-11-30,3109.0
2022-12-31,2214.0
2023-01-31,2451.0
2023-02-28,2750.0
2023-03-31,3233.0
2023-04-30,3238.0
2023-05-31,3207.0
2023-06-30,3458.0
2023-07-31,3247.0
