,total_hpi
2006-01-31,119.0
2006-02-28,125.0
2006-03-31,133.0
2006-04-30,142.0
2006-05-31,152.0
2006-06-30,162.0
2006-07-31,169.0
2006-08-31,173.0
2006-09-30,175.0
2006-10-31,174.0
2006-11-30,174.0
2006-12-31,173.0
2007-01-31,175.0
2007-02-28,179.0
2007-03-31,185.0
2007-04-30,189.0
2007-05-31,194.0
2007-06-30,196.0
2007-07-31,197.0
2007-08-31,197.0
2007-09-30,195.0
2007-10-31,193.0
2007-11-30,190.0
2007-12-31,187.0
2008-01-31,186.0
2008-02-29,187.0
2008-03-31,187.0
2008-04-30,187.0
2008-05-31,186.0
2008-06-30,184.0
2008-07-31,181.0
2008-08-31,179.0
2008-09-30,178.0
2008-10-31,176.0
2008-11-30,172.0
2008-12-31,169.0
2009-01-31,165.0
2009-02-28,162.0
2009-03-31,162.0
2009-04-30,162.0
2009-05-31,163.0
2009-06-30,164.0
2009-07-31,166.0
2009-08-31,167.0
2009-09-30,169.0
2009-10-31,170.0
2009-11-30,171.0
2009-12-31,172.0
2010-01-31,173.0
2010-02-28,175.0
2010-03-31,177.0
2010-04-30,177.0
2010-05-31,177.0
2010-06-30,176.0
2010-07-31,174.0
2010-08-31,171.0
2010-09-30,170.0
2010-10-31,168.0
2010-11-30,166.0
2010-12-31,166.0
2011-01-31,166.0
2011-02-28,168.0
2011-03-31,170.0
2011-04-30,171.0
2011-05-31,171.0
2011-06-30,171.0
2011-07-31,171.0
2011-08-31,170.0
2011-09-30,171.0
2011-10-31,171.0
2011-11-30,170.0
2011-12-31,170.0
2012-01-31,170.0
2012-02-29,171.0
2012-03-31,174.0
2012-04-30,176.0
2012-05-31,177.0
2012-06-30,179.0
2012-07-31,179.0
2012-08-31,180.0
2012-09-30,180.0
2012-10-31,180.0
2012-11-30,180.0
2012-12-31,180.0
2013-01-31,181.0
2013-02-28,184.0
2013-03-31,186.0
2013-04-30,188.0
2013-05-31,190.0
2013-06-30,191.0
2013-07-31,192.0
2013-08-31,193.0
2013-09-30,194.0
2013-10-31,195.0
2013-11-30,197.0
2013-12-31,197.0
2014-01-31,199.0
2014-02-28,201.0
2014-03-31,204.0
2014-04-30,207.0
2014-05-31,210.0
2014-06-30,212.0
2014-07-31,213.0
2014-08-31,213.0
2014-09-30,213.0
2014-10-31,214.0
2014-11-30,215.0
2014-12-31,214.0
2015-01-31,214.0
2015-02-28,213.0
2015-03-31,212.0
2015-04-30,211.0
2015-05-31,212.0
2015-06-30,212.0
2015-07-31,212.0
2015-08-31,213.0
2015-09-30,213.0
2015-10-31,211.0
2015-11-30,210.0
2015-12-31,209.0
2016-01-31,205.0
2016-02-29,204.0
2016-03-31,203.0
2016-04-30,202.0
2016-05-31,202.0
2016-06-30,202.0
2016-07-31,202.0
2016-08-31,202.0
2016-09-30,202.0
2016-10-31,201.0
2016-11-30,200.0
2016-12-31,200.0
2017-01-31,200.0
2017-02-28,200.0
2017-03-31,201.0
2017-04-30,201.0
2017-05-31,203.0
2017-06-30,203.0
2017-07-31,204.0
2017-08-31,204.0
2017-09-30,203.0
2017-10-31,202.0
2017-11-30,201.0
2017-12-31,200.0
2018-01-31,199.0
2018-02-28,200.0
2018-03-31,201.0
2018-04-30,201.0
2018-05-31,201.0
2018-06-30,201.0
2018-07-31,200.0
2018-08-31,199.0
2018-09-30,197.0
2018-10-31,196.0
2018-11-30,194.0
2018-12-31,193.0
2019-01-31,191.0
2019-02-28,191.0
2019-03-31,190.0
2019-04-30,191.0
2019-05-31,193.0
2019-06-30,193.0
2019-07-31,193.0
2019-08-31,193.0
2019-09-30,193.0
2019-10-31,192.0
2019-11-30,190.0
2019-12-31,190.0
2020-01-31,189.0
2020-02-29,189.0
2020-03-31,189.0
2020-04-30,189.0
2020-05-31,186.0
2020-06-30,186.0
2020-07-31,192.0
2020-08-31,192.0
2020-09-30,191.0
2020-10-31,191.0
2020-11-30,192.0
2020-12-31,191.0
2021-01-31,192.0
2021-02-28,195.0
2021-03-31,200.0
2021-04-30,204.0
2021-05-31,206.0
2021-06-30,208.0
2021-07-31,208.0
2021-08-31,208.0
2021-09-30,208.0
2021-10-31,209.0
2021-11-30,209.0
2021-12-31,210.0
2022-01-31,214.0
2022-02-28,226.0
2022-03-31,235.0
2022-04-30,239.0
2022-05-31,271.0
