,total_volume
2006-01-31,624074069.0
2006-02-28,823297131.0
2006-03-31,981539104.0
2006-04-30,993213970.0
2006-05-31,1088814577.0
2006-06-30,1067919066.0
2006-07-31,785183624.0
2006-08-31,766588032.0
2006-09-30,669655888.0
2006-10-31,681179325.0
2006-11-30,738284927.0
2006-12-31,629315426.0
2007-01-31,857871578.0
2007-02-28,1138727285.0
2007-03-31,1399125959.0
2007-04-30,1253815101.0
2007-05-31,1261165716.0
2007-06-30,1123192590.0
2007-07-31,947721366.0
2007-08-31,827926992.0
2007-09-30,648708658.0
2007-10-31,668241704.0
2007-11-30,661378700.0
2007-12-31,491505063.0
2008-01-31,632304630.0
2008-02-29,759745800.0
2008-03-31,842019183.0
2008-04-30,826436702.0
2008-05-31,830931570.0
2008-06-30,852025520.0
2008-07-31,754252708.0
2008-08-31,656403840.0
2008-09-30,642378769.0
2008-10-31,477127494.0
2008-11-30,370649032.0
2008-12-31,243006268.0
2009-01-31,284695296.0
2009-02-28,432771640.0
2009-03-31,578961045.0
2009-04-30,707076666.0
2009-05-31,867314058.0
2009-06-30,1023973663.0
2009-07-31,886741450.0
2009-08-31,753619880.0
2009-09-30,739225375.0
2009-10-31,765296071.0
2009-11-30,653266502.0
2009-12-31,452267252.0
2010-01-31,438621672.0
2010-02-28,623663768.0
2010-03-31,833520432.0
2010-04-30,805339328.0
2010-05-31,763625790.0
2010-06-30,639294000.0
2010-07-31,536296275.0
2010-08-31,487726285.0
2010-09-30,543983880.0
2010-10-31,480876264.0
2010-11-30,492283168.0
2010-12-31,412491752.0
2011-01-31,441908860.0
2011-02-28,669576198.0
2011-03-31,783475888.0
2011-04-30,734941650.0
2011-05-31,783854890.0
2011-06-30,836760236.0
2011-07-31,651131292.0
2011-08-31,634116057.0
2011-09-30,610718336.0
2011-10-31,551761200.0
2011-11-30,554140000.0
2011-12-31,412624368.0
2012-01-31,418220594.0
2012-02-29,736982512.0
2012-03-31,915555333.0
2012-04-30,943177488.0
2012-05-31,1059625954.0
2012-06-30,970786264.0
2012-07-31,822890964.0
2012-08-31,718161822.0
2012-09-30,675647770.0
2012-10-31,725032770.0
2012-11-30,631822464.0
2012-12-31,472252146.0
2013-01-31,540468727.0
2013-02-28,780237394.0
2013-03-31,971407066.0
2013-04-30,1058697170.0
2013-05-31,1168482900.0
2013-06-30,1075481504.0
2013-07-31,1044450390.0
2013-08-31,994858928.0
2013-09-30,871220812.0
2013-10-31,893459940.0
2013-11-30,789862668.0
2013-12-31,534087432.0
2014-01-31,663449896.0
2014-02-28,889286286.0
2014-03-31,1197646190.0
2014-04-30,1211093442.0
2014-05-31,1429281178.0
2014-06-30,1307634579.0
2014-07-31,1117386624.0
2014-08-31,1073477250.0
2014-09-30,1043605962.0
2014-10-31,1040943780.0
2014-11-30,861469301.0
2014-12-31,509882089.0
2015-01-31,403777308.0
2015-02-28,557944199.0
2015-03-31,842269776.0
2015-04-30,922638348.0
2015-05-31,1048549989.0
2015-06-30,1055258897.0
2015-07-31,950510098.0000001
2015-08-31,766574359.0
2015-09-30,662689214.0
2015-10-31,650125317.0000001
2015-11-30,582064716.0
2015-12-31,406213194.0
2016-01-31,350883791.0
2016-02-29,532540714.0
2016-03-31,744092321.0
2016-04-30,840417284.0
2016-05-31,950111994.0
2016-06-30,984602112.0
2016-07-31,846607464.0
2016-08-31,743706035.0
2016-09-30,729082841.0
2016-10-31,759986676.0
2016-11-30,595579665.0
2016-12-31,461372232.0
2017-01-31,441845578.0
2017-02-28,643687616.0
2017-03-31,934957804.0
2017-04-30,964730250.0
2017-05-31,1067649674.0
2017-06-30,1072589400.0
2017-07-31,783502577.0
2017-08-31,766254222.0
2017-09-30,708849238.0
2017-10-31,698171706.0
2017-11-30,651839670.0
2017-12-31,454296522.0
2018-01-31,449074954.0
2018-02-28,539531262.0
2018-03-31,679613376.0
2018-04-30,726508728.0
2018-05-31,841709790.0
2018-06-30,936231528.0
2018-07-31,741424502.0
2018-08-31,719956080.0
2018-09-30,597951936.0
2018-10-31,619534148.0
2018-11-30,518682740.0
2018-12-31,354888622.0
2019-01-31,362772840.0
2019-02-28,450025792.0
2019-03-31,611650986.0
2019-04-30,712353278.0
2019-05-31,908135461.0
2019-06-30,826341860.0
2019-07-31,745809184.0
2019-08-31,719316576.0
2019-09-30,632619159.0
2019-10-31,657228847.0
2019-11-30,512044880.0
2019-12-31,386312784.0
2020-01-31,389514187.0
2020-02-29,537622974.0
2020-03-31,527444302.0
2020-04-30,242181315.0
2020-05-31,473670720.0
2020-06-30,804392174.0
2020-07-31,855765095.0
2020-08-31,738699676.0
2020-09-30,795897750.0
2020-10-31,837728892.0
2020-11-30,654674208.0
2020-12-31,537691550.0
2021-01-31,569861920.0
2021-02-28,892057320.0
2021-03-31,1467327156.0
2021-04-30,1634324446.0
2021-05-31,1527104012.0
2021-06-30,1440333565.0
2021-07-31,1132833819.0
2021-08-31,1049780493.0
2021-09-30,1029200642.0
2021-10-31,1061263652.0
2021-11-30,1036347600.0
2021-12-31,830246049.0
2022-01-31,1025998309.0
2022-02-28,1810214600.0
2022-03-31,2210728281.0
2022-04-30,1809648293.0
2022-05-31,1596959923.0
2022-06-30,1469481678.0
2022-07-31,1107597568.0
2022-08-31,1035960000.0
2022-09-30,949519084.0
2022-10-31,946282632.0
2022-11-30,807943536.0
2022-12-31,596258124.0
2023-01-31,609318611.0
2023-02-28,881631900.0
2023-03-31,1302926976.0
2023-04-30,1478219560.0
2023-05-31,1721781360.0
2023-06-30,1737450858.0
2023-07-31,1427953267.0
