,ABRSALUNR_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,21.0
1985-07-01,37.0
1985-10-01,44.0
1986-01-01,34.0
1986-04-01,52.0
1986-07-01,39.0
1986-10-01,31.0
1987-01-01,28.0
1987-04-01,48.0
1987-07-01,37.0
1987-10-01,34.0
1988-01-01,44.0
1988-04-01,47.0
1988-07-01,57.0
1988-10-01,33.0
1989-01-01,40.0
1989-04-01,46.0
1989-07-01,48.0
1989-10-01,60.0
1990-01-01,54.0
1990-04-01,65.0
1990-07-01,61.0
1990-10-01,43.0
1991-01-01,44.0
1991-04-01,57.0
1991-07-01,41.0
1991-10-01,32.0
1992-01-01,37.0
1992-04-01,38.0
1992-07-01,52.0
1992-10-01,39.0
1993-01-01,27.0
1993-04-01,48.0
1993-07-01,67.0
1993-10-01,42.0
1994-01-01,43.0
1994-04-01,85.0
1994-07-01,58.0
1994-10-01,47.0
1995-01-01,45.0
1995-04-01,58.0
1995-07-01,60.0
1995-10-01,56.0
1996-01-01,48.0
1996-04-01,56.0
1996-07-01,54.0
1996-10-01,44.0
1997-01-01,42.0
1997-04-01,78.0
1997-07-01,59.0
1997-10-01,53.0
1998-01-01,43.0
1998-04-01,81.0
1998-07-01,64.0
1998-10-01,54.0
1999-01-01,53.0
1999-04-01,68.0
1999-07-01,66.0
1999-10-01,51.0
2000-01-01,41.0
2000-04-01,83.0
2000-07-01,66.0
2000-10-01,68.0
2001-01-01,64.0
2001-04-01,114.0
2001-07-01,99.0
2001-10-01,77.0
2002-01-01,56.0
2002-04-01,88.0
2002-07-01,85.0
2002-10-01,44.0
2003-01-01,73.0
2003-04-01,78.0
2003-07-01,77.0
2003-10-01,56.0
2004-01-01,79.0
2004-04-01,101.0
2004-07-01,92.0
2004-10-01,86.0
2005-01-01,62.0
2005-04-01,119.0
2005-07-01,137.0
2005-10-01,118.0
2006-01-01,155.0
2006-04-01,183.0
2006-07-01,163.0
2006-10-01,131.0
2007-01-01,138.0
2007-04-01,200.0
2007-07-01,160.0
2007-10-01,92.0
2008-01-01,128.0
2008-04-01,182.0
2008-07-01,142.0
2008-10-01,95.0
2009-01-01,71.0
2009-04-01,141.0
2009-07-01,119.0
2009-10-01,119.0
2010-01-01,77.0
2010-04-01,122.0
2010-07-01,109.0
2010-10-01,107.0
2011-01-01,102.0
2011-04-01,135.0
2011-07-01,143.0
2011-10-01,101.0
2012-01-01,129.0
2012-04-01,182.0
2012-07-01,132.0
2012-10-01,72.0
2013-01-01,80.0
2013-04-01,138.0
2013-07-01,128.0
2013-10-01,102.0
2014-01-01,84.0
2014-04-01,173.0
2014-07-01,177.0
2014-10-01,103.0
2015-01-01,70.0
2015-04-01,109.0
2015-07-01,118.0
2015-10-01,80.0
2016-01-01,66.0
2016-04-01,102.0
2016-07-01,110.0
2016-10-01,56.0
2017-01-01,87.0
2017-04-01,105.0
2017-07-01,116.0
2017-10-01,69.0
2018-01-01,70.0
2018-04-01,102.0
2018-07-01,107.0
2018-10-01,67.0
2019-01-01,87.0
2019-04-01,102.0
2019-07-01,111.0
2019-10-01,96.0
2020-01-01,77.0
2020-04-01,95.0
2020-07-01,133.0
2020-10-01,92.0
2021-01-01,119.0
2021-04-01,188.0
2021-07-01,152.0
2021-10-01,116.0
2022-01-01,166.0
2022-04-01,151.0
2022-07-01,128.0
2022-10-01,81.0
