,ACANLIUNA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,6427.0
1988-04-01,6613.0
1988-07-01,6592.0
1988-10-01,6441.0
1989-01-01,5806.0
1989-04-01,7036.0
1989-07-01,6943.0
1989-10-01,7462.0
1990-01-01,9253.0
1990-04-01,8528.0
1990-07-01,8644.0
1990-10-01,9752.0
1991-01-01,8074.0
1991-04-01,8557.0
1991-07-01,8909.0
1991-10-01,8668.0
1992-01-01,9581.0
1992-04-01,8586.0
1992-07-01,9191.0
1992-10-01,9091.0
1993-01-01,8950.0
1993-04-01,9116.0
1993-07-01,8995.0
1993-10-01,9216.0
1994-01-01,8894.0
1994-04-01,7512.0
1994-07-01,7012.0
1994-10-01,7038.0
1995-01-01,6965.0
1995-04-01,6863.0
1995-07-01,6904.0
1995-10-01,6466.0
1996-01-01,7159.0
1996-04-01,6904.0
1996-07-01,6733.0
1996-10-01,7112.0
1997-01-01,7068.0
1997-04-01,6721.0
1997-07-01,6185.0
1997-10-01,6534.0
1998-01-01,6298.0
1998-04-01,7380.0
1998-07-01,8217.0
1998-10-01,7933.0
1999-01-01,7591.0
1999-04-01,7665.0
1999-07-01,7366.0
1999-10-01,7438.0
2000-01-01,7765.0
2000-04-01,7957.0
2000-07-01,8011.0
2000-10-01,8587.0
2001-01-01,8399.0
2001-04-01,8046.0
2001-07-01,7699.0
2001-10-01,8530.0
2002-01-01,8167.0
2002-04-01,8018.0
2002-07-01,8384.0
2002-10-01,9335.0
2003-01-01,9161.0
2003-04-01,9755.0
2003-07-01,10111.0
2003-10-01,10250.0
2004-01-01,10578.0
2004-04-01,10177.0
2004-07-01,9940.0
2004-10-01,10472.0
2005-01-01,10703.0
2005-04-01,10191.0
2005-07-01,9082.0
2005-10-01,9844.0
2006-01-01,9666.0
2006-04-01,10190.0
2006-07-01,12796.0
2006-10-01,12073.0
2007-01-01,12277.0
2007-04-01,14516.0
2007-07-01,14231.0
2007-10-01,13178.0
2008-01-01,16511.0
2008-04-01,15192.0
2008-07-01,13205.0
2008-10-01,12289.0
2009-01-01,10821.0
2009-04-01,9758.0
2009-07-01,10740.0
2009-10-01,11362.0
2010-01-01,12688.0
2010-04-01,13125.0
2010-07-01,10790.0
2010-10-01,10930.0
2011-01-01,11661.0
2011-04-01,11003.0
2011-07-01,11656.0
2011-10-01,11066.0
2012-01-01,11438.0
2012-04-01,11332.0
2012-07-01,10552.0
2012-10-01,10548.0
2013-01-01,10954.0
2013-04-01,11274.0
2013-07-01,11162.0
2013-10-01,11055.0
2014-01-01,11129.0
2014-04-01,13644.0
2014-07-01,12763.0
2014-10-01,12263.0
2015-01-01,12018.0
2015-04-01,9714.0
2015-07-01,11214.0
2015-10-01,11890.0
2016-01-01,11681.0
2016-04-01,9894.0
2016-07-01,10477.0
2016-10-01,10720.0
2017-01-01,10718.0
2017-04-01,11468.0
2017-07-01,11506.0
2017-10-01,11668.0
2018-01-01,10805.0
2018-04-01,12390.0
2018-07-01,11623.0
2018-10-01,11057.0
2019-01-01,10313.0
2019-04-01,9375.0
2019-07-01,10562.0
2019-10-01,11098.0
2020-01-01,9647.0
2020-04-01,5651.0
2020-07-01,10992.0
2020-10-01,11240.0
2021-01-01,12206.0
2021-04-01,13298.0
2021-07-01,11605.0
2021-10-01,11699.0
2022-01-01,15511.0
2022-04-01,12698.0
2022-07-01,11222.0
2022-10-01,10758.0
