,ACANPMURR
1980-01-01,
1980-02-01,
1980-03-01,
1980-04-01,
1980-05-01,
1980-06-01,
1980-07-01,
1980-08-01,
1980-09-01,
1980-10-01,
1980-11-01,
1980-12-01,
1981-01-01,
1981-02-01,
1981-03-01,
1981-04-01,
1981-05-01,
1981-06-01,
1981-07-01,
1981-08-01,
1981-09-01,
1981-10-01,
1981-11-01,
1981-12-01,
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,
1982-05-01,
1982-06-01,
1982-07-01,
1982-08-01,
1982-09-01,
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,
1983-04-01,
1983-05-01,
1983-06-01,
1983-07-01,
1983-08-01,
1983-09-01,
1983-10-01,
1983-11-01,
1983-12-01,
1984-01-01,
1984-02-01,
1984-03-01,
1984-04-01,
1984-05-01,
1984-06-01,
1984-07-01,
1984-08-01,
1984-09-01,
1984-10-01,
1984-11-01,
1984-12-01,
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,
1985-08-01,
1985-09-01,
1985-10-01,
1985-11-01,
1985-12-01,
1986-01-01,
1986-02-01,
1986-03-01,
1986-04-01,
1986-05-01,
1986-06-01,
1986-07-01,
1986-08-01,
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
1988-01-01,
1988-02-01,
1988-03-01,
1988-04-01,
1988-05-01,
1988-06-01,
1988-07-01,
1988-08-01,
1988-09-01,
1988-10-01,
1988-11-01,
1988-12-01,
1989-01-01,
1989-02-01,
1989-03-01,
1989-04-01,
1989-05-01,
1989-06-01,
1989-07-01,
1989-08-01,
1989-09-01,
1989-10-01,
1989-11-01,
1989-12-01,
1990-01-01,
1990-02-01,
1990-03-01,
1990-04-01,
1990-05-01,
1990-06-01,
1990-07-01,
1990-08-01,
1990-09-01,
1990-10-01,
1990-11-01,
1990-12-01,
1991-01-01,
1991-02-01,
1991-03-01,
1991-04-01,
1991-05-01,
1991-06-01,
1991-07-01,
1991-08-01,
1991-09-01,
1991-10-01,
1991-11-01,
1991-12-01,
1992-01-01,135.0
1992-02-01,136.0
1992-03-01,104.0
1992-04-01,95.0
1992-05-01,89.0
1992-06-01,107.0
1992-07-01,106.0
1992-08-01,115.0
1992-09-01,115.0
1992-10-01,142.0
1992-11-01,136.0
1992-12-01,151.0
1993-01-01,137.0
1993-02-01,133.0
1993-03-01,129.0
1993-04-01,147.0
1993-05-01,155.0
1993-06-01,141.0
1993-07-01,136.0
1993-08-01,122.0
1993-09-01,106.0
1993-10-01,106.0
1993-11-01,101.0
1993-12-01,91.0
1994-01-01,114.0
1994-02-01,117.0
1994-03-01,124.0
1994-04-01,126.0
1994-05-01,131.0
1994-06-01,116.0
1994-07-01,123.0
1994-08-01,113.0
1994-09-01,110.0
1994-10-01,86.0
1994-11-01,92.0
1994-12-01,85.0
1995-01-01,86.0
1995-02-01,113.0
1995-03-01,124.0
1995-04-01,127.0
1995-05-01,124.0
1995-06-01,118.0
1995-07-01,107.0
1995-08-01,102.0
1995-09-01,90.0
1995-10-01,261.0
1995-11-01,335.0
1995-12-01,306.0
1996-01-01,297.0
1996-02-01,278.0
1996-03-01,270.0
1996-04-01,238.0
1996-05-01,250.0
1996-06-01,239.0
1996-07-01,235.0
1996-08-01,212.0
1996-09-01,187.0
1996-10-01,187.0
1996-11-01,182.0
1996-12-01,177.0
1997-01-01,166.0
1997-02-01,181.0
1997-03-01,152.0
1997-04-01,113.0
1997-05-01,96.0
1997-06-01,101.0
1997-07-01,74.0
1997-08-01,62.0
1997-09-01,59.0
1997-10-01,54.0
1997-11-01,50.0
1997-12-01,40.0
1998-01-01,31.0
1998-02-01,34.0
1998-03-01,41.0
1998-04-01,46.0
1998-05-01,74.0
1998-06-01,55.0
1998-07-01,53.0
1998-08-01,40.0
1998-09-01,35.0
1998-10-01,43.0
1998-11-01,51.0
1998-12-01,69.0
1999-01-01,61.0
1999-02-01,66.0
1999-03-01,74.0
1999-04-01,68.0
1999-05-01,80.0
1999-06-01,110.0
1999-07-01,89.0
1999-08-01,71.0
1999-09-01,131.0
1999-10-01,232.0
1999-11-01,213.0
1999-12-01,206.0
2000-01-01,173.0
2000-02-01,173.0
2000-03-01,213.0
2000-04-01,289.0
2000-05-01,392.0
2000-06-01,271.0
2000-07-01,243.0
2000-08-01,277.0
2000-09-01,271.0
2000-10-01,250.0
2000-11-01,212.0
2000-12-01,342.0
2001-01-01,498.0
2001-02-01,545.0
2001-03-01,531.0
2001-04-01,571.0
2001-05-01,528.0
2001-06-01,503.0
2001-07-01,497.0
2001-08-01,504.0
2001-09-01,453.0
2001-10-01,412.0
2001-11-01,376.0
2001-12-01,308.0
2002-01-01,287.0
2002-02-01,253.0
2002-03-01,301.0
2002-04-01,259.0
2002-05-01,250.0
2002-06-01,264.0
2002-07-01,225.0
2002-08-01,200.0
2002-09-01,218.0
2002-10-01,206.0
2002-11-01,190.0
2002-12-01,196.0
2003-01-01,170.0
2003-02-01,240.0
2003-03-01,248.0
2003-04-01,225.0
2003-05-01,200.0
2003-06-01,183.0
2003-07-01,208.0
2003-08-01,192.0
2003-09-01,196.0
2003-10-01,216.0
2003-11-01,235.0
2003-12-01,310.0
2004-01-01,329.0
