,ACARAT31CR
1992-01-01,476.0
1993-01-01,470.0
1994-01-01,466.0
1995-01-01,464.0
1996-01-01,473.0
1997-01-01,511.0
1998-01-01,574.0
1999-01-01,600.0
2000-01-01,611.0
2001-01-01,649.0
2002-01-01,657.0
2003-01-01,661.0
2004-01-01,655.0
2005-01-01,666.0
2006-01-01,780.0
2007-01-01,897.0
2008-01-01,951.0
2009-01-01,913.0
2010-01-01,894.0
2011-01-01,899.0
2012-01-01,958.0
2013-01-01,1040.0
2014-01-01,1134.0
2015-01-01,1122.0
2016-01-01,1050.0
2017-01-01,1025.0
2018-01-01,1050.0
2019-01-01,1080.0
2020-01-01,1087.0
2021-01-01,1111.0
2022-01-01,1222.0
