,ACASALUNA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,2957.0
1988-04-01,5068.0
1988-07-01,4302.0
1988-10-01,3601.0
1989-01-01,3993.0
1989-04-01,4311.0
1989-07-01,4910.0
1989-10-01,5918.0
1990-01-01,5359.0
1990-04-01,3030.0
1990-07-01,4131.0
1990-10-01,3803.0
1991-01-01,4070.0
1991-04-01,4645.0
1991-07-01,4046.0
1991-10-01,3519.0
1992-01-01,4899.0
1992-04-01,4500.0
1992-07-01,4669.0
1992-10-01,4653.0
1993-01-01,3528.0
1993-04-01,5104.0
1993-07-01,4872.0
1993-10-01,4561.0
1994-01-01,4434.0
1994-04-01,4158.0
1994-07-01,3442.0
1994-10-01,3428.0
1995-01-01,2945.0
1995-04-01,3319.0
1995-07-01,3629.0
1995-10-01,3110.0
1996-01-01,3983.0
1996-04-01,4200.0
1996-07-01,4287.0
1996-10-01,5296.0
1997-01-01,5436.0
1997-04-01,4976.0
1997-07-01,5534.0
1997-10-01,5613.0
1998-01-01,4820.0
1998-04-01,5607.0
1998-07-01,5056.0
1998-10-01,5070.0
1999-01-01,4923.0
1999-04-01,5127.0
1999-07-01,5132.0
1999-10-01,5014.0
2000-01-01,4882.0
2000-04-01,4914.0
2000-07-01,5004.0
2000-10-01,5027.0
2001-01-01,5063.0
2001-04-01,5528.0
2001-07-01,5689.0
2001-10-01,6232.0
2002-01-01,6850.0
2002-04-01,5819.0
2002-07-01,6090.0
2002-10-01,5946.0
2003-01-01,5824.0
2003-04-01,5987.0
2003-07-01,6409.0
2003-10-01,6138.0
2004-01-01,6201.0
2004-04-01,6494.0
2004-07-01,6806.0
2004-10-01,7008.0
2005-01-01,6942.0
2005-04-01,7752.0
2005-07-01,8114.0
2005-10-01,8761.0
2006-01-01,8980.0
2006-04-01,8462.0
2006-07-01,7352.0
2006-10-01,8234.0
2007-01-01,10025.0
2007-04-01,8357.0
2007-07-01,7072.0
2007-10-01,6722.0
2008-01-01,6731.0
2008-04-01,5970.0
2008-07-01,6445.0
2008-10-01,4275.0
2009-01-01,4223.0
2009-04-01,6577.0
2009-07-01,7379.0
2009-10-01,6956.0
2010-01-01,6043.0
2010-04-01,5216.0
2010-07-01,4703.0
2010-10-01,5262.0
2011-01-01,5815.0
2011-04-01,5456.0
2011-07-01,5579.0
2011-10-01,5984.0
2012-01-01,6472.0
2012-04-01,7049.0
2012-07-01,6741.0
2012-10-01,6864.0
2013-01-01,7179.0
2013-04-01,7343.0
2013-07-01,8007.0
2013-10-01,7904.0
2014-01-01,8434.0
2014-04-01,8685.0
2014-07-01,8721.0
2014-10-01,8336.0
2015-01-01,5827.0
2015-04-01,6480.0
2015-07-01,6293.0
2015-10-01,5907.0
2016-01-01,5262.0
2016-04-01,5756.0
2016-07-01,5863.0
2016-10-01,6164.0
2017-01-01,6119.0
2017-04-01,6126.0
2017-07-01,5739.0
2017-10-01,6348.0
2018-01-01,5374.0
2018-04-01,5054.0
2018-07-01,5339.0
2018-10-01,5241.0
2019-01-01,4824.0
2019-04-01,5357.0
2019-07-01,5659.0
2019-10-01,5523.0
2020-01-01,4824.0
2020-04-01,3438.0
2020-07-01,6478.0
2020-10-01,7365.0
2021-01-01,8364.0
2021-04-01,9705.0
2021-07-01,8773.0
2021-10-01,10262.0
2022-01-01,12947.0
2022-04-01,9625.0
2022-07-01,8115.0
2022-10-01,7715.0
