,ACASALUNR_A
1992-01-01,18003.0
1993-01-01,17359.0
1994-01-01,14768.0
1995-01-01,12947.0
1996-01-01,17967.0
1997-01-01,21617.0
1998-01-01,20443.0
1999-01-01,20034.0
2000-01-01,19766.0
2001-01-01,22535.0
2002-01-01,25350.0
2003-01-01,24559.0
2004-01-01,26692.0
2005-01-01,31816.0
2006-01-01,33047.0
2007-01-01,32277.0
2008-01-01,23388.0
2009-01-01,25101.0
2010-01-01,21264.0
2011-01-01,22864.0
2012-01-01,27186.0
2013-01-01,30555.0
2014-01-01,34295.0
2015-01-01,24591.0
2016-01-01,23149.0
2017-01-01,24476.0
2018-01-01,21128.0
2019-01-01,21513.0
2020-01-01,22265.0
2021-01-01,37359.0
2022-01-01,38693.0
2023-01-01,34799.0
2024-01-01,34575.0
