,ACASMMURA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,
1988-04-01,
1988-07-01,
1988-10-01,
1989-01-01,
1989-04-01,
1989-07-01,
1989-10-01,
1990-01-01,1.165
1990-04-01,1.861
1990-07-01,1.669
1990-10-01,1.173
1991-01-01,0.362
1991-04-01,0.644
1991-07-01,0.522
1991-10-01,0.736
1992-01-01,0.89
1992-04-01,1.286
1992-07-01,1.021
1992-10-01,0.958
1993-01-01,1.726
1993-04-01,1.4
1993-07-01,1.362
1993-10-01,1.339
1994-01-01,0.659
1994-04-01,1.005
1994-07-01,2.636
1994-10-01,2.299
1995-01-01,0.821
1995-04-01,1.016
1995-07-01,1.964
1995-10-01,1.402
1996-01-01,1.097
1996-04-01,0.981
1996-07-01,1.299
1996-10-01,1.468
1997-01-01,2.691
1997-04-01,2.299
1997-07-01,2.201
1997-10-01,2.939
1998-01-01,3.556
1998-04-01,2.906
1998-07-01,2.618
1998-10-01,4.186
1999-01-01,4.964
1999-04-01,3.422
1999-07-01,3.679
1999-10-01,4.095
2000-01-01,3.425
2000-04-01,4.3
2000-07-01,3.868
2000-10-01,5.525
2001-01-01,2.936
2001-04-01,4.307
2001-07-01,2.84
2001-10-01,5.067
2002-01-01,4.38
2002-04-01,4.897
2002-07-01,4.961
2002-10-01,5.397
2003-01-01,7.807
2003-04-01,4.998
2003-07-01,3.726
2003-10-01,4.146
2004-01-01,6.13
2004-04-01,6.015
2004-07-01,4.518
2004-10-01,6.487
2005-01-01,4.817
2005-04-01,4.254
2005-07-01,6.319
2005-10-01,4.431
2006-01-01,5.686
2006-04-01,8.219
2006-07-01,4.855
2006-10-01,7.517
2007-01-01,4.492
2007-04-01,7.268
2007-07-01,6.741
2007-10-01,4.324
2008-01-01,14.555
2008-04-01,7.471
2008-07-01,3.762
2008-10-01,2.446
2009-01-01,0.816
2009-04-01,0.906
2009-07-01,2.018
2009-10-01,2.364
2010-01-01,2.737
2010-04-01,2.456
2010-07-01,5.47
2010-10-01,3.32
2011-01-01,2.461
2011-04-01,2.323
2011-07-01,4.909
2011-10-01,7.087
2012-01-01,8.035
2012-04-01,8.882
2012-07-01,4.958
2012-10-01,5.562
2013-01-01,4.692
2013-04-01,5.365
2013-07-01,5.894
2013-10-01,8.82
2014-01-01,11.832
2014-04-01,12.344
2014-07-01,10.745
2014-10-01,7.595
2015-01-01,8.593
2015-04-01,9.541
2015-07-01,8.764
2015-10-01,8.777
2016-01-01,3.976
2016-04-01,5.698
2016-07-01,7.772
2016-10-01,5.478
2017-01-01,5.624
2017-04-01,8.55
2017-07-01,7.244
2017-10-01,8.074
2018-01-01,4.988
2018-04-01,11.112
2018-07-01,7.63
2018-10-01,5.045
2019-01-01,4.995
2019-04-01,7.841
2019-07-01,9.188
2019-10-01,11.41
2020-01-01,5.569
2020-04-01,3.891
2020-07-01,7.038
2020-10-01,6.639
2021-01-01,7.564
2021-04-01,9.753
2021-07-01,8.167
2021-10-01,12.492
2022-01-01,7.436
2022-04-01,13.68
2022-07-01,12.581
2022-10-01,12.444
