,ACASSMUOR
1980-01-01,
1980-02-01,
1980-03-01,
1980-04-01,
1980-05-01,
1980-06-01,
1980-07-01,
1980-08-01,
1980-09-01,
1980-10-01,
1980-11-01,
1980-12-01,
1981-01-01,
1981-02-01,
1981-03-01,
1981-04-01,
1981-05-01,
1981-06-01,
1981-07-01,
1981-08-01,
1981-09-01,
1981-10-01,
1981-11-01,
1981-12-01,
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,
1982-05-01,
1982-06-01,
1982-07-01,
1982-08-01,
1982-09-01,
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,
1983-04-01,
1983-05-01,
1983-06-01,
1983-07-01,
1983-08-01,
1983-09-01,
1983-10-01,
1983-11-01,
1983-12-01,
1984-01-01,
1984-02-01,
1984-03-01,
1984-04-01,
1984-05-01,
1984-06-01,
1984-07-01,
1984-08-01,
1984-09-01,
1984-10-01,
1984-11-01,
1984-12-01,
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,
1985-08-01,
1985-09-01,
1985-10-01,
1985-11-01,
1985-12-01,
1986-01-01,
1986-02-01,
1986-03-01,
1986-04-01,
1986-05-01,
1986-06-01,
1986-07-01,
1986-08-01,
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
1988-01-01,
1988-02-01,
1988-03-01,
1988-04-01,
1988-05-01,
1988-06-01,331.0
1988-07-01,239.0
1988-08-01,313.0
1988-09-01,368.0
1988-10-01,285.0
1988-11-01,377.0
1988-12-01,222.0
1989-01-01,239.0
1989-02-01,149.0
1989-03-01,397.0
1989-04-01,358.0
1989-05-01,620.0
1989-06-01,318.0
1989-07-01,350.0
1989-08-01,302.0
1989-09-01,405.0
1989-10-01,439.0
1989-11-01,601.0
1989-12-01,394.0
1990-01-01,598.0
1990-02-01,531.0
1990-03-01,706.0
1990-04-01,921.0
1990-05-01,394.0
1990-06-01,313.0
1990-07-01,285.0
1990-08-01,276.0
1990-09-01,389.0
1990-10-01,327.0
1990-11-01,301.0
1990-12-01,196.0
1991-01-01,158.0
1991-02-01,216.0
1991-03-01,278.0
1991-04-01,300.0
1991-05-01,492.0
1991-06-01,470.0
1991-07-01,378.0
1991-08-01,392.0
1991-09-01,391.0
1991-10-01,358.0
1991-11-01,363.0
1991-12-01,345.0
1992-01-01,263.0
1992-02-01,354.0
1992-03-01,523.0
1992-04-01,706.0
1992-05-01,670.0
1992-06-01,575.0
1992-07-01,459.0
1992-08-01,461.0
1992-09-01,487.0
1992-10-01,495.0
1992-11-01,527.0
1992-12-01,460.0
1993-01-01,251.0
1993-02-01,345.0
1993-03-01,369.0
1993-04-01,536.0
1993-05-01,468.0
1993-06-01,464.0
1993-07-01,462.0
1993-08-01,396.0
1993-09-01,437.0
1993-10-01,588.0
1993-11-01,441.0
1993-12-01,462.0
1994-01-01,390.0
1994-02-01,396.0
1994-03-01,334.0
1994-04-01,651.0
1994-05-01,581.0
1994-06-01,548.0
1994-07-01,518.0
1994-08-01,347.0
1994-09-01,373.0
1994-10-01,353.0
1994-11-01,374.0
1994-12-01,313.0
1995-01-01,315.0
1995-02-01,270.0
1995-03-01,227.0
1995-04-01,394.0
1995-05-01,374.0
1995-06-01,414.0
1995-07-01,370.0
1995-08-01,407.0
1995-09-01,458.0
1995-10-01,404.0
1995-11-01,382.0
1995-12-01,372.0
1996-01-01,263.0
1996-02-01,244.0
1996-03-01,362.0
1996-04-01,469.0
1996-05-01,618.0
1996-06-01,675.0
1996-07-01,619.0
1996-08-01,598.0
1996-09-01,547.0
1996-10-01,464.0
1996-11-01,550.0
1996-12-01,452.0
1997-01-01,451.0
1997-02-01,744.0
1997-03-01,683.0
1997-04-01,751.0
1997-05-01,870.0
1997-06-01,686.0
1997-07-01,773.0
1997-08-01,731.0
1997-09-01,663.0
1997-10-01,669.0
1997-11-01,805.0
1997-12-01,804.0
1998-01-01,562.0
1998-02-01,795.0
1998-03-01,729.0
1998-04-01,911.0
1998-05-01,1024.0
1998-06-01,862.0
1998-07-01,804.0
1998-08-01,851.0
1998-09-01,781.0
1998-10-01,667.0
1998-11-01,638.0
1998-12-01,555.0
1999-01-01,419.0
1999-02-01,367.0
1999-03-01,420.0
1999-04-01,621.0
1999-05-01,541.0
1999-06-01,711.0
1999-07-01,641.0
1999-08-01,634.0
1999-09-01,564.0
1999-10-01,604.0
1999-11-01,493.0
1999-12-01,569.0
2000-01-01,483.0
2000-02-01,451.0
2000-03-01,521.0
2000-04-01,644.0
2000-05-01,598.0
2000-06-01,721.0
2000-07-01,681.0
2000-08-01,525.0
2000-09-01,549.0
2000-10-01,531.0
2000-11-01,524.0
2000-12-01,509.0
2001-01-01,430.0
2001-02-01,468.0
2001-03-01,496.0
2001-04-01,603.0
2001-05-01,729.0
2001-06-01,746.0
2001-07-01,825.0
2001-08-01,642.0
2001-09-01,748.0
2001-10-01,628.0
2001-11-01,572.0
2001-12-01,651.0
2002-01-01,539.0
2002-02-01,604.0
2002-03-01,667.0
2002-04-01,892.0
2002-05-01,974.0
2002-06-01,968.0
2002-07-01,719.0
2002-08-01,980.0
2002-09-01,834.0
2002-10-01,712.0
2002-11-01,797.0
2002-12-01,704.0
2003-01-01,610.0
