,ACASSMURR_A
1992-01-01,5982.0
1993-01-01,5220.0
1994-01-01,5179.0
1995-01-01,4387.0
1996-01-01,5862.0
1997-01-01,8656.0
1998-01-01,9219.0
1999-01-01,6613.0
2000-01-01,6749.0
2001-01-01,7559.0
2002-01-01,9413.0
2003-01-01,8526.0
2004-01-01,8233.0
2005-01-01,8719.0
2006-01-01,10482.0
2007-01-01,7777.0
2008-01-01,4387.0
2009-01-01,4775.0
2010-01-01,5782.0
2011-01-01,5084.0
2012-01-01,5961.0
2013-01-01,6402.0
2014-01-01,6494.0
2015-01-01,4138.0
2016-01-01,3489.0
2017-01-01,4423.0
2018-01-01,3791.0
2019-01-01,3535.0
2020-01-01,3487.0
2021-01-01,5512.0
2022-01-01,5752.0
2023-01-01,5875.0
2024-01-01,7100.0
