,ACASTMURR_A
1992-01-01,7034.0
1993-01-01,6629.0
1994-01-01,6877.0
1995-01-01,5685.0
1996-01-01,7111.0
1997-01-01,11215.0
1998-01-01,12495.0
1999-01-01,10600.0
2000-01-01,11093.0
2001-01-01,11349.0
2002-01-01,14339.0
2003-01-01,13642.0
2004-01-01,14008.0
2005-01-01,13667.0
2006-01-01,17046.0
2007-01-01,13505.0
2008-01-01,11438.0
2009-01-01,6318.0
2010-01-01,9262.0
2011-01-01,9292.0
2012-01-01,12841.0
2013-01-01,12584.0
2014-01-01,17131.0
2015-01-01,13033.0
2016-01-01,9245.0
2017-01-01,11534.0
2018-01-01,10971.0
2019-01-01,11909.0
2020-01-01,9235.0
2021-01-01,15017.0
2022-01-01,17306.0
2023-01-01,19579.0
2024-01-01,24369.0
