,ACAUA31UR
1992-01-01,22688.0
1993-01-01,22485.0
1994-01-01,22886.0
1995-01-01,22531.0
1996-01-01,22753.0
1997-01-01,22591.0
1998-01-01,22080.0
1999-01-01,21988.0
2000-01-01,21694.0
2001-01-01,21311.0
2002-01-01,20801.0
2003-01-01,20844.0
2004-01-01,20689.0
2005-01-01,20400.0
2006-01-01,19776.0
2007-01-01,18775.0
2008-01-01,18184.0
2009-01-01,17781.0
2010-01-01,17441.0
2011-01-01,17088.0
2012-01-01,16826.0
2013-01-01,16790.0
2014-01-01,17047.0
2015-01-01,17262.0
2016-01-01,17757.0
2017-01-01,18307.0
2018-01-01,18873.0
2019-01-01,19398.0
2020-01-01,19970.0
2021-01-01,21265.0
2022-01-01,22598.0
