,ACAVOLCNR_Q
1980-01-01,255621.0
1980-04-01,243589.0
1980-07-01,319524.0
1980-10-01,271309.0
1981-01-01,344209.0
1981-04-01,403083.0
1981-07-01,283676.0
1981-10-01,237663.0
1982-01-01,242879.0
1982-04-01,158882.0
1982-07-01,151969.0
1982-10-01,174714.0
1983-01-01,181655.0
1983-04-01,193251.0
1983-07-01,183957.0
1983-10-01,129227.0
1984-01-01,219708.0
1984-04-01,209275.0
1984-07-01,194947.0
1984-10-01,172281.0
1985-01-01,252875.0
1985-04-01,331670.0
1985-07-01,304206.0
1985-10-01,259766.0
1986-01-01,250615.0
1986-04-01,270943.0
1986-07-01,259239.0
1986-10-01,195935.0
1987-01-01,319681.0
1987-04-01,407561.0
1987-07-01,355603.0
1987-10-01,251964.0
1988-01-01,311318.0
1988-04-01,530219.0
1988-07-01,431314.0
1988-10-01,330895.0
1989-01-01,479623.0
1989-04-01,510864.0
1989-07-01,536729.0
1989-10-01,631581.0
1990-01-01,775548.0
1990-04-01,420795.0
1990-07-01,490027.0
1990-10-01,410872.0
1991-01-01,541216.0
1991-04-01,639219.0
1991-07-01,515023.0
1991-10-01,392528.0
1992-01-01,669847.0
1992-04-01,639061.0
1992-07-01,599235.0
1992-10-01,516338.0
1993-01-01,486456.0
1993-04-01,759217.0
1993-07-01,659838.0
1993-10-01,515162.0
1994-01-01,589747.0
1994-04-01,639384.0
1994-07-01,452465.0
1994-10-01,383686.0
1995-01-01,377941.0
1995-04-01,504744.0
1995-07-01,480602.0
1995-10-01,354590.0
1996-01-01,511324.0
1996-04-01,679094.0
1996-07-01,587720.0
1996-10-01,613933.0
1997-01-01,691869.0
1997-04-01,874621.0
1997-07-01,835631.0
1997-10-01,687394.0
1998-01-01,696535.0
1998-04-01,1041266.0
1998-07-01,835767.0
1998-10-01,660666.0
1999-01-01,751904.0
1999-04-01,1006582.0
1999-07-01,888244.0
1999-10-01,708185.0
2000-01-01,838869.0
2000-04-01,1026362.0
2000-07-01,904927.0
2000-10-01,725627.0
2001-01-01,892780.0
2001-04-01,1194006.0
2001-07-01,1075334.0
2001-10-01,937082.0
2002-01-01,1234717.0
2002-04-01,1407275.0
2002-07-01,1254529.0
2002-10-01,1003923.0
2003-01-01,1155383.0
2003-04-01,1503312.0
2003-07-01,1399318.0
2003-10-01,1085499.0
2004-01-01,1376040.0
2004-04-01,1719793.0
2004-07-01,1516027.0
2004-10-01,1296377.0
2005-01-01,1669270.0
2005-04-01,2363434.0
2005-07-01,2021053.0
2005-10-01,1864756.0
2006-01-01,2766386.0
2006-04-01,3673658.0
2006-07-01,2651976.0
2006-10-01,2357617.0
2007-01-01,3941068.0
2007-04-01,4281724.0
2007-07-01,2943762.0
2007-10-01,2156446.0
2008-01-01,2715065.0
2008-04-01,3104107.0
2008-07-01,2570606.0
2008-10-01,1335666.0
2009-01-01,1554932.0
2009-04-01,3126071.0
2009-07-01,2987132.0
2009-10-01,2281070.0
2010-01-01,2349934.0
2010-04-01,2712667.0
2010-07-01,1982636.0
2010-10-01,1679437.0
2011-01-01,2257540.0
2011-04-01,2917999.0
2011-07-01,2394534.0
2011-10-01,1909857.0
2012-01-01,2548709.0
2012-04-01,3788168.0
2012-07-01,2887890.0
2012-10-01,2305256.0
2013-01-01,2838874.0
2013-04-01,4215722.0
2013-07-01,3789867.0
2013-10-01,2855522.0
2014-01-01,3490548.0
2014-04-01,5226340.0
2014-07-01,4347268.0
2014-10-01,3126660.0
2015-01-01,2332801.0
2015-04-01,3879063.0
2015-07-01,3093726.0
2015-10-01,2128970.0
2016-01-01,2066105.0
2016-04-01,3563947.0
2016-07-01,3000954.0
2016-10-01,2328271.0
2017-01-01,2531239.0
2017-04-01,3881431.0
2017-07-01,2923161.0
2017-10-01,2316136.0
2018-01-01,2135234.0
2018-04-01,3216362.0
2018-07-01,2725968.0
2018-10-01,1923069.0
2019-01-01,1867396.0
2019-04-01,3147742.0
2019-07-01,2755573.0
2019-10-01,1988005.0
2020-01-01,1902431.0
2020-04-01,2078184.0
2020-07-01,3406682.0
2020-10-01,2785438.0
2021-01-01,4022229.0
2021-04-01,6338542.0
2021-07-01,4359642.0
2021-10-01,3893548.0
2022-01-01,6646705.0
2022-04-01,6571171.0
