,AEDNSMURR
1980-01-01,
1980-02-01,
1980-03-01,
1980-04-01,
1980-05-01,
1980-06-01,
1980-07-01,
1980-08-01,
1980-09-01,
1980-10-01,
1980-11-01,
1980-12-01,
1981-01-01,
1981-02-01,
1981-03-01,
1981-04-01,
1981-05-01,
1981-06-01,
1981-07-01,
1981-08-01,
1981-09-01,
1981-10-01,
1981-11-01,
1981-12-01,
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,
1982-05-01,
1982-06-01,
1982-07-01,
1982-08-01,
1982-09-01,
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,
1983-04-01,
1983-05-01,
1983-06-01,
1983-07-01,
1983-08-01,
1983-09-01,
1983-10-01,
1983-11-01,
1983-12-01,
1984-01-01,
1984-02-01,
1984-03-01,
1984-04-01,
1984-05-01,
1984-06-01,
1984-07-01,
1984-08-01,
1984-09-01,
1984-10-01,
1984-11-01,
1984-12-01,
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,
1985-08-01,
1985-09-01,
1985-10-01,
1985-11-01,
1985-12-01,
1986-01-01,
1986-02-01,
1986-03-01,
1986-04-01,
1986-05-01,
1986-06-01,
1986-07-01,
1986-08-01,
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
1988-01-01,
1988-02-01,
1988-03-01,
1988-04-01,
1988-05-01,
1988-06-01,
1988-07-01,
1988-08-01,
1988-09-01,
1988-10-01,
1988-11-01,
1988-12-01,
1989-01-01,
1989-02-01,
1989-03-01,
1989-04-01,
1989-05-01,
1989-06-01,
1989-07-01,
1989-08-01,
1989-09-01,
1989-10-01,
1989-11-01,
1989-12-01,
1990-01-01,
1990-02-01,
1990-03-01,
1990-04-01,
1990-05-01,
1990-06-01,
1990-07-01,
1990-08-01,
1990-09-01,
1990-10-01,
1990-11-01,
1990-12-01,
1991-01-01,
1991-02-01,
1991-03-01,
1991-04-01,
1991-05-01,
1991-06-01,
1991-07-01,
1991-08-01,
1991-09-01,
1991-10-01,
1991-11-01,
1991-12-01,
1992-01-01,411.0
1992-02-01,370.0
1992-03-01,365.0
1992-04-01,354.0
1992-05-01,368.0
1992-06-01,393.0
1992-07-01,402.0
1992-08-01,411.0
1992-09-01,428.0
1992-10-01,456.0
1992-11-01,490.0
1992-12-01,492.0
1993-01-01,532.0
1993-02-01,598.0
1993-03-01,624.0
1993-04-01,615.0
1993-05-01,632.0
1993-06-01,641.0
1993-07-01,666.0
1993-08-01,653.0
1993-09-01,655.0
1993-10-01,698.0
1993-11-01,726.0
1993-12-01,718.0
1994-01-01,708.0
1994-02-01,721.0
1994-03-01,703.0
1994-04-01,728.0
1994-05-01,745.0
1994-06-01,734.0
1994-07-01,750.0
1994-08-01,712.0
1994-09-01,720.0
1994-10-01,691.0
1994-11-01,705.0
1994-12-01,712.0
1995-01-01,691.0
1995-02-01,696.0
1995-03-01,701.0
1995-04-01,698.0
1995-05-01,700.0
1995-06-01,672.0
1995-07-01,656.0
1995-08-01,598.0
1995-09-01,560.0
1995-10-01,532.0
1995-11-01,539.0
1995-12-01,500.0
1996-01-01,462.0
1996-02-01,416.0
1996-03-01,404.0
1996-04-01,386.0
1996-05-01,375.0
1996-06-01,361.0
1996-07-01,340.0
1996-08-01,330.0
1996-09-01,330.0
1996-10-01,356.0
1996-11-01,375.0
1996-12-01,350.0
1997-01-01,369.0
1997-02-01,376.0
1997-03-01,370.0
1997-04-01,379.0
1997-05-01,377.0
1997-06-01,396.0
1997-07-01,398.0
1997-08-01,377.0
1997-09-01,367.0
1997-10-01,356.0
1997-11-01,341.0
1997-12-01,350.0
1998-01-01,374.0
1998-02-01,395.0
1998-03-01,411.0
1998-04-01,419.0
1998-05-01,406.0
1998-06-01,419.0
1998-07-01,439.0
1998-08-01,438.0
1998-09-01,417.0
1998-10-01,432.0
1998-11-01,437.0
1998-12-01,453.0
1999-01-01,479.0
1999-02-01,487.0
1999-03-01,501.0
1999-04-01,463.0
1999-05-01,496.0
1999-06-01,491.0
1999-07-01,494.0
1999-08-01,505.0
1999-09-01,484.0
1999-10-01,492.0
1999-11-01,486.0
1999-12-01,466.0
2000-01-01,469.0
2000-02-01,514.0
2000-03-01,548.0
2000-04-01,560.0
2000-05-01,534.0
2000-06-01,494.0
2000-07-01,497.0
2000-08-01,530.0
2000-09-01,534.0
2000-10-01,542.0
2000-11-01,549.0
2000-12-01,553.0
2001-01-01,556.0
2001-02-01,519.0
2001-03-01,540.0
2001-04-01,546.0
2001-05-01,540.0
2001-06-01,488.0
2001-07-01,471.0
2001-08-01,449.0
2001-09-01,403.0
2001-10-01,383.0
2001-11-01,397.0
2001-12-01,370.0
2002-01-01,347.0
2002-02-01,351.0
2002-03-01,346.0
2002-04-01,331.0
2002-05-01,311.0
2002-06-01,321.0
2002-07-01,310.0
2002-08-01,334.0
2002-09-01,338.0
2002-10-01,358.0
2002-11-01,328.0
2002-12-01,318.0
2003-01-01,329.0
2003-02-01,348.0
2003-03-01,381.0
2003-04-01,413.0
2003-05-01,450.0
2003-06-01,475.0
2003-07-01,527.0
2003-08-01,568.0
2003-09-01,601.0
2003-10-01,668.0
2003-11-01,711.0
2003-12-01,736.0
2004-01-01,706.0
