,AEDPA3BRR
1992-01-01,2.5
1993-01-01,0.5
1994-01-01,-1.3
1995-01-01,-2.6
1996-01-01,-93.0
1997-01-01,3.1
1998-01-01,5.9
1999-01-01,4.4
2000-01-01,4.6
2001-01-01,10.4
2002-01-01,6.4
2003-01-01,2.9
2004-01-01,1.4
2005-01-01,1.2
2006-01-01,10.6
2007-01-01,17.0
2008-01-01,9.2
2009-01-01,0.7
2010-01-01,1.0
2011-01-01,1.1
2012-01-01,3.5
2013-01-01,5.7
2014-01-01,6.4
2015-01-01,3.7
2016-01-01,-1.9
2017-01-01,-1.1
2018-01-01,2.0
2019-01-01,1.3
2020-01-01,-0.7
2021-01-01,-93.0
2022-01-01,1.7
2023-01-01,5.7
2024-01-01,7.9
