,AEDPA3TRR
1992-01-01,2.0
1993-01-01,0.3
1994-01-01,-2.1
1995-01-01,-1.3
1996-01-01,-93.0
1997-01-01,2.2
1998-01-01,5.3
1999-01-01,4.3
2000-01-01,3.5
2001-01-01,9.7
2002-01-01,6.0
2003-01-01,2.0
2004-01-01,1.2
2005-01-01,0.8
2006-01-01,10.4
2007-01-01,18.1
2008-01-01,8.9
2009-01-01,-0.5
2010-01-01,0.4
2011-01-01,1.0
2012-01-01,3.7
2013-01-01,5.5
2014-01-01,6.2
2015-01-01,2.4
2016-01-01,-3.6
2017-01-01,-1.3
2018-01-01,1.2
2019-01-01,0.9
2020-01-01,-93.0
2021-01-01,-0.2
2022-01-01,1.5
2023-01-01,6.3
2024-01-01,7.2
