,AEDPRICNR_Q
1980-01-01,81241.0
1980-04-01,84482.0
1980-07-01,85848.0
1980-10-01,86402.0
1981-01-01,89805.0
1981-04-01,92129.0
1981-07-01,91843.0
1981-10-01,91533.0
1982-01-01,93923.0
1982-04-01,93444.0
1982-07-01,92078.0
1982-10-01,87967.0
1983-01-01,87108.0
1983-04-01,87352.0
1983-07-01,85212.0
1983-10-01,83207.0
1984-01-01,81190.0
1984-04-01,79998.0
1984-07-01,79383.0
1984-10-01,76203.0
1985-01-01,74591.0
1985-04-01,75053.0
1985-07-01,75390.0
1985-10-01,71645.0
1986-01-01,70266.0
1986-04-01,77107.0
1986-07-01,76572.0
1986-10-01,73133.0
1987-01-01,73356.0
1987-04-01,80055.0
1987-07-01,78238.0
1987-10-01,76602.0
1988-01-01,77858.0
1988-04-01,83083.0
1988-07-01,83777.0
1988-10-01,82928.0
1989-01-01,85282.0
1989-04-01,89594.0
1989-07-01,89255.0
1989-10-01,91325.0
1990-01-01,99459.0
1990-04-01,103309.0
1990-07-01,101443.0
1990-10-01,100454.0
1991-01-01,103974.0
1991-04-01,109716.0
1991-07-01,108146.0
1991-10-01,105339.0
1992-01-01,107622.0
1992-04-01,109819.0
1992-07-01,111090.0
1992-10-01,109770.0
1993-01-01,110295.0
1993-04-01,114194.0
1993-07-01,111927.0
1993-10-01,109659.0
1994-01-01,116018.0
1994-04-01,113624.0
1994-07-01,110013.0
1994-10-01,112022.0
1995-01-01,108210.0
1995-04-01,111443.0
1995-07-01,112408.0
1995-10-01,107788.0
1996-01-01,110118.0
1996-04-01,110698.0
1996-07-01,108148.0
1996-10-01,106827.0
1997-01-01,109658.0
1997-04-01,113228.0
1997-07-01,111632.0
1997-10-01,111231.0
1998-01-01,111172.0
1998-04-01,116671.0
1998-07-01,115205.0
1998-10-01,113819.0
1999-01-01,116108.0
1999-04-01,120562.0
1999-07-01,118991.0
1999-10-01,118828.0
2000-01-01,122226.0
2000-04-01,125408.0
2000-07-01,124507.0
2000-10-01,124199.0
2001-01-01,127124.0
2001-04-01,134214.0
2001-07-01,134968.0
2001-10-01,136597.0
2002-01-01,144166.0
2002-04-01,151430.0
2002-07-01,152164.0
2002-10-01,152496.0
2003-01-01,157893.0
2003-04-01,167367.0
2003-07-01,166738.0
2003-10-01,169073.0
2004-01-01,174950.0
2004-04-01,181207.0
2004-07-01,181431.0
2004-10-01,179657.0
2005-01-01,185438.0
2005-04-01,196572.0
2005-07-01,194272.0
2005-10-01,197961.0
2006-01-01,212109.0
2006-04-01,241766.0
2006-07-01,268514.0
2006-10-01,282795.0
2007-01-01,326909.0
2007-04-01,366333.0
2007-07-01,362366.0
2007-10-01,342180.0
2008-01-01,349011.0
2008-04-01,351615.0
2008-07-01,338758.0
2008-10-01,324099.0
2009-01-01,318779.0
2009-04-01,331228.0
2009-07-01,333944.0
2009-10-01,330394.0
2010-01-01,335839.0
2010-04-01,348351.0
2010-07-01,333998.0
2010-10-01,324415.0
2011-01-01,326693.0
2011-04-01,338276.0
2011-07-01,336773.0
2011-10-01,328940.0
2012-01-01,339636.0
2012-04-01,353169.0
2012-07-01,341390.0
2012-10-01,339366.0
2013-01-01,349160.0
2013-04-01,360601.0
2013-07-01,356162.0
2013-10-01,347903.0
2014-01-01,363251.0
2014-04-01,378370.0
2014-07-01,372262.0
2014-10-01,374468.0
2015-01-01,373645.0
2015-04-01,386073.0
2015-07-01,378396.0
2015-10-01,375696.0
2016-01-01,368002.0
2016-04-01,384834.0
2016-07-01,381640.0
2016-10-01,373315.0
2017-01-01,371301.0
2017-04-01,389805.0
2017-07-01,381975.0
2017-10-01,370866.0
2018-01-01,370662.0
2018-04-01,382462.0
2018-07-01,374515.0
2018-10-01,365453.0
2019-01-01,355008.0
2019-04-01,369733.0
2019-07-01,367518.0
2019-10-01,360241.0
2020-01-01,353722.0
2020-04-01,360380.0
2020-07-01,379899.0
2020-10-01,382951.0
2021-01-01,390396.0
2021-04-01,404522.0
2021-07-01,391049.0
2021-10-01,389045.0
2022-01-01,413902.0
2022-04-01,419428.0
