,AEDRA3TCR
1992-01-01,484.0
1993-01-01,484.0
1994-01-01,471.0
1995-01-01,462.0
1996-01-01,461.0
1997-01-01,468.0
1998-01-01,493.0
1999-01-01,512.0
2000-01-01,536.0
2001-01-01,586.0
2002-01-01,631.0
2003-01-01,645.0
2004-01-01,653.0
2005-01-01,662.0
2006-01-01,727.0
2007-01-01,859.0
2008-01-01,930.0
2009-01-01,916.0
2010-01-01,917.0
2011-01-01,934.0
2012-01-01,965.0
2013-01-01,1028.0
2014-01-01,1103.0
2015-01-01,1137.0
2016-01-01,1113.0
2017-01-01,1101.0
2018-01-01,1131.0
2019-01-01,1144.0
2020-01-01,1153.0
2021-01-01,1158.0
2022-01-01,1194.0
2023-01-01,1271.0
2024-01-01,1398.0
