,AEDRAT33CR
1992-01-01,614.0
1993-01-01,611.0
1994-01-01,593.0
1995-01-01,586.0
1996-01-01,591.0
1997-01-01,595.0
1998-01-01,624.0
1999-01-01,656.0
2000-01-01,670.0
2001-01-01,734.0
2002-01-01,776.0
2003-01-01,797.0
2004-01-01,804.0
2005-01-01,814.0
2006-01-01,902.0
2007-01-01,1060.0
2008-01-01,1170.0
2009-01-01,1180.0
2010-01-01,1171.0
2011-01-01,1191.0
2012-01-01,1216.0
2013-01-01,1292.0
2014-01-01,1370.0
2015-01-01,1388.0
2016-01-01,1377.0
2017-01-01,1376.0
2018-01-01,1373.0
2019-01-01,1394.0
2020-01-01,1385.0
2021-01-01,1408.0
2022-01-01,1446.0
2023-01-01,1540.0
2024-01-01,1705.0
