,AEDRAT3BCR
1992-01-01,365.0
1993-01-01,371.0
1994-01-01,365.0
1995-01-01,353.0
1996-01-01,355.0
1997-01-01,359.0
1998-01-01,389.0
1999-01-01,402.0
2000-01-01,421.0
2001-01-01,458.0
2002-01-01,490.0
2003-01-01,503.0
2004-01-01,504.0
2005-01-01,513.0
2006-01-01,561.0
2007-01-01,658.0
2008-01-01,707.0
2009-01-01,704.0
2010-01-01,708.0
2011-01-01,713.0
2012-01-01,742.0
2013-01-01,784.0
2014-01-01,843.0
2015-01-01,871.0
2016-01-01,850.0
2017-01-01,839.0
2018-01-01,862.0
2019-01-01,878.0
2020-01-01,881.0
2021-01-01,879.0
2022-01-01,904.0
2023-01-01,948.0
2024-01-01,1050.0
