,AEDSALUNR_A
1992-01-01,12771.0
1993-01-01,11486.0
1994-01-01,9766.0
1995-01-01,8904.0
1996-01-01,11566.0
1997-01-01,13017.0
1998-01-01,13727.0
1999-01-01,13594.0
2000-01-01,14189.0
2001-01-01,16079.0
2002-01-01,15923.0
2003-01-01,16277.0
2004-01-01,17652.0
2005-01-01,19555.0
2006-01-01,23103.0
2007-01-01,21223.0
2008-01-01,18161.0
2009-01-01,20104.0
2010-01-01,17078.0
2011-01-01,17920.0
2012-01-01,19143.0
2013-01-01,20565.0
2014-01-01,22877.0
2015-01-01,20845.0
2016-01-01,19343.0
2017-01-01,19457.0
2018-01-01,18412.0
2019-01-01,18443.0
2020-01-01,19354.0
2021-01-01,28082.0
2022-01-01,27005.0
2023-01-01,24726.0
2024-01-01,30854.0
