,AEDSAMURR
1980-01-01,317.0
1980-02-01,387.0
1980-03-01,61.0
1980-04-01,484.0
1980-05-01,130.0
1980-06-01,117.0
1980-07-01,206.0
1980-08-01,521.0
1980-09-01,503.0
1980-10-01,236.0
1980-11-01,159.0
1980-12-01,212.0
1981-01-01,170.0
1981-02-01,140.0
1981-03-01,110.0
1981-04-01,132.0
1981-05-01,657.0
1981-06-01,562.0
1981-07-01,76.0
1981-08-01,294.0
1981-09-01,506.0
1981-10-01,239.0
1981-11-01,582.0
1981-12-01,999.0
1982-01-01,540.0
1982-02-01,373.0
1982-03-01,111.0
1982-04-01,506.0
1982-05-01,221.0
1982-06-01,1411.0
1982-07-01,1306.0
1982-08-01,104.0
1982-09-01,575.0
1982-10-01,396.0
1982-11-01,395.0
1982-12-01,94.0
1983-01-01,101.0
1983-02-01,527.0
1983-03-01,0.0
1983-04-01,74.0
1983-05-01,177.0
1983-06-01,347.0
1983-07-01,94.0
1983-08-01,258.0
1983-09-01,31.0
1983-10-01,0.0
1983-11-01,44.0
1983-12-01,114.0
1984-01-01,0.0
1984-02-01,0.0
1984-03-01,0.0
1984-04-01,0.0
1984-05-01,0.0
1984-06-01,0.0
1984-07-01,0.0
1984-08-01,0.0
1984-09-01,9.0
1984-10-01,2.0
1984-11-01,0.0
1984-12-01,0.0
1985-01-01,0.0
1985-02-01,28.0
1985-03-01,0.0
1985-04-01,0.0
1985-05-01,0.0
1985-06-01,31.0
1985-07-01,0.0
1985-08-01,0.0
1985-09-01,0.0
1985-10-01,0.0
1985-11-01,0.0
1985-12-01,0.0
1986-01-01,0.0
1986-02-01,0.0
1986-03-01,0.0
1986-04-01,0.0
1986-05-01,6.0
1986-06-01,4.0
1986-07-01,0.0
1986-08-01,1.0
1986-09-01,0.0
1986-10-01,0.0
1986-11-01,0.0
1986-12-01,0.0
1987-01-01,0.0
1987-02-01,0.0
1987-03-01,50.0
1987-04-01,11.0
1987-05-01,0.0
1987-06-01,0.0
1987-07-01,0.0
1987-08-01,15.0
1987-09-01,0.0
1987-10-01,0.0
1987-11-01,0.0
1987-12-01,0.0
1988-01-01,0.0
1988-02-01,0.0
1988-03-01,0.0
1988-04-01,26.0
1988-05-01,0.0
1988-06-01,0.0
1988-07-01,0.0
1988-08-01,0.0
1988-09-01,174.0
1988-10-01,0.0
1988-11-01,78.0
1988-12-01,31.0
1989-01-01,0.0
1989-02-01,0.0
1989-03-01,51.0
1989-04-01,0.0
1989-05-01,36.0
1989-06-01,0.0
1989-07-01,86.0
1989-08-01,0.0
1989-09-01,0.0
1989-10-01,23.0
1989-11-01,123.0
1989-12-01,0.0
1990-01-01,0.0
1990-02-01,0.0
1990-03-01,177.0
1990-04-01,24.0
1990-05-01,252.0
1990-06-01,0.0
1990-07-01,83.0
1990-08-01,0.0
1990-09-01,63.0
1990-10-01,38.0
