,AEDSSMURA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,
1988-04-01,
1988-07-01,
1988-10-01,
1989-01-01,
1989-04-01,
1989-07-01,
1989-10-01,
1990-01-01,6.648
1990-04-01,6.071
1990-07-01,3.941
1990-10-01,2.535
1991-01-01,2.353
1991-04-01,2.642
1991-07-01,3.54
1991-10-01,3.402
1992-01-01,4.11
1992-04-01,4.381
1992-07-01,4.606
1992-10-01,5.546
1993-01-01,4.675
1993-04-01,4.159
1993-07-01,4.001
1993-10-01,4.149
1994-01-01,3.745
1994-04-01,3.649
1994-07-01,3.096
1994-10-01,2.46
1995-01-01,2.182
1995-04-01,2.042
1995-07-01,2.142
1995-10-01,2.319
1996-01-01,2.23
1996-04-01,3.033
1996-07-01,3.323
1996-10-01,2.904
1997-01-01,3.781
1997-04-01,3.544
1997-07-01,3.714
1997-10-01,3.759
1998-01-01,4.35
1998-04-01,3.967
1998-07-01,3.906
1998-10-01,4.236
1999-01-01,3.843
1999-04-01,3.844
1999-07-01,4.423
1999-10-01,4.109
2000-01-01,4.081
2000-04-01,4.13
2000-07-01,4.073
2000-10-01,4.008
2001-01-01,4.119
2001-04-01,5.023
2001-07-01,5.052
2001-10-01,5.447
2002-01-01,6.15
2002-04-01,6.923
2002-07-01,6.572
2002-10-01,7.75
2003-01-01,7.236
2003-04-01,5.971
2003-07-01,6.45
2003-10-01,6.155
2004-01-01,6.365
2004-04-01,6.026
2004-07-01,6.924
2004-10-01,7.154
2005-01-01,7.014
2005-04-01,8.108
2005-07-01,7.093
2005-10-01,8.157
2006-01-01,10.095
2006-04-01,9.188
2006-07-01,9.035
2006-10-01,8.04
2007-01-01,8.697
2007-04-01,9.232
2007-07-01,7.384
2007-10-01,5.422
2008-01-01,3.389
2008-04-01,2.533
2008-07-01,2.222
2008-10-01,2.511
2009-01-01,2.094
2009-04-01,2.625
2009-07-01,4.018
2009-10-01,6.451
2010-01-01,7.349
2010-04-01,6.58
2010-07-01,5.752
2010-10-01,4.907
2011-01-01,4.214
2011-04-01,5.223
2011-07-01,5.372
2011-10-01,5.026
2012-01-01,5.59
2012-04-01,5.561
2012-07-01,5.834
2012-10-01,5.655
2013-01-01,5.666
2013-04-01,6.272
2013-07-01,5.902
2013-10-01,5.978
2014-01-01,6.502
2014-04-01,6.168
2014-07-01,7.063
2014-10-01,7.524
2015-01-01,6.952
2015-04-01,6.152
2015-07-01,5.254
2015-10-01,4.644
2016-01-01,4.321
2016-04-01,3.798
2016-07-01,4.262
2016-10-01,4.997
2017-01-01,4.437
2017-04-01,5.241
2017-07-01,5.088
2017-10-01,4.915
2018-01-01,5.186
2018-04-01,5.276
2018-07-01,4.789
2018-10-01,4.05
2019-01-01,3.455
2019-04-01,4.116
2019-07-01,4.391
2019-10-01,4.447
2020-01-01,4.924
2020-04-01,3.322
2020-07-01,3.738
2020-10-01,4.92
2021-01-01,6.287
2021-04-01,5.465
2021-07-01,5.614
2021-10-01,5.641
2022-01-01,6.081
2022-04-01,7.004
2022-07-01,6.652
2022-10-01,4.691
2023-01-01,4.38
2023-04-01,4.454
2023-07-01,4.867
2023-10-01,6.369
2024-01-01,5.928
2024-04-01,6.541
2024-07-01,7.117
2024-10-01,8.085
