,AEDSSMURR
1980-01-01,164.0
1980-02-01,155.0
1980-03-01,142.0
1980-04-01,265.0
1980-05-01,300.0
1980-06-01,260.0
1980-07-01,446.0
1980-08-01,368.0
1980-09-01,356.0
1980-10-01,445.0
1980-11-01,504.0
1980-12-01,269.0
1981-01-01,292.0
1981-02-01,178.0
1981-03-01,275.0
1981-04-01,506.0
1981-05-01,705.0
1981-06-01,489.0
1981-07-01,497.0
1981-08-01,389.0
1981-09-01,382.0
1981-10-01,287.0
1981-11-01,340.0
1981-12-01,151.0
1982-01-01,125.0
1982-02-01,121.0
1982-03-01,175.0
1982-04-01,188.0
1982-05-01,255.0
1982-06-01,183.0
1982-07-01,162.0
1982-08-01,187.0
1982-09-01,174.0
1982-10-01,304.0
1982-11-01,146.0
1982-12-01,184.0
1983-01-01,303.0
1983-02-01,316.0
1983-03-01,223.0
1983-04-01,319.0
1983-05-01,621.0
1983-06-01,387.0
1983-07-01,352.0
1983-08-01,258.0
1983-09-01,245.0
1983-10-01,380.0
1983-11-01,239.0
1983-12-01,118.0
1984-01-01,188.0
1984-02-01,202.0
1984-03-01,122.0
1984-04-01,219.0
1984-05-01,245.0
1984-06-01,264.0
1984-07-01,257.0
1984-08-01,209.0
1984-09-01,119.0
1984-10-01,144.0
1984-11-01,99.0
1984-12-01,129.0
1985-01-01,90.0
1985-02-01,88.0
1985-03-01,90.0
1985-04-01,200.0
1985-05-01,185.0
1985-06-01,245.0
1985-07-01,241.0
1985-08-01,290.0
1985-09-01,278.0
1985-10-01,251.0
1985-11-01,270.0
1985-12-01,196.0
1986-01-01,168.0
1986-02-01,191.0
1986-03-01,203.0
1986-04-01,221.0
1986-05-01,244.0
1986-06-01,206.0
1986-07-01,195.0
1986-08-01,200.0
1986-09-01,184.0
1986-10-01,234.0
1986-11-01,179.0
1986-12-01,130.0
1987-01-01,113.0
1987-02-01,130.0
1987-03-01,158.0
1987-04-01,349.0
1987-05-01,334.0
1987-06-01,355.0
1987-07-01,374.0
1987-08-01,334.0
1987-09-01,289.0
1987-10-01,282.0
1987-11-01,314.0
1987-12-01,233.0
1988-01-01,188.0
1988-02-01,159.0
1988-03-01,190.0
1988-04-01,379.0
1988-05-01,320.0
1988-06-01,389.0
1988-07-01,415.0
1988-08-01,322.0
1988-09-01,323.0
1988-10-01,270.0
1988-11-01,271.0
1988-12-01,243.0
1989-01-01,193.0
1989-02-01,146.0
1989-03-01,182.0
1989-04-01,357.0
1989-05-01,375.0
1989-06-01,425.0
1989-07-01,458.0
1989-08-01,336.0
1989-09-01,417.0
1989-10-01,391.0
1989-11-01,310.0
1989-12-01,341.0
1990-01-01,255.0
1990-02-01,320.0
1990-03-01,506.0
1990-04-01,773.0
1990-05-01,634.0
1990-06-01,627.0
1990-07-01,442.0
1990-08-01,319.0
1990-09-01,276.0
1990-10-01,240.0
1990-11-01,240.0
1990-12-01,127.0
1991-01-01,107.0
1991-02-01,138.0
1991-03-01,138.0
1991-04-01,219.0
1991-05-01,295.0
1991-06-01,367.0
1991-07-01,284.0
1991-08-01,361.0
1991-09-01,290.0
1991-10-01,356.0
1991-11-01,275.0
1991-12-01,186.0
1992-01-01,207.0
1992-02-01,198.0
1992-03-01,268.0
1992-04-01,347.0
1992-05-01,492.0
1992-06-01,602.0
1992-07-01,465.0
1992-08-01,440.0
1992-09-01,323.0
1992-10-01,521.0
1992-11-01,436.0
1992-12-01,384.0
1993-01-01,223.0
1993-02-01,234.0
1993-03-01,312.0
1993-04-01,446.0
1993-05-01,426.0
1993-06-01,473.0
1993-07-01,361.0
1993-08-01,364.0
1993-09-01,356.0
1993-10-01,363.0
1993-11-01,350.0
1993-12-01,294.0
1994-01-01,223.0
1994-02-01,174.0
1994-03-01,226.0
1994-04-01,397.0
1994-05-01,369.0
1994-06-01,387.0
1994-07-01,353.0
1994-08-01,280.0
1994-09-01,220.0
1994-10-01,252.0
1994-11-01,197.0
1994-12-01,147.0
1995-01-01,140.0
1995-02-01,107.0
1995-03-01,122.0
1995-04-01,209.0
1995-05-01,179.0
1995-06-01,243.0
1995-07-01,217.0
1995-08-01,194.0
1995-09-01,190.0
1995-10-01,227.0
1995-11-01,187.0
1995-12-01,144.0
1996-01-01,129.0
1996-02-01,115.0
1996-03-01,142.0
1996-04-01,215.0
1996-05-01,342.0
1996-06-01,356.0
1996-07-01,335.0
1996-08-01,336.0
1996-09-01,281.0
1996-10-01,240.0
1996-11-01,254.0
1996-12-01,199.0
1997-01-01,181.0
1997-02-01,220.0
1997-03-01,268.0
1997-04-01,334.0
1997-05-01,318.0
1997-06-01,391.0
1997-07-01,393.0
1997-08-01,370.0
1997-09-01,316.0
1997-10-01,337.0
1997-11-01,317.0
1997-12-01,240.0
1998-01-01,273.0
1998-02-01,221.0
1998-03-01,289.0
1998-04-01,344.0
1998-05-01,400.0
1998-06-01,403.0
1998-07-01,401.0
1998-08-01,395.0
1998-09-01,348.0
1998-10-01,327.0
1998-11-01,385.0
1998-12-01,294.0
1999-01-01,232.0
1999-02-01,252.0
1999-03-01,217.0
1999-04-01,310.0
1999-05-01,392.0
1999-06-01,401.0
1999-07-01,463.0
1999-08-01,448.0
1999-09-01,378.0
1999-10-01,361.0
1999-11-01,314.0
1999-12-01,307.0
2000-01-01,249.0
2000-02-01,224.0
2000-03-01,281.0
2000-04-01,368.0
2000-05-01,389.0
2000-06-01,418.0
2000-07-01,393.0
2000-08-01,395.0
2000-09-01,393.0
2000-10-01,332.0
2000-11-01,336.0
2000-12-01,294.0
2001-01-01,249.0
2001-02-01,258.0
2001-03-01,268.0
2001-04-01,375.0
2001-05-01,488.0
2001-06-01,553.0
2001-07-01,516.0
2001-08-01,437.0
2001-09-01,500.0
2001-10-01,456.0
2001-11-01,453.0
2001-12-01,406.0
2002-01-01,336.0
2002-02-01,440.0
2002-03-01,404.0
2002-04-01,577.0
2002-05-01,712.0
2002-06-01,647.0
2002-07-01,581.0
2002-08-01,607.0
2002-09-01,686.0
2002-10-01,677.0
2002-11-01,632.0
2002-12-01,561.0
2003-01-01,506.0
2003-02-01,457.0
2003-03-01,464.0
2003-04-01,524.0
2003-05-01,565.0
2003-06-01,566.0
2003-07-01,739.0
2003-08-01,570.0
2003-09-01,513.0
2003-10-01,517.0
2003-11-01,543.0
2003-12-01,427.0
2004-01-01,464.0
2004-02-01,417.0
2004-03-01,397.0
2004-04-01,513.0
2004-05-01,499.0
2004-06-01,650.0
2004-07-01,714.0
2004-08-01,629.0
2004-09-01,604.0
2004-10-01,581.0
2004-11-01,543.0
2004-12-01,603.0
2005-01-01,398.0
2005-02-01,510.0
2005-03-01,511.0
2005-04-01,727.0
2005-05-01,728.0
2005-06-01,776.0
2005-07-01,754.0
2005-08-01,603.0
2005-09-01,633.0
2005-10-01,641.0
2005-11-01,653.0
2005-12-01,689.0
2006-01-01,699.0
2006-02-01,669.0
2006-03-01,653.0
2006-04-01,876.0
2006-05-01,858.0
2006-06-01,807.0
2006-07-01,845.0
2006-08-01,784.0
2006-09-01,888.0
2006-10-01,746.0
2006-11-01,670.0
2006-12-01,569.0
2007-01-01,611.0
2007-02-01,576.0
2007-03-01,531.0
2007-04-01,874.0
2007-05-01,836.0
2007-06-01,838.0
2007-07-01,682.0
2007-08-01,697.0
2007-09-01,672.0
2007-10-01,554.0
2007-11-01,466.0
2007-12-01,345.0
2008-01-01,209.0
2008-02-01,243.0
2008-03-01,205.0
2008-04-01,178.0
2008-05-01,275.0
2008-06-01,244.0
2008-07-01,199.0
2008-08-01,184.0
2008-09-01,235.0
2008-10-01,223.0
