,AEDSSMURR_A
1992-01-01,4683.0
1993-01-01,4202.0
1994-01-01,3225.0
1995-01-01,2159.0
1996-01-01,2944.0
1997-01-01,3685.0
1998-01-01,4080.0
1999-01-01,4075.0
2000-01-01,4072.0
2001-01-01,4959.0
2002-01-01,6860.0
2003-01-01,6391.0
2004-01-01,6614.0
2005-01-01,7623.0
2006-01-01,9064.0
2007-01-01,7682.0
2008-01-01,2613.0
2009-01-01,3897.0
2010-01-01,6062.0
2011-01-01,5017.0
2012-01-01,5658.0
2013-01-01,5970.0
2014-01-01,6832.0
2015-01-01,5683.0
2016-01-01,4335.0
2017-01-01,5028.0
2018-01-01,4814.0
2019-01-01,4140.0
2020-01-01,4138.0
2021-01-01,5701.0
2022-01-01,6173.0
2023-01-01,5032.0
2024-01-01,6976.0
