,AEDSTMURR_A
1992-01-01,6764.0
1993-01-01,6720.0
1994-01-01,5006.0
1995-01-01,3082.0
1996-01-01,3634.0
1997-01-01,4962.0
1998-01-01,5947.0
1999-01-01,6655.0
2000-01-01,6228.0
2001-01-01,7855.0
2002-01-01,12581.0
2003-01-01,12380.0
2004-01-01,11488.0
2005-01-01,13294.0
2006-01-01,14970.0
2007-01-01,14888.0
2008-01-01,6615.0
2009-01-01,6317.0
2010-01-01,9959.0
2011-01-01,9332.0
2012-01-01,12837.0
2013-01-01,14689.0
2014-01-01,13872.0
2015-01-01,17050.0
2016-01-01,10036.0
2017-01-01,11435.0
2018-01-01,10038.0
2019-01-01,10720.0
2020-01-01,11512.0
2021-01-01,12546.0
2022-01-01,14586.0
2023-01-01,13184.0
2024-01-01,18384.0
