,AEDVA32RR
1992-01-01,4.0
1993-01-01,6.3
1994-01-01,9.3
1995-01-01,10.2
1996-01-01,7.8
1997-01-01,4.2
1998-01-01,1.7
1999-01-01,2.3
2000-01-01,1.4
2001-01-01,1.0
2002-01-01,1.7
2003-01-01,3.8
2004-01-01,5.8
2005-01-01,5.0
2006-01-01,1.1
2007-01-01,1.3
2008-01-01,2.5
2009-01-01,4.7
2010-01-01,4.2
2011-01-01,3.2
2012-01-01,1.4
2013-01-01,1.3
2014-01-01,1.7
2015-01-01,4.7
2016-01-01,7.2
2017-01-01,7.0
2018-01-01,5.4
2019-01-01,5.0
2020-01-01,7.4
2021-01-01,7.0
2022-01-01,3.5
2023-01-01,1.9
2024-01-01,2.8
