,AEDVOLCNR_Q
1980-01-01,151189.0
1980-04-01,157137.0
1980-07-01,214963.0
1980-10-01,169435.0
1981-01-01,159942.0
1981-04-01,222215.0
1981-07-01,172023.0
1981-10-01,138215.0
1982-01-01,119846.0
1982-04-01,104938.0
1982-07-01,112427.0
1982-10-01,121306.0
1983-01-01,109757.0
1983-04-01,139763.0
1983-07-01,139152.0
1983-10-01,103094.0
1984-01-01,121623.0
1984-04-01,131277.0
1984-07-01,114391.0
1984-10-01,113543.0
1985-01-01,148809.0
1985-04-01,189435.0
1985-07-01,187948.0
1985-10-01,138060.0
1986-01-01,127252.0
1986-04-01,170638.0
1986-07-01,186760.0
1986-10-01,114454.0
1987-01-01,142385.0
1987-04-01,208543.0
1987-07-01,191919.0
1987-10-01,130224.0
1988-01-01,154781.0
1988-04-01,223160.0
1988-07-01,219579.0
1988-10-01,161129.0
1989-01-01,193249.0
1989-04-01,267885.0
1989-07-01,279994.0
1989-10-01,252422.0
1990-01-01,283061.0
1990-04-01,223043.0
1990-07-01,269636.0
1990-10-01,251737.0
1991-01-01,268772.0
1991-04-01,383238.0
1991-07-01,329519.0
1991-10-01,264400.0
1992-01-01,343959.0
1992-04-01,387443.0
1992-07-01,382596.0
1992-10-01,285732.0
1993-01-01,271105.0
1993-04-01,400936.0
1993-07-01,363986.0
1993-10-01,248377.0
1994-01-01,255588.0
1994-04-01,357461.0
1994-07-01,273822.0
1994-10-01,215979.0
1995-01-01,196725.0
1995-04-01,296439.0
1995-07-01,295183.0
1995-10-01,194019.0
1996-01-01,255473.0
1996-04-01,402609.0
1996-07-01,319792.0
1996-10-01,283305.0
1997-01-01,307261.0
1997-04-01,430719.0
1997-07-01,401541.0
1997-10-01,313004.0
1998-01-01,332516.0
1998-04-01,507171.0
1998-07-01,435589.0
1998-10-01,296841.0
1999-01-01,324871.0
1999-04-01,527098.0
1999-07-01,452165.0
1999-10-01,311805.0
2000-01-01,392957.0
2000-04-01,542390.0
2000-07-01,473874.0
2000-10-01,353097.0
2001-01-01,429424.0
2001-04-01,663959.0
2001-07-01,576045.0
2001-10-01,476178.0
2002-01-01,525487.0
2002-04-01,761541.0
2002-07-01,635739.0
2002-10-01,468315.0
2003-01-01,541257.0
2003-04-01,824784.0
2003-07-01,767826.0
2003-10-01,560645.0
2004-01-01,670057.0
2004-04-01,1040127.0
2004-07-01,848914.0
2004-10-01,611372.0
2005-01-01,708928.0
2005-04-01,1186114.0
2005-07-01,989038.0
2005-10-01,729686.0
2006-01-01,1017277.0
2006-04-01,1637726.0
2006-07-01,1577788.0
2006-10-01,1283326.0
2007-01-01,1946415.0
2007-04-01,2787062.0
2007-07-01,1472291.0
2007-10-01,1232876.0
2008-01-01,1465846.0
2008-04-01,2029872.0
2008-07-01,1808627.0
2008-10-01,933405.0
2009-01-01,1049101.0
2009-04-01,2279512.0
2009-07-01,2010678.0
2009-10-01,1295805.0
2010-01-01,1340671.0
2010-04-01,1937180.0
2010-07-01,1403795.0
2010-10-01,1079654.0
2011-01-01,1195697.0
2011-04-01,1954220.0
2011-07-01,1666014.0
2011-10-01,1164449.0
2012-01-01,1377901.0
2012-04-01,2268760.0
2012-07-01,1710706.0
2012-10-01,1239025.0
2013-01-01,1395242.0
2013-04-01,2329124.0
2013-07-01,2150505.0
2013-10-01,1420141.0
2014-01-01,1583046.0
2014-04-01,2892261.0
2014-07-01,2444271.0
2014-10-01,1624815.0
2015-01-01,1441894.0
2015-04-01,2686684.0
2015-07-01,2345297.0
2015-10-01,1453193.0
2016-01-01,1308984.0
2016-04-01,2511812.0
2016-07-01,2121919.0
2016-10-01,1413742.0
2017-01-01,1471836.0
2017-04-01,2399251.0
2017-07-01,2068012.0
2017-10-01,1480869.0
2018-01-01,1389610.0
2018-04-01,2268000.0
2018-07-01,1995043.0
2018-10-01,1271776.0
2019-01-01,1169041.0
2019-04-01,2253520.0
2019-07-01,2029069.0
2019-10-01,1296147.0
2020-01-01,1178954.0
2020-04-01,1621711.0
2020-07-01,2587873.0
2020-10-01,1832039.0
2021-01-01,2323247.0
2021-04-01,3855499.0
2021-07-01,2746728.0
2021-10-01,2210943.0
2022-01-01,3097639.0
2022-04-01,3932555.0
