,AFMPRICNR_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,74220.0
1983-04-01,76833.0
1983-07-01,74664.0
1983-10-01,84140.0
1984-01-01,93543.0
1984-04-01,69551.0
1984-07-01,94230.0
1984-10-01,95622.0
1985-01-01,92567.0
1985-04-01,67588.0
1985-07-01,79040.0
1985-10-01,74066.0
1986-01-01,71402.0
1986-04-01,71130.0
1986-07-01,60069.0
1986-10-01,71835.0
1987-01-01,72877.0
1987-04-01,70769.0
1987-07-01,68801.0
1987-10-01,69130.0
1988-01-01,57834.0
1988-04-01,64381.0
1988-07-01,72107.0
1988-10-01,75157.0
1989-01-01,74953.0
1989-04-01,62920.0
1989-07-01,69768.0
1989-10-01,76102.0
1990-01-01,77262.0
1990-04-01,69971.0
1990-07-01,74016.0
1990-10-01,66742.0
1991-01-01,65915.0
1991-04-01,81593.0
1991-07-01,80207.0
1991-10-01,81743.0
1992-01-01,74863.0
1992-04-01,77133.0
1992-07-01,81588.0
1992-10-01,77837.0
1993-01-01,73960.0
1993-04-01,105804.0
1993-07-01,112847.0
1993-10-01,94699.0
1994-01-01,98784.0
1994-04-01,105410.0
1994-07-01,104507.0
1994-10-01,104472.0
1995-01-01,70204.0
1995-04-01,68658.0
1995-07-01,80772.0
1995-10-01,84907.0
1996-01-01,76273.0
1996-04-01,82232.0
1996-07-01,79144.0
1996-10-01,91432.0
1997-01-01,83636.0
1997-04-01,97287.0
1997-07-01,110741.0
1997-10-01,129762.0
1998-01-01,125822.0
1998-04-01,122243.0
1998-07-01,130753.0
1998-10-01,139796.0
1999-01-01,121556.0
1999-04-01,129970.0
1999-07-01,145696.0
1999-10-01,151308.0
2000-01-01,139405.0
2000-04-01,161818.0
2000-07-01,147812.0
2000-10-01,159518.0
2001-01-01,158797.0
2001-04-01,177933.0
2001-07-01,177950.0
2001-10-01,186222.0
2002-01-01,200859.0
2002-04-01,199682.0
2002-07-01,220808.0
2002-10-01,209511.0
2003-01-01,199893.0
2003-04-01,216247.0
2003-07-01,227802.0
2003-10-01,232749.0
2004-01-01,222279.0
2004-04-01,239528.0
2004-07-01,260274.0
2004-10-01,267770.0
2005-01-01,280811.0
2005-04-01,332318.0
2005-07-01,359575.0
2005-10-01,344842.0
2006-01-01,357073.0
2006-04-01,365956.0
2006-07-01,373657.0
2006-10-01,385866.0
2007-01-01,396926.0
2007-04-01,448758.0
2007-07-01,499440.0
2007-10-01,497212.0
2008-01-01,535707.0
2008-04-01,561096.0
2008-07-01,562360.0
2008-10-01,566696.0
2009-01-01,523277.0
2009-04-01,546932.0
2009-07-01,543802.0
2009-10-01,551264.0
2010-01-01,554720.0
2010-04-01,571492.0
2010-07-01,554947.0
2010-10-01,573778.0
2011-01-01,590158.0
2011-04-01,604667.0
2011-07-01,615483.0
2011-10-01,597827.0
2012-01-01,645870.0
2012-04-01,632436.0
2012-07-01,625873.0
2012-10-01,623092.0
2013-01-01,629963.0
2013-04-01,629318.0
2013-07-01,623540.0
2013-10-01,619244.0
2014-01-01,611032.0
2014-04-01,600377.0
2014-07-01,599157.0
2014-10-01,595832.0
2015-01-01,587266.0
2015-04-01,587087.0
2015-07-01,563536.0
2015-10-01,511245.0
2016-01-01,516708.0
2016-04-01,441008.0
2016-07-01,515338.0
2016-10-01,510377.0
2017-01-01,435800.0
2017-04-01,481489.0
2017-07-01,448984.0
2017-10-01,445400.0
2018-01-01,444252.0
2018-04-01,434408.0
2018-07-01,429991.0
2018-10-01,388821.0
2019-01-01,392516.0
2019-04-01,399331.0
2019-07-01,388645.0
2019-10-01,352709.0
2020-01-01,411565.0
2020-04-01,329215.0
2020-07-01,368673.0
2020-10-01,389208.0
2021-01-01,371410.0
2021-04-01,407362.0
2021-07-01,388163.0
2021-10-01,398216.0
2022-01-01,379382.0
2022-04-01,422720.0
2022-07-01,370926.0
2022-10-01,
