,AFMSALUNR_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,41.0
1983-04-01,39.0
1983-07-01,85.0
1983-10-01,57.0
1984-01-01,71.0
1984-04-01,126.0
1984-07-01,81.0
1984-10-01,72.0
1985-01-01,61.0
1985-04-01,86.0
1985-07-01,78.0
1985-10-01,62.0
1986-01-01,47.0
1986-04-01,27.0
1986-07-01,47.0
1986-10-01,64.0
1987-01-01,79.0
1987-04-01,86.0
1987-07-01,71.0
1987-10-01,50.0
1988-01-01,39.0
1988-04-01,66.0
1988-07-01,160.0
1988-10-01,175.0
1989-01-01,126.0
1989-04-01,188.0
1989-07-01,235.0
1989-10-01,157.0
1990-01-01,124.0
1990-04-01,206.0
1990-07-01,197.0
1990-10-01,186.0
1991-01-01,143.0
1991-04-01,190.0
1991-07-01,212.0
1991-10-01,108.0
1992-01-01,112.0
1992-04-01,189.0
1992-07-01,160.0
1992-10-01,142.0
1993-01-01,98.0
1993-04-01,97.0
1993-07-01,101.0
1993-10-01,54.0
1994-01-01,60.0
1994-04-01,84.0
1994-07-01,97.0
1994-10-01,69.0
1995-01-01,100.0
1995-04-01,175.0
1995-07-01,204.0
1995-10-01,143.0
1996-01-01,128.0
1996-04-01,211.0
1996-07-01,247.0
1996-10-01,216.0
1997-01-01,163.0
1997-04-01,231.0
1997-07-01,237.0
1997-10-01,167.0
1998-01-01,141.0
1998-04-01,171.0
1998-07-01,196.0
1998-10-01,178.0
1999-01-01,104.0
1999-04-01,256.0
1999-07-01,197.0
1999-10-01,167.0
2000-01-01,155.0
2000-04-01,191.0
2000-07-01,164.0
2000-10-01,174.0
2001-01-01,134.0
2001-04-01,238.0
2001-07-01,273.0
2001-10-01,193.0
2002-01-01,176.0
2002-04-01,225.0
2002-07-01,268.0
2002-10-01,193.0
2003-01-01,163.0
2003-04-01,255.0
2003-07-01,308.0
2003-10-01,288.0
2004-01-01,254.0
2004-04-01,392.0
2004-07-01,464.0
2004-10-01,424.0
2005-01-01,322.0
2005-04-01,510.0
2005-07-01,554.0
2005-10-01,329.0
2006-01-01,391.0
2006-04-01,615.0
2006-07-01,658.0
2006-10-01,533.0
2007-01-01,511.0
2007-04-01,636.0
2007-07-01,755.0
2007-10-01,464.0
2008-01-01,513.0
2008-04-01,676.0
2008-07-01,527.0
2008-10-01,235.0
2009-01-01,220.0
2009-04-01,582.0
2009-07-01,626.0
2009-10-01,405.0
2010-01-01,482.0
2010-04-01,528.0
2010-07-01,444.0
2010-10-01,380.0
2011-01-01,589.0
2011-04-01,594.0
2011-07-01,471.0
2011-10-01,371.0
2012-01-01,440.0
2012-04-01,573.0
2012-07-01,452.0
2012-10-01,361.0
2013-01-01,364.0
2013-04-01,539.0
2013-07-01,502.0
2013-10-01,349.0
2014-01-01,417.0
2014-04-01,617.0
2014-07-01,454.0
2014-10-01,296.0
2015-01-01,205.0
2015-04-01,356.0
2015-07-01,254.0
2015-10-01,192.0
2016-01-01,158.0
2016-04-01,153.0
2016-07-01,398.0
2016-10-01,209.0
2017-01-01,229.0
2017-04-01,281.0
2017-07-01,245.0
2017-10-01,202.0
2018-01-01,229.0
2018-04-01,325.0
2018-07-01,301.0
2018-10-01,190.0
2019-01-01,234.0
2019-04-01,331.0
2019-07-01,300.0
2019-10-01,232.0
2020-01-01,234.0
2020-04-01,240.0
2020-07-01,304.0
2020-10-01,187.0
2021-01-01,321.0
2021-04-01,413.0
2021-07-01,321.0
2021-10-01,283.0
2022-01-01,387.0
2022-04-01,454.0
2022-07-01,261.0
2022-10-01,
