,AGPNLIUNR_Q
1980-01-01,226.0
1980-04-01,308.0
1980-07-01,367.0
1980-10-01,242.0
1981-01-01,381.0
1981-04-01,436.0
1981-07-01,463.0
1981-10-01,317.0
1982-01-01,401.0
1982-04-01,409.0
1982-07-01,453.0
1982-10-01,332.0
1983-01-01,308.0
1983-04-01,382.0
1983-07-01,277.0
1983-10-01,228.0
1984-01-01,319.0
1984-04-01,381.0
1984-07-01,335.0
1984-10-01,234.0
1985-01-01,362.0
1985-04-01,361.0
1985-07-01,319.0
1985-10-01,284.0
1986-01-01,381.0
1986-04-01,359.0
1986-07-01,312.0
1986-10-01,250.0
1987-01-01,299.0
1987-04-01,335.0
1987-07-01,301.0
1987-10-01,220.0
1988-01-01,292.0
1988-04-01,348.0
1988-07-01,309.0
1988-10-01,188.0
1989-01-01,257.0
1989-04-01,333.0
1989-07-01,316.0
1989-10-01,212.0
1990-01-01,269.0
1990-04-01,360.0
1990-07-01,347.0
1990-10-01,250.0
1991-01-01,243.0
1991-04-01,421.0
1991-07-01,366.0
1991-10-01,240.0
1992-01-01,313.0
1992-04-01,364.0
1992-07-01,382.0
1992-10-01,225.0
1993-01-01,283.0
1993-04-01,398.0
1993-07-01,342.0
1993-10-01,196.0
1994-01-01,223.0
1994-04-01,374.0
1994-07-01,372.0
1994-10-01,286.0
1995-01-01,401.0
1995-04-01,589.0
1995-07-01,487.0
1995-10-01,284.0
1996-01-01,350.0
1996-04-01,543.0
1996-07-01,468.0
1996-10-01,337.0
1997-01-01,500.0
1997-04-01,593.0
1997-07-01,522.0
1997-10-01,348.0
1998-01-01,459.0
1998-04-01,548.0
1998-07-01,570.0
1998-10-01,484.0
1999-01-01,533.0
1999-04-01,598.0
1999-07-01,677.0
1999-10-01,422.0
2000-01-01,574.0
2000-04-01,658.0
2000-07-01,505.0
2000-10-01,361.0
2001-01-01,501.0
2001-04-01,602.0
2001-07-01,536.0
2001-10-01,373.0
2002-01-01,452.0
2002-04-01,592.0
2002-07-01,566.0
2002-10-01,359.0
2003-01-01,486.0
2003-04-01,664.0
2003-07-01,618.0
2003-10-01,394.0
2004-01-01,569.0
2004-04-01,724.0
2004-07-01,584.0
2004-10-01,391.0
2005-01-01,691.0
2005-04-01,820.0
2005-07-01,734.0
2005-10-01,508.0
2006-01-01,784.0
2006-04-01,1105.0
2006-07-01,1351.0
2006-10-01,951.0
2007-01-01,1171.0
2007-04-01,1599.0
2007-07-01,1545.0
2007-10-01,980.0
2008-01-01,1086.0
2008-04-01,1274.0
2008-07-01,1170.0
2008-10-01,742.0
2009-01-01,916.0
2009-04-01,1124.0
2009-07-01,1085.0
2009-10-01,647.0
2010-01-01,1050.0
2010-04-01,1213.0
2010-07-01,1043.0
2010-10-01,687.0
2011-01-01,911.0
2011-04-01,1200.0
2011-07-01,1021.0
2011-10-01,658.0
2012-01-01,1027.0
2012-04-01,1234.0
2012-07-01,1080.0
2012-10-01,687.0
2013-01-01,1050.0
2013-04-01,1421.0
2013-07-01,1208.0
2013-10-01,710.0
2014-01-01,996.0
2014-04-01,1396.0
2014-07-01,1232.0
2014-10-01,778.0
2015-01-01,1182.0
2015-04-01,1342.0
2015-07-01,1155.0
2015-10-01,806.0
2016-01-01,1082.0
2016-04-01,1295.0
2016-07-01,1100.0
2016-10-01,649.0
2017-01-01,1124.0
2017-04-01,1407.0
2017-07-01,1262.0
2017-10-01,715.0
2018-01-01,1011.0
2018-04-01,1487.0
2018-07-01,1191.0
2018-10-01,728.0
2019-01-01,1086.0
2019-04-01,1488.0
2019-07-01,1277.0
2019-10-01,723.0
2020-01-01,1055.0
2020-04-01,1187.0
2020-07-01,1365.0
2020-10-01,834.0
2021-01-01,1217.0
2021-04-01,1446.0
2021-07-01,1182.0
2021-10-01,732.0
2022-01-01,1023.0
2022-04-01,1561.0
2022-07-01,1194.0
2022-10-01,627.0
