,AGPSALUNR_Q
1980-01-01,80.0
1980-04-01,105.0
1980-07-01,150.0
1980-10-01,119.0
1981-01-01,89.0
1981-04-01,140.0
1981-07-01,114.0
1981-10-01,96.0
1982-01-01,56.0
1982-04-01,64.0
1982-07-01,101.0
1982-10-01,129.0
1983-01-01,74.0
1983-04-01,104.0
1983-07-01,94.0
1983-10-01,77.0
1984-01-01,62.0
1984-04-01,106.0
1984-07-01,138.0
1984-10-01,137.0
1985-01-01,95.0
1985-04-01,144.0
1985-07-01,146.0
1985-10-01,240.0
1986-01-01,113.0
1986-04-01,112.0
1986-07-01,114.0
1986-10-01,90.0
1987-01-01,78.0
1987-04-01,116.0
1987-07-01,127.0
1987-10-01,76.0
1988-01-01,79.0
1988-04-01,161.0
1988-07-01,180.0
1988-10-01,136.0
1989-01-01,139.0
1989-04-01,159.0
1989-07-01,187.0
1989-10-01,119.0
1990-01-01,130.0
1990-04-01,169.0
1990-07-01,185.0
1990-10-01,171.0
1991-01-01,118.0
1991-04-01,195.0
1991-07-01,225.0
1991-10-01,146.0
1992-01-01,170.0
1992-04-01,175.0
1992-07-01,205.0
1992-10-01,168.0
1993-01-01,144.0
1993-04-01,201.0
1993-07-01,217.0
1993-10-01,146.0
1994-01-01,150.0
1994-04-01,208.0
1994-07-01,236.0
1994-10-01,220.0
1995-01-01,116.0
1995-04-01,222.0
1995-07-01,265.0
1995-10-01,179.0
1996-01-01,209.0
1996-04-01,255.0
1996-07-01,265.0
1996-10-01,205.0
1997-01-01,205.0
1997-04-01,307.0
1997-07-01,307.0
1997-10-01,270.0
1998-01-01,200.0
1998-04-01,381.0
1998-07-01,348.0
1998-10-01,245.0
1999-01-01,209.0
1999-04-01,370.0
1999-07-01,274.0
1999-10-01,239.0
2000-01-01,249.0
2000-04-01,345.0
2000-07-01,292.0
2000-10-01,209.0
2001-01-01,273.0
2001-04-01,384.0
2001-07-01,438.0
2001-10-01,297.0
2002-01-01,311.0
2002-04-01,479.0
2002-07-01,380.0
2002-10-01,278.0
2003-01-01,284.0
2003-04-01,462.0
2003-07-01,439.0
2003-10-01,315.0
2004-01-01,426.0
2004-04-01,558.0
2004-07-01,493.0
2004-10-01,372.0
2005-01-01,472.0
2005-04-01,672.0
2005-07-01,664.0
2005-10-01,535.0
2006-01-01,677.0
2006-04-01,859.0
2006-07-01,814.0
2006-10-01,667.0
2007-01-01,617.0
2007-04-01,838.0
2007-07-01,692.0
2007-10-01,403.0
2008-01-01,495.0
2008-04-01,770.0
2008-07-01,655.0
2008-10-01,361.0
2009-01-01,311.0
2009-04-01,582.0
2009-07-01,496.0
2009-10-01,339.0
2010-01-01,410.0
2010-04-01,508.0
2010-07-01,370.0
2010-10-01,367.0
2011-01-01,454.0
2011-04-01,627.0
2011-07-01,554.0
2011-10-01,458.0
2012-01-01,603.0
2012-04-01,754.0
2012-07-01,657.0
2012-10-01,513.0
2013-01-01,549.0
2013-04-01,791.0
2013-07-01,797.0
2013-10-01,550.0
2014-01-01,614.0
2014-04-01,978.0
2014-07-01,869.0
2014-10-01,632.0
2015-01-01,460.0
2015-04-01,753.0
2015-07-01,627.0
2015-10-01,383.0
2016-01-01,332.0
2016-04-01,525.0
2016-07-01,473.0
2016-10-01,349.0
2017-01-01,454.0
2017-04-01,579.0
2017-07-01,594.0
2017-10-01,421.0
2018-01-01,497.0
2018-04-01,747.0
2018-07-01,745.0
2018-10-01,440.0
2019-01-01,422.0
2019-04-01,737.0
2019-07-01,656.0
2019-10-01,448.0
2020-01-01,414.0
2020-04-01,463.0
2020-07-01,682.0
2020-10-01,472.0
2021-01-01,626.0
2021-04-01,837.0
2021-07-01,688.0
2021-10-01,600.0
2022-01-01,636.0
2022-04-01,914.0
2022-07-01,656.0
2022-10-01,395.0
