,AGPVOLCNR_Q
1980-01-01,6620.0
1980-04-01,7892.0
1980-07-01,11673.0
1980-10-01,9473.0
1981-01-01,7137.0
1981-04-01,11864.0
1981-07-01,8890.0
1981-10-01,7813.0
1982-01-01,4335.0
1982-04-01,4490.0
1982-07-01,7031.0
1982-10-01,8984.0
1983-01-01,4697.0
1983-04-01,6934.0
1983-07-01,5896.0
1983-10-01,4625.0
1984-01-01,3245.0
1984-04-01,5858.0
1984-07-01,8261.0
1984-10-01,7463.0
1985-01-01,4630.0
1985-04-01,8278.0
1985-07-01,8085.0
1985-10-01,13550.0
1986-01-01,6561.0
1986-04-01,7020.0
1986-07-01,7260.0
1986-10-01,5035.0
1987-01-01,4493.0
1987-04-01,7262.0
1987-07-01,7133.0
1987-10-01,4310.0
1988-01-01,5006.0
1988-04-01,9314.0
1988-07-01,10596.0
1988-10-01,7359.0
1989-01-01,7520.0
1989-04-01,9090.0
1989-07-01,11983.0
1989-10-01,7889.0
1990-01-01,8423.0
1990-04-01,10385.0
1990-07-01,11958.0
1990-10-01,11039.0
1991-01-01,8606.0
1991-04-01,15347.0
1991-07-01,16320.0
1991-10-01,10003.0
1992-01-01,12305.0
1992-04-01,12972.0
1992-07-01,17326.0
1992-10-01,12845.0
1993-01-01,11052.0
1993-04-01,16385.0
1993-07-01,17530.0
1993-10-01,11416.0
1994-01-01,12291.0
1994-04-01,18915.0
1994-07-01,20442.0
1994-10-01,18616.0
1995-01-01,10684.0
1995-04-01,19009.0
1995-07-01,27067.0
1995-10-01,17676.0
1996-01-01,21111.0
1996-04-01,24315.0
1996-07-01,27249.0
1996-10-01,23358.0
1997-01-01,22967.0
1997-04-01,31321.0
1997-07-01,34619.0
1997-10-01,30910.0
1998-01-01,23516.0
1998-04-01,42595.0
1998-07-01,38307.0
1998-10-01,28273.0
1999-01-01,24098.0
1999-04-01,44018.0
1999-07-01,33999.0
1999-10-01,27550.0
2000-01-01,32493.0
2000-04-01,44510.0
2000-07-01,34954.0
2000-10-01,25663.0
2001-01-01,35894.0
2001-04-01,47787.0
2001-07-01,57091.0
2001-10-01,38059.0
2002-01-01,42410.0
2002-04-01,63701.0
2002-07-01,51442.0
2002-10-01,38637.0
2003-01-01,39883.0
2003-04-01,65420.0
2003-07-01,62964.0
2003-10-01,45409.0
2004-01-01,65189.0
2004-04-01,89741.0
2004-07-01,76987.0
2004-10-01,59964.0
2005-01-01,82208.0
2005-04-01,121675.0
2005-07-01,121982.0
2005-10-01,100560.0
2006-01-01,148630.0
2006-04-01,205963.0
2006-07-01,198710.0
2006-10-01,163858.0
2007-01-01,155784.0
2007-04-01,229511.0
2007-07-01,187054.0
2007-10-01,102870.0
2008-01-01,136644.0
2008-04-01,216650.0
2008-07-01,187756.0
2008-10-01,100355.0
2009-01-01,81622.0
2009-04-01,158999.0
2009-07-01,133444.0
2009-10-01,88884.0
2010-01-01,110715.0
2010-04-01,141846.0
2010-07-01,96838.0
2010-10-01,95386.0
2011-01-01,116923.0
2011-04-01,172232.0
2011-07-01,147799.0
2011-10-01,127962.0
2012-01-01,163903.0
2012-04-01,217029.0
2012-07-01,186324.0
2012-10-01,148473.0
2013-01-01,160617.0
2013-04-01,249650.0
2013-07-01,249172.0
2013-10-01,162733.0
2014-01-01,203582.0
2014-04-01,332730.0
2014-07-01,291827.0
2014-10-01,216669.0
2015-01-01,147222.0
2015-04-01,257460.0
2015-07-01,206637.0
2015-10-01,122956.0
2016-01-01,96944.0
2016-04-01,169335.0
2016-07-01,146699.0
2016-10-01,104093.0
2017-01-01,140040.0
2017-04-01,186269.0
2017-07-01,181607.0
2017-10-01,121772.0
2018-01-01,152976.0
2018-04-01,241792.0
2018-07-01,240124.0
2018-10-01,140274.0
2019-01-01,130399.0
2019-04-01,238413.0
2019-07-01,205894.0
2019-10-01,146925.0
2020-01-01,129599.0
2020-04-01,152395.0
2020-07-01,222859.0
2020-10-01,144753.0
2021-01-01,204264.0
2021-04-01,279592.0
2021-07-01,222926.0
2021-10-01,205544.0
2022-01-01,211265.0
2022-04-01,319850.0
2022-07-01,206225.0
2022-10-01,
