,ALENLIUNR_Q
1980-01-01,521.0
1980-04-01,587.0
1980-07-01,624.0
1980-10-01,424.0
1981-01-01,564.0
1981-04-01,733.0
1981-07-01,629.0
1981-10-01,535.0
1982-01-01,657.0
1982-04-01,715.0
1982-07-01,665.0
1982-10-01,487.0
1983-01-01,748.0
1983-04-01,679.0
1983-07-01,708.0
1983-10-01,533.0
1984-01-01,780.0
1984-04-01,763.0
1984-07-01,689.0
1984-10-01,589.0
1985-01-01,806.0
1985-04-01,769.0
1985-07-01,696.0
1985-10-01,522.0
1986-01-01,707.0
1986-04-01,732.0
1986-07-01,655.0
1986-10-01,484.0
1987-01-01,655.0
1987-04-01,667.0
1987-07-01,621.0
1987-10-01,485.0
1988-01-01,623.0
1988-04-01,760.0
1988-07-01,680.0
1988-10-01,372.0
1989-01-01,513.0
1989-04-01,596.0
1989-07-01,599.0
1989-10-01,419.0
1990-01-01,624.0
1990-04-01,661.0
1990-07-01,560.0
1990-10-01,431.0
1991-01-01,556.0
1991-04-01,485.0
1991-07-01,585.0
1991-10-01,534.0
1992-01-01,606.0
1992-04-01,665.0
1992-07-01,601.0
1992-10-01,448.0
1993-01-01,653.0
1993-04-01,772.0
1993-07-01,782.0
1993-10-01,697.0
1994-01-01,905.0
1994-04-01,1026.0
1994-07-01,771.0
1994-10-01,632.0
1995-01-01,902.0
1995-04-01,959.0
1995-07-01,874.0
1995-10-01,566.0
1996-01-01,854.0
1996-04-01,948.0
1996-07-01,763.0
1996-10-01,612.0
1997-01-01,766.0
1997-04-01,889.0
1997-07-01,909.0
1997-10-01,564.0
1998-01-01,819.0
1998-04-01,907.0
1998-07-01,1051.0
1998-10-01,602.0
1999-01-01,848.0
1999-04-01,900.0
1999-07-01,828.0
1999-10-01,589.0
2000-01-01,792.0
2000-04-01,1070.0
2000-07-01,957.0
2000-10-01,669.0
2001-01-01,989.0
2001-04-01,1188.0
2001-07-01,982.0
2001-10-01,686.0
2002-01-01,862.0
2002-04-01,1013.0
2002-07-01,941.0
2002-10-01,688.0
2003-01-01,848.0
2003-04-01,1009.0
2003-07-01,979.0
2003-10-01,747.0
2004-01-01,1016.0
2004-04-01,1186.0
2004-07-01,984.0
2004-10-01,680.0
2005-01-01,996.0
2005-04-01,1167.0
2005-07-01,1064.0
2005-10-01,727.0
2006-01-01,857.0
2006-04-01,1075.0
2006-07-01,970.0
2006-10-01,645.0
2007-01-01,853.0
2007-04-01,1165.0
2007-07-01,1289.0
2007-10-01,761.0
2008-01-01,1193.0
2008-04-01,1540.0
2008-07-01,1327.0
2008-10-01,891.0
2009-01-01,1045.0
2009-04-01,1331.0
2009-07-01,1213.0
2009-10-01,761.0
2010-01-01,1309.0
2010-04-01,1522.0
2010-07-01,1219.0
2010-10-01,794.0
2011-01-01,1298.0
2011-04-01,1588.0
2011-07-01,1369.0
2011-10-01,798.0
2012-01-01,1331.0
2012-04-01,1532.0
2012-07-01,1269.0
2012-10-01,773.0
2013-01-01,1289.0
2013-04-01,1453.0
2013-07-01,1196.0
2013-10-01,690.0
2014-01-01,1176.0
2014-04-01,1514.0
2014-07-01,1162.0
2014-10-01,725.0
2015-01-01,1138.0
2015-04-01,1336.0
2015-07-01,1081.0
2015-10-01,770.0
2016-01-01,1153.0
2016-04-01,1320.0
2016-07-01,1115.0
2016-10-01,724.0
2017-01-01,1111.0
2017-04-01,1440.0
2017-07-01,1091.0
2017-10-01,764.0
2018-01-01,1077.0
2018-04-01,1508.0
2018-07-01,1156.0
2018-10-01,779.0
2019-01-01,1127.0
2019-04-01,1387.0
2019-07-01,1119.0
2019-10-01,717.0
2020-01-01,1029.0
2020-04-01,984.0
2020-07-01,1183.0
2020-10-01,724.0
2021-01-01,1094.0
2021-04-01,1458.0
2021-07-01,1103.0
2021-10-01,743.0
2022-01-01,1015.0
2022-04-01,1554.0
2022-07-01,1080.0
2022-10-01,
