,ALEPRICNR_Q
1980-01-01,57928.0
1980-04-01,59556.0
1980-07-01,62874.0
1980-10-01,61537.0
1981-01-01,67161.0
1981-04-01,69276.0
1981-07-01,66242.0
1981-10-01,67388.0
1982-01-01,68118.0
1982-04-01,67719.0
1982-07-01,69830.0
1982-10-01,67540.0
1983-01-01,71801.0
1983-04-01,68544.0
1983-07-01,72692.0
1983-10-01,70301.0
1984-01-01,71373.0
1984-04-01,69147.0
1984-07-01,67201.0
1984-10-01,67100.0
1985-01-01,60643.0
1985-04-01,68741.0
1985-07-01,63131.0
1985-10-01,66657.0
1986-01-01,61960.0
1986-04-01,64461.0
1986-07-01,68651.0
1986-10-01,64192.0
1987-01-01,68028.0
1987-04-01,65302.0
1987-07-01,63692.0
1987-10-01,67787.0
1988-01-01,66366.0
1988-04-01,66088.0
1988-07-01,68303.0
1988-10-01,70000.0
1989-01-01,72573.0
1989-04-01,71235.0
1989-07-01,71760.0
1989-10-01,69622.0
1990-01-01,71325.0
1990-04-01,71018.0
1990-07-01,71973.0
1990-10-01,70829.0
1991-01-01,73712.0
1991-04-01,77497.0
1991-07-01,76667.0
1991-10-01,74214.0
1992-01-01,80048.0
1992-04-01,74514.0
1992-07-01,81478.0
1992-10-01,79092.0
1993-01-01,84881.0
1993-04-01,83018.0
1993-07-01,86155.0
1993-10-01,86786.0
1994-01-01,88696.0
1994-04-01,90127.0
1994-07-01,88802.0
1994-10-01,85556.0
1995-01-01,90815.0
1995-04-01,87956.0
1995-07-01,85370.0
1995-10-01,88230.0
1996-01-01,87253.0
1996-04-01,89932.0
1996-07-01,89727.0
1996-10-01,91173.0
1997-01-01,93478.0
1997-04-01,97216.0
1997-07-01,93573.0
1997-10-01,91519.0
1998-01-01,100183.0
1998-04-01,95839.0
1998-07-01,95724.0
1998-10-01,96402.0
1999-01-01,99518.0
1999-04-01,102415.0
1999-07-01,98066.0
1999-10-01,101488.0
2000-01-01,100492.0
2000-04-01,100745.0
2000-07-01,103576.0
2000-10-01,107633.0
2001-01-01,102213.0
2001-04-01,112577.0
2001-07-01,108199.0
2001-10-01,106927.0
2002-01-01,113892.0
2002-04-01,117174.0
2002-07-01,116872.0
2002-10-01,114017.0
2003-01-01,119272.0
2003-04-01,122054.0
2003-07-01,127493.0
2003-10-01,124818.0
2004-01-01,122835.0
2004-04-01,130554.0
2004-07-01,128240.0
2004-10-01,128485.0
2005-01-01,134451.0
2005-04-01,138868.0
2005-07-01,138613.0
2005-10-01,144681.0
2006-01-01,150139.0
2006-04-01,163036.0
2006-07-01,174372.0
2006-10-01,183077.0
2007-01-01,207282.0
2007-04-01,230588.0
2007-07-01,243847.0
2007-10-01,237978.0
2008-01-01,243440.0
2008-04-01,245721.0
2008-07-01,242821.0
2008-10-01,243513.0
2009-01-01,235297.0
2009-04-01,242322.0
2009-07-01,245564.0
2009-10-01,241950.0
2010-01-01,242650.0
2010-04-01,249394.0
2010-07-01,246722.0
2010-10-01,249300.0
2011-01-01,252058.0
2011-04-01,249821.0
2011-07-01,243183.0
2011-10-01,247170.0
2012-01-01,252353.0
2012-04-01,250760.0
2012-07-01,254479.0
2012-10-01,242579.0
2013-01-01,239937.0
2013-04-01,254683.0
2013-07-01,250032.0
2013-10-01,255649.0
2014-01-01,256027.0
2014-04-01,265056.0
2014-07-01,265720.0
2014-10-01,251339.0
2015-01-01,274626.0
2015-04-01,270853.0
2015-07-01,258757.0
2015-10-01,262164.0
2016-01-01,269043.0
2016-04-01,270364.0
2016-07-01,272155.0
2016-10-01,266470.0
2017-01-01,263861.0
2017-04-01,275969.0
2017-07-01,277150.0
2017-10-01,267983.0
2018-01-01,267980.0
2018-04-01,273106.0
2018-07-01,263919.0
2018-10-01,270946.0
2019-01-01,277320.0
2019-04-01,278458.0
2019-07-01,273818.0
2019-10-01,278903.0
2020-01-01,280862.0
2020-04-01,286319.0
2020-07-01,300242.0
2020-10-01,297812.0
2021-01-01,308804.0
2021-04-01,315376.0
2021-07-01,313770.0
2021-10-01,319476.0
2022-01-01,334484.0
2022-04-01,338805.0
