,ALEVOLCNR_Q
1980-01-01,14019.0
1980-04-01,13281.0
1980-07-01,24207.0
1980-10-01,17538.0
1981-01-01,14843.0
1981-04-01,21406.0
1981-07-01,18945.0
1981-10-01,14960.0
1982-01-01,14441.0
1982-04-01,13476.0
1982-07-01,15991.0
1982-10-01,21883.0
1983-01-01,14217.0
1983-04-01,19672.0
1983-07-01,19045.0
1983-10-01,18700.0
1984-01-01,17772.0
1984-04-01,19914.0
1984-07-01,17069.0
1984-10-01,17379.0
1985-01-01,16131.0
1985-04-01,23716.0
1985-07-01,21086.0
1985-10-01,19464.0
1986-01-01,17163.0
1986-04-01,21337.0
1986-07-01,22243.0
1986-10-01,17524.0
1987-01-01,20000.0
1987-04-01,22660.0
1987-07-01,19299.0
1987-10-01,16947.0
1988-01-01,17056.0
1988-04-01,23131.0
1988-07-01,24862.0
1988-10-01,18130.0
1989-01-01,16329.0
1989-04-01,25288.0
1989-07-01,25188.0
1989-10-01,21792.0
1990-01-01,24750.0
1990-04-01,24927.0
1990-07-01,24255.0
1990-10-01,22240.0
1991-01-01,20639.0
1991-04-01,26272.0
1991-07-01,31587.0
1991-10-01,23971.0
1992-01-01,29778.0
1992-04-01,33159.0
1992-07-01,39109.0
1992-10-01,27920.0
1993-01-01,33783.0
1993-04-01,46905.0
1993-07-01,46351.0
1993-10-01,39921.0
1994-01-01,41155.0
1994-04-01,46686.0
1994-07-01,40139.0
1994-10-01,38757.0
1995-01-01,31513.0
1995-04-01,37381.0
1995-07-01,38417.0
1995-10-01,28233.0
1996-01-01,28793.0
1996-04-01,41549.0
1996-07-01,40467.0
1996-10-01,40116.0
1997-01-01,33933.0
1997-04-01,46080.0
1997-07-01,47348.0
1997-10-01,37614.0
1998-01-01,38270.0
1998-04-01,56737.0
1998-07-01,53988.0
1998-10-01,38850.0
1999-01-01,40106.0
1999-04-01,61756.0
1999-07-01,51975.0
1999-10-01,39377.0
2000-01-01,44417.0
2000-04-01,61152.0
2000-07-01,51891.0
2000-10-01,43699.0
2001-01-01,40170.0
2001-04-01,66195.0
2001-07-01,66759.0
2001-10-01,46192.0
2002-01-01,55238.0
2002-04-01,75108.0
2002-07-01,69773.0
2002-10-01,51308.0
2003-01-01,51406.0
2003-04-01,73843.0
2003-07-01,78663.0
2003-10-01,57167.0
2004-01-01,73087.0
2004-04-01,103530.0
2004-07-01,86947.0
2004-10-01,61288.0
2005-01-01,75158.0
2005-04-01,110956.0
2005-07-01,121148.0
2005-10-01,83336.0
2006-01-01,102095.0
2006-04-01,168579.0
2006-07-01,149960.0
2006-10-01,103439.0
2007-01-01,137842.0
2007-04-01,214908.0
2007-07-01,175326.0
2007-10-01,108042.0
2008-01-01,130971.0
2008-04-01,184782.0
2008-07-01,169732.0
2008-10-01,82307.0
2009-01-01,83766.0
2009-04-01,178591.0
2009-07-01,164528.0
2009-10-01,94119.0
2010-01-01,104097.0
2010-04-01,154624.0
2010-07-01,128789.0
2010-10-01,85759.0
2011-01-01,98303.0
2011-04-01,159386.0
2011-07-01,144451.0
2011-10-01,99609.0
2012-01-01,119363.0
2012-04-01,174780.0
2012-07-01,138182.0
2012-10-01,98730.0
2013-01-01,107972.0
2013-04-01,178023.0
2013-07-01,153770.0
2013-10-01,107884.0
2014-01-01,114700.0
2014-04-01,200117.0
2014-07-01,180955.0
2014-10-01,122905.0
2015-01-01,144179.0
2015-04-01,205307.0
2015-07-01,182424.0
2015-10-01,130820.0
2016-01-01,129141.0
2016-04-01,229268.0
2016-07-01,196224.0
2016-10-01,124708.0
2017-01-01,125070.0
2017-04-01,222983.0
2017-07-01,201488.0
2017-10-01,132651.0
2018-01-01,118715.0
2018-04-01,202918.0
2018-07-01,179465.0
2018-10-01,134931.0
2019-01-01,126458.0
2019-04-01,206894.0
2019-07-01,189482.0
2019-10-01,142799.0
2020-01-01,141274.0
2020-04-01,190402.0
2020-07-01,271419.0
2020-10-01,206979.0
2021-01-01,238397.0
2021-04-01,381290.0
2021-07-01,294944.0
2021-10-01,235773.0
2022-01-01,275615.0
2022-04-01,349647.0
