,ALMNLIUNR_Q
1980-01-01,56.0
1980-04-01,71.0
1980-07-01,70.0
1980-10-01,78.0
1981-01-01,159.0
1981-04-01,138.0
1981-07-01,130.0
1981-10-01,121.0
1982-01-01,144.0
1982-04-01,136.0
1982-07-01,170.0
1982-10-01,128.0
1983-01-01,170.0
1983-04-01,195.0
1983-07-01,175.0
1983-10-01,96.0
1984-01-01,204.0
1984-04-01,182.0
1984-07-01,139.0
1984-10-01,104.0
1985-01-01,152.0
1985-04-01,220.0
1985-07-01,242.0
1985-10-01,134.0
1986-01-01,187.0
1986-04-01,223.0
1986-07-01,219.0
1986-10-01,178.0
1987-01-01,278.0
1987-04-01,296.0
1987-07-01,272.0
1987-10-01,170.0
1988-01-01,249.0
1988-04-01,220.0
1988-07-01,254.0
1988-10-01,309.0
1989-01-01,315.0
1989-04-01,327.0
1989-07-01,303.0
1989-10-01,229.0
1990-01-01,395.0
1990-04-01,383.0
1990-07-01,346.0
1990-10-01,261.0
1991-01-01,378.0
1991-04-01,409.0
1991-07-01,377.0
1991-10-01,275.0
1992-01-01,369.0
1992-04-01,382.0
1992-07-01,410.0
1992-10-01,205.0
1993-01-01,420.0
1993-04-01,257.0
1993-07-01,213.0
1993-10-01,172.0
1994-01-01,264.0
1994-04-01,294.0
1994-07-01,235.0
1994-10-01,236.0
1995-01-01,236.0
1995-04-01,234.0
1995-07-01,229.0
1995-10-01,114.0
1996-01-01,248.0
1996-04-01,266.0
1996-07-01,215.0
1996-10-01,160.0
1997-01-01,174.0
1997-04-01,215.0
1997-07-01,137.0
1997-10-01,124.0
1998-01-01,180.0
1998-04-01,184.0
1998-07-01,218.0
1998-10-01,171.0
1999-01-01,231.0
1999-04-01,306.0
1999-07-01,252.0
1999-10-01,195.0
2000-01-01,127.0
2000-04-01,162.0
2000-07-01,118.0
2000-10-01,78.0
2001-01-01,142.0
2001-04-01,181.0
2001-07-01,128.0
2001-10-01,126.0
2002-01-01,128.0
2002-04-01,147.0
2002-07-01,153.0
2002-10-01,113.0
2003-01-01,153.0
2003-04-01,210.0
2003-07-01,164.0
2003-10-01,123.0
2004-01-01,205.0
2004-04-01,217.0
2004-07-01,173.0
2004-10-01,111.0
2005-01-01,176.0
2005-04-01,336.0
2005-07-01,322.0
2005-10-01,155.0
2006-01-01,330.0
2006-04-01,323.0
2006-07-01,225.0
2006-10-01,142.0
2007-01-01,256.0
2007-04-01,433.0
2007-07-01,397.0
2007-10-01,217.0
2008-01-01,508.0
2008-04-01,603.0
2008-07-01,616.0
2008-10-01,333.0
2009-01-01,460.0
2009-04-01,595.0
2009-07-01,487.0
2009-10-01,280.0
2010-01-01,450.0
2010-04-01,603.0
2010-07-01,409.0
2010-10-01,318.0
2011-01-01,459.0
2011-04-01,656.0
2011-07-01,484.0
2011-10-01,327.0
2012-01-01,469.0
2012-04-01,575.0
2012-07-01,434.0
2012-10-01,225.0
2013-01-01,354.0
2013-04-01,610.0
2013-07-01,473.0
2013-10-01,269.0
2014-01-01,412.0
2014-04-01,547.0
2014-07-01,493.0
2014-10-01,307.0
2015-01-01,447.0
2015-04-01,605.0
2015-07-01,497.0
2015-10-01,311.0
2016-01-01,486.0
2016-04-01,613.0
2016-07-01,429.0
2016-10-01,298.0
2017-01-01,492.0
2017-04-01,689.0
2017-07-01,499.0
2017-10-01,312.0
2018-01-01,545.0
2018-04-01,647.0
2018-07-01,465.0
2018-10-01,301.0
2019-01-01,478.0
2019-04-01,577.0
2019-07-01,435.0
2019-10-01,265.0
2020-01-01,419.0
2020-04-01,419.0
2020-07-01,433.0
2020-10-01,291.0
2021-01-01,465.0
2021-04-01,521.0
2021-07-01,371.0
2021-10-01,268.0
2022-01-01,433.0
2022-04-01,613.0
2022-07-01,424.0
2022-10-01,211.0
