,ALMVOLCNR_Q
1980-01-01,535.0
1980-04-01,996.0
1980-07-01,1269.0
1980-10-01,1404.0
1981-01-01,1708.0
1981-04-01,3197.0
1981-07-01,2024.0
1981-10-01,1856.0
1982-01-01,1159.0
1982-04-01,1327.0
1982-07-01,1265.0
1982-10-01,2588.0
1983-01-01,1253.0
1983-04-01,2854.0
1983-07-01,2577.0
1983-10-01,2874.0
1984-01-01,1505.0
1984-04-01,2882.0
1984-07-01,4465.0
1984-10-01,3960.0
1985-01-01,2326.0
1985-04-01,4909.0
1985-07-01,6156.0
1985-10-01,3805.0
1986-01-01,2598.0
1986-04-01,3503.0
1986-07-01,3502.0
1986-10-01,2998.0
1987-01-01,2841.0
1987-04-01,5214.0
1987-07-01,4586.0
1987-10-01,4095.0
1988-01-01,2000.0
1988-04-01,4417.0
1988-07-01,3575.0
1988-10-01,3040.0
1989-01-01,3075.0
1989-04-01,3702.0
1989-07-01,4421.0
1989-10-01,4746.0
1990-01-01,5602.0
1990-04-01,4615.0
1990-07-01,6078.0
1990-10-01,5147.0
1991-01-01,4341.0
1991-04-01,9870.0
1991-07-01,10203.0
1991-10-01,6174.0
1992-01-01,6225.0
1992-04-01,8764.0
1992-07-01,5757.0
1992-10-01,5955.0
1993-01-01,4854.0
1993-04-01,9834.0
1993-07-01,7820.0
1993-10-01,9378.0
1994-01-01,7766.0
1994-04-01,10430.0
1994-07-01,7162.0
1994-10-01,7001.0
1995-01-01,5281.0
1995-04-01,9092.0
1995-07-01,11472.0
1995-10-01,4655.0
1996-01-01,6021.0
1996-04-01,11069.0
1996-07-01,9640.0
1996-10-01,9695.0
1997-01-01,7418.0
1997-04-01,15558.0
1997-07-01,15724.0
1997-10-01,11254.0
1998-01-01,6679.0
1998-04-01,16834.0
1998-07-01,13629.0
1998-10-01,11253.0
1999-01-01,8233.0
1999-04-01,14014.0
1999-07-01,12772.0
1999-10-01,10781.0
2000-01-01,8094.0
2000-04-01,12695.0
2000-07-01,11217.0
2000-10-01,9148.0
2001-01-01,11493.0
2001-04-01,15456.0
2001-07-01,11238.0
2001-10-01,10406.0
2002-01-01,11929.0
2002-04-01,16097.0
2002-07-01,12217.0
2002-10-01,8378.0
2003-01-01,8837.0
2003-04-01,17916.0
2003-07-01,19763.0
2003-10-01,13753.0
2004-01-01,16980.0
2004-04-01,29810.0
2004-07-01,23589.0
2004-10-01,15653.0
2005-01-01,16457.0
2005-04-01,34602.0
2005-07-01,27197.0
2005-10-01,29216.0
2006-01-01,35469.0
2006-04-01,58699.0
2006-07-01,35536.0
2006-10-01,24311.0
2007-01-01,32964.0
2007-04-01,67147.0
2007-07-01,47599.0
2007-10-01,38325.0
2008-01-01,39961.0
2008-04-01,72144.0
2008-07-01,83700.0
2008-10-01,45520.0
2009-01-01,19828.0
2009-04-01,54038.0
2009-07-01,81827.0
2009-10-01,57575.0
2010-01-01,30717.0
2010-04-01,68699.0
2010-07-01,67296.0
2010-10-01,46825.0
2011-01-01,38699.0
2011-04-01,81159.0
2011-07-01,97113.0
2011-10-01,69222.0
2012-01-01,42447.0
2012-04-01,92333.0
2012-07-01,114516.0
2012-10-01,76386.0
2013-01-01,42336.0
2013-04-01,87217.0
2013-07-01,126252.0
2013-10-01,90919.0
2014-01-01,60773.0
2014-04-01,116822.0
2014-07-01,133980.0
2014-10-01,98616.0
2015-01-01,36162.0
2015-04-01,74060.0
2015-07-01,98599.0
2015-10-01,55080.0
2016-01-01,16131.0
2016-04-01,54453.0
2016-07-01,68309.0
2016-10-01,36286.0
2017-01-01,39553.0
2017-04-01,58418.0
2017-07-01,65213.0
2017-10-01,42896.0
2018-01-01,34694.0
2018-04-01,53390.0
2018-07-01,65717.0
2018-10-01,40786.0
2019-01-01,25811.0
2019-04-01,60539.0
2019-07-01,64802.0
2019-10-01,37797.0
2020-01-01,18405.0
2020-04-01,52882.0
2020-07-01,66503.0
2020-10-01,44788.0
2021-01-01,55494.0
2021-04-01,94489.0
2021-07-01,68950.0
2021-10-01,48370.0
2022-01-01,60399.0
2022-04-01,109069.0
2022-07-01,59347.0
2022-10-01,
